,created_at,full_text
0,Mon Oct 26 18:15:03 +0000 2020,@uthsc Thank you! I'm proud to be a @uthsc graduate.
1,Fri Oct 23 18:53:05 +0000 2020,@elisha_mccoy @LeBonheurChild @JeffreyWiner @UTHSCPediatrics @uthsc Awesome job! Wow
2,Fri Oct 23 12:38:32 +0000 2020,"Today’s hearings pertain to the @UTChattanooga and @UTKnoxville Student Code of Conduct, the @uthsc and @utmartin Student Rights and Responsibilities, as well as student immunization policy for all campuses."
3,Fri Oct 23 02:55:15 +0000 2020,@MakowskiLab @UTHSC_Cancer @uthsc @UTHSCMedicine Congratulations!!!
4,Fri Oct 23 02:40:32 +0000 2020,@Kristen_N_Noble @uabpeds @nih_nhlbi @NIHDirector @NIHgrants @UABSOM @UABNews @ambaln @LSU @uthsc @UABPathology Hi @Kristen_N_Noble sorry I missed this message. I’d gladly talk about it send me a message and we’ll set something up
5,Thu Oct 22 23:13:28 +0000 2020,@MakowskiLab @uthsc @UTHSC_Cancer @UTHSCMedicine Congrats!!
6,Thu Oct 22 22:55:45 +0000 2020,@StephenPishko @UTHSCPHMFellows @LeBonheurChild @uthsc @elisha_mccoy @JasonYaunMD @nickhysmith @Donnellanders Oh yes! A few years before she won the outpatient pediatrician of the year award!
7,Thu Oct 22 22:46:59 +0000 2020,@MakowskiLab @UTHSC_Cancer @uthsc @UTHSCMedicine Congrats Liza 🧿👏
8,Thu Oct 22 22:40:56 +0000 2020,@MMichalopulos @UTHSCPHMFellows @LeBonheurChild @uthsc @elisha_mccoy @JasonYaunMD @nickhysmith @Donnellanders Don’t forget a Dr Whitney Sanders
9,Thu Oct 22 21:32:09 +0000 2020,@MakowskiLab @UTHSC_Cancer @uthsc @UTHSCMedicine Congrats!!!
10,Thu Oct 22 21:00:36 +0000 2020,@UTHSCPHMFellows @LeBonheurChild @uthsc @elisha_mccoy @JasonYaunMD @nickhysmith @Donnellanders I spy one wesley rainbolt in there as well! Perhaps with some dental...decorations?
11,Thu Oct 22 20:48:41 +0000 2020,@MakowskiLab @UTHSC_Cancer @uthsc @UTHSCMedicine Congratulations!
12,Thu Oct 22 20:44:05 +0000 2020,@MakowskiLab @UTHSC_Cancer @uthsc @UTHSCMedicine Congrats! 🎉🥂
13,Thu Oct 22 17:24:20 +0000 2020,@ReporterGarriss @KFF @TheUndefeated @uthsc @FOX13Memphis Can’t help them if they choose to mistrust medical research. That’s their choice.
14,Thu Oct 22 12:57:18 +0000 2020,RT @UTSystemNews: The committee has approved the transfer of up to $1.5 million of proceeds from the USH lease payment account to the @UTHS…
15,Thu Oct 22 12:57:10 +0000 2020,RT @UTSystemNews: Phasing and implementation of the @uthsc Campus Master Plan includes the acquisition of a vivarium facility and adjacent…
16,Thu Oct 22 12:57:06 +0000 2020,RT @UTSystemNews: The current uncommitted fund balance is more than $4.2 million. The @UTSystem administration is recommending that up to $…
17,Thu Oct 22 12:56:50 +0000 2020,The committee has approved the transfer of up to $1.5 million of proceeds from the USH lease payment account to the @UTHSC.
18,Thu Oct 22 12:56:27 +0000 2020,Phasing and implementation of the @uthsc Campus Master Plan includes the acquisition of a vivarium facility and adjacent land from Memphis Bioworks Foundation or its subsidiary Memphis Specialized Laboratory.
19,Thu Oct 22 12:56:04 +0000 2020,The current uncommitted fund balance is more than $4.2 million. The @UTSystem administration is recommending that up to $1.5 million be used in support of the @uthsc Campus Master Plan.
20,Wed Oct 21 23:56:56 +0000 2020,@ReporterGarriss @FOX13Memphis @KFF @TheUndefeated @uthsc Why wait after a stupid game tell us now
21,Wed Oct 21 13:52:35 +0000 2020,"RT @UTRF: Congratulations to Drs. Narayanan, Miller, Ponnusamy, Hwang, &amp; He on recently issued US patents 10,806,719 &amp; 10,806,720 for Selec…"
22,Wed Oct 21 13:45:45 +0000 2020,"Congratulations to Drs. Narayanan, Miller, Ponnusamy, Hwang, &amp; He on recently issued US patents 10,806,719 &amp; 10,806,720 for Selective Androgen Receptor Degrader (SARD) Ligands and Methods of use Thereof!
@UTHSCMedicine @UTPharmacy @uthsc @UTHSCResearch"
23,Wed Oct 21 03:39:18 +0000 2020,"@ChrisDJacksonMD @uthsc @UTHSC_Medicine @UTHSCResearch Thanks for the support, friend!"
24,Mon Oct 19 23:18:48 +0000 2020,@CTrombetta_CCF @CleClinicMD @uthsc Thank you @CTrombetta_CCF. It is a privilege to work with you and your awesome team of educators in the residency program. Such an inspiration! @sammstamperMD @mariel_manlapaz @Sandeep98102635
