,created_at,full_text
0,Mon Oct 26 19:16:55 +0000 2020,RT @WheelsofTheSyst: @sadbluegal @Karrasamelia5 @Ginger4EverMe @liv2ruz @karlajw @Barb71 @KindlyCare13 @DKNE4Sure @lonestarexile @larkriege…
1,Mon Oct 26 19:15:45 +0000 2020,RT @WheelsofTheSyst: @sadbluegal @Karrasamelia5 @Ginger4EverMe @liv2ruz @karlajw @Barb71 @KindlyCare13 @DKNE4Sure @lonestarexile @larkriege…
2,Mon Oct 26 19:14:56 +0000 2020,"@sadbluegal @Karrasamelia5 @Ginger4EverMe @liv2ruz @karlajw @Barb71 @KindlyCare13 @DKNE4Sure @lonestarexile @larkrieger7 @QNationalist @BlueIrishAngel @mrshhjones @TeriHentschel @WarriorAllways @Mopor777 @April_Showers24 @HonoredValor @RealJudgeLynn @ThePerezHilton @Piper @Wendys @bathbodyworks @DiscountTire @kfc @BurgerStCorp @tacobueno @Braums_Inc @TomThumb_Stores @OzarkaSpringWtr @WylersLight @GunsandHosesTX @TaraKfoury @ArlingtonPD @IrvingPD @DallasPD @KennedyAttorney @loncarassociate @utarlington @TxDOT @TxDOTDallas @TxDOTFortWorth Hear! Hear! 

Don't know how #Budgets for #Police Already Affecting Essential Services in #Society we Need them for...let Alone for our #Road/#Traffic Safety Oversight &amp;  #LawEnforcement 

Not Difficult, #Government/#Healthcare #World over Able to Pivot to '#PhysicalDistancing'"
3,Mon Oct 26 19:08:09 +0000 2020,"@WheelsofTheSyst @Karrasamelia5 @Ginger4EverMe @liv2ruz @karlajw @Barb71 @KindlyCare13 @DKNE4Sure @lonestarexile @larkrieger7 @QNationalist @BlueIrishAngel @mrshhjones @TeriHentschel @WarriorAllways @Mopor777 @April_Showers24 @HonoredValor @RealJudgeLynn @ThePerezHilton @Piper @Wendys @bathbodyworks @DiscountTire @kfc @BurgerStCorp @tacobueno @Braums_Inc @TomThumb_Stores @OzarkaSpringWtr @WylersLight @GunsandHosesTX @TaraKfoury @ArlingtonPD @IrvingPD @DallasPD @KennedyAttorney @loncarassociate @utarlington @TxDOT @TxDOTDallas @TxDOTFortWorth Agreed. We need increase in funding, not a reduction in funding or resources for our Police, and mental health resources. No Defund, No Disband.😐"
4,Mon Oct 26 19:00:53 +0000 2020,"@sadbluegal @Karrasamelia5 @Ginger4EverMe @liv2ruz @karlajw @Barb71 @KindlyCare13 @DKNE4Sure @lonestarexile @larkrieger7 @QNationalist @BlueIrishAngel @mrshhjones @TeriHentschel @WarriorAllways @Mopor777 @April_Showers24 @HonoredValor @RealJudgeLynn @ThePerezHilton @Piper @Wendys @bathbodyworks @DiscountTire @kfc @BurgerStCorp @tacobueno @Braums_Inc @TomThumb_Stores @OzarkaSpringWtr @WylersLight @GunsandHosesTX @TaraKfoury @ArlingtonPD @IrvingPD @DallasPD @KennedyAttorney @loncarassociate @utarlington 🤭😆🙌🤓😂

Really felt like that 😆

On the Serious side...Need to Drive at the Speed Limit... 

@TxDOT @TxDOTDallas @TxDOTFortWorth 

Other small 'Why' to Change '#Defund' Language 🙏

We Need More #Police Plus #MentalHealth Partners 4 #Society: #Funding for More of Both 🙏🙌"
5,Mon Oct 26 18:36:46 +0000 2020,@WheelsofTheSyst @Karrasamelia5 @Ginger4EverMe @liv2ruz @karlajw @Barb71 @KindlyCare13 @DKNE4Sure @lonestarexile @larkrieger7 @QNationalist @BlueIrishAngel @mrshhjones @TeriHentschel @WarriorAllways @Mopor777 @April_Showers24 @HonoredValor @RealJudgeLynn @ThePerezHilton @Piper @Wendys @bathbodyworks @DiscountTire @kfc @BurgerStCorp @tacobueno @Braums_Inc @TomThumb_Stores @OzarkaSpringWtr @WylersLight @GunsandHosesTX @TaraKfoury @ArlingtonPD @IrvingPD @DallasPD @KennedyAttorney @loncarassociate @utarlington Like the bumper sticker!😂
6,Mon Oct 26 17:54:16 +0000 2020,RT @WheelsofTheSyst: @Karrasamelia5 @Ginger4EverMe @liv2ruz @karlajw @Barb71 @KindlyCare13 @DKNE4Sure @sadbluegal @lonestarexile @larkriege…
7,Mon Oct 26 17:40:24 +0000 2020,"@Karrasamelia5 @Ginger4EverMe @liv2ruz @karlajw @Barb71 @KindlyCare13 @DKNE4Sure @sadbluegal @lonestarexile @larkrieger7 @QNationalist @BlueIrishAngel @mrshhjones @TeriHentschel @WarriorAllways @Mopor777 @April_Showers24 @HonoredValor @RealJudgeLynn @ThePerezHilton @Piper @Wendys @bathbodyworks @DiscountTire @kfc @BurgerStCorp @tacobueno @Braums_Inc @TomThumb_Stores @OzarkaSpringWtr @WylersLight @GunsandHosesTX @TaraKfoury @ArlingtonPD @IrvingPD @DallasPD @KennedyAttorney @loncarassociate True, #I20, #I30 #SpeedLimit Could be Increased to 70 like other #Texas #Highways. Current Speed along most of it is 60

Along @utarlington #CooperSt Speed: 30, 98% are #Speeding👎

Almost Feels like one Needs a

'Not Trying to Drive Slowly, Just The Speed Limit' #BumperSticker"
8,Mon Oct 26 03:47:04 +0000 2020,"Can you really be excited for a baseball park having a great World Series? YES, in 2020 it's @GlobeLifeField, home of a totally wild Series. @CityofArlington @UTArlington."
9,Sun Oct 25 20:49:42 +0000 2020,@TonyAtCAPPA @utastudents @utarlington @UTAPrezLim tagging to put on your radar
10,Sat Oct 24 23:53:39 +0000 2020,@ProfThomasAdam @uarkfulbright @fdu_press @UArkansas @UrbanHistoryA No longer with @utarlington?
11,Sat Oct 24 20:42:16 +0000 2020,@dallasschools @CityOfDallas Anyone out there with a minimum Bachelor’s Degree who also is a fluent #German or #Spanish speaker want to change the world? Then TEACH!!! Contact us! We will support you! @certifydisd @UNTDallas @utarlington
12,Sat Oct 24 20:39:33 +0000 2020,@dallasschools @CityOfDallas Anyone out there with a minimum Bachelor’s Degree who also is a fluent #German or #Spanish speaker want to change the world? Then TEACH!!! Contact us! We will support you! @certifydisd @UNTDallas @utarlington
13,Sat Oct 24 16:04:51 +0000 2020,"However, I am still calling on the Senate to adopt the resolution to ensure the UA to maintain this until we can safely reoperate the water fountains, and UA to publicly commit to do so!

Thank you again, @utarlington! And remember to drink up, Mavs!"
14,Sat Oct 24 14:07:58 +0000 2020,"RT @FWISDCareers: Review this job posting &amp; apply today! 
@texmed @TXHCA @TexasCHCs @txruralhealth @tasbnews
@TEPSAtalk @TexasTech @TCUCare…"
15,Fri Oct 23 23:42:46 +0000 2020,@LCHS_AVID @WichitaState @utarlington Yay!!! Congratulations Jeraldy!
16,Thu Oct 22 22:07:11 +0000 2020,@utarlington Interesting! What sort of course work will the degree plan entail?
17,Thu Oct 22 16:37:57 +0000 2020,"RT @aykanian: Hey @utarlington faculty, staff, and students: You can vote early at the Maverick Activities Center. Here's the schedule. #Ea…"
