,created_at,full_text
0,Mon Oct 26 19:17:21 +0000 2020,"RT @VocesCenter: In 2012, Irma Nicolas spoke with the @VocesCenter @UTAustin. She said that her father taught his family to be proud of the…"
1,Mon Oct 26 18:45:21 +0000 2020,"RT @beldonstevens: “Remote proctoring reinforces systemic injustice” (Lindsay Oliver, activism project manager at @EFF) and ""is an expensiv…"
2,Mon Oct 26 18:24:27 +0000 2020,@UTAustin hey why is the CARES act fall application still closed? it’s almost november. there are students who need help
3,Mon Oct 26 17:47:06 +0000 2020,"RT @beldonstevens: “Remote proctoring reinforces systemic injustice” (Lindsay Oliver, activism project manager at @EFF) and ""is an expensiv…"
4,Mon Oct 26 17:45:40 +0000 2020,"“Remote proctoring reinforces systemic injustice” (Lindsay Oliver, activism project manager at @EFF) and ""is an expensive way to terrify students into compliance with sub-par teaching and learning conditions"" (Susan Schorn, a senior academic program coordinator at @UTAustin)"
5,Mon Oct 26 17:36:26 +0000 2020,"In 2012, Irma Nicolas spoke with the @VocesCenter @UTAustin. She said that her father taught his family to be proud of their Mexican heritage."
6,Mon Oct 26 17:26:23 +0000 2020,@UTAustin Hook ‘Em!! 🤘🏾
7,Mon Oct 26 17:13:09 +0000 2020,"College students who act irresponsibly and spread #COVID naturally grab headlines. But @UTAustin, I see the vast majority of students #SocialDistancing and #MaskOn, doing their best to learn (and save lives) during a difficult and uncertain time. I have a ton of respect for them."
8,Mon Oct 26 17:08:43 +0000 2020,"@JimNicar @UTAustin @txgeosciences Check out the floor, it doesn't look it has a finish!"
9,Mon Oct 26 14:25:10 +0000 2020,@vtruskett @UTAustin @CockrellSchool @ksinstituteUT @TexasInnoCenter Congrats!
10,Mon Oct 26 14:11:04 +0000 2020,"A new @UTAustin poll has #Biden up by 3 points vs. #Trump, 48% to 45%. If you haven't voted already, now is the time."
11,Mon Oct 26 13:06:50 +0000 2020,@CB_Forums start today!  Excited to be reunited with @AnnieReznik @UTAustin @PittTweet &amp; @pomonacollege to talk about Following the Money to increase #collegeaccess at 11:00 CST!
12,Mon Oct 26 12:26:22 +0000 2020,"@PaulBegala @NewDay @AlisynCamerota @JohnBerman @UTAustin @mmckinnon Obama has been in the campaign for a long time, looking like he will run again ..."
13,Mon Oct 26 12:21:00 +0000 2020,"@PaulBegala @NewDay @AlisynCamerota @JohnBerman @UTAustin @mmckinnon Trump is losing votes because of Covid, but Biden has to insist on the matter in this last week of the campaign"
14,Mon Oct 26 12:03:24 +0000 2020,"At 8:15 am ET, I'll be on @NewDay with your hosts @AlisynCamerota &amp; @JohnBerman.  Discussing the last week of Election 2020 with my @UTAustin buddy, @mmckinnon.  Join us."
15,Mon Oct 26 11:58:20 +0000 2020,"@safehorns @LindseyRagas @UTAustin Students need to remember to lock their doors, no excuse. @UTAustin might want to consider a change to coded lock doors for dorm rooms. Entry points are auto lock, but students could be unknowingly holding the door open for the thieves. Are there entry point/hallway cameras?"
16,Mon Oct 26 10:55:45 +0000 2020,@paulsperry_ @TexasFootball  @UTAustin Wake up people this is a power-play and nothing else. that song means your tradition and nobody in this generation had slaves 200 years ago.
