,created_at,full_text
0,Mon Oct 26 18:28:04 +0000 2020,Congratulations to Tatyana Gladden. She has been accepted to the @UT_Dallas! #classof2k21 #RocketPride
1,Mon Oct 26 16:28:10 +0000 2020,@UT_Dallas @UTDSUAAB @OsopePatrisse It was an amazing event!!!!
2,Mon Oct 26 14:52:31 +0000 2020,@Dragana_Derlic @UT_Dallas That’s amazing!
3,Mon Oct 26 00:43:44 +0000 2020,@izzy_carrillo21 @UTDALLAS_WBB @UT_Dallas @AthleticsRoad @RRWildcatsBball @RoadAthletes @ATLife100 @dream_bball @piznolly so proud of you izzy! 🥺
4,Sat Oct 24 19:53:03 +0000 2020,"@whatiskanye @TeamTespa @UUtah_esports @UT_Dallas @UTDCOMETSPORTS Sorry for all of the delays! Correction to this past tweet, we will be playing @TAMUSAEsports once all of the technical issues are resolved."
5,Fri Oct 23 16:35:51 +0000 2020,@mattjlarson @LRubino88 @criminologyutd @UTDEPPS @UT_Dallas @OpenAcademics @MindfulAcademix @ascdic @WayneStateCLAS You know we will!! Thank you 😄
6,Fri Oct 23 16:16:21 +0000 2020,@Gabriellewins @criminologyutd @UTDEPPS @UT_Dallas @OpenAcademics @MindfulAcademix @ascdic That is wonderful 😃 and yes! I am on researchgate. Thank you!!
7,Fri Oct 23 16:15:54 +0000 2020,@Dragana_Derlic @criminologyutd @UTDEPPS @UT_Dallas @OpenAcademics @MindfulAcademix @ascdic ***read AND CITE ofc!
8,Fri Oct 23 16:15:13 +0000 2020,"@Dragana_Derlic @LRubino88 @criminologyutd @UTDEPPS @UT_Dallas @OpenAcademics @MindfulAcademix @ascdic @WayneStateCLAS Indeed we are. Keep working hard, you two. Hope you’re both well during these trying times."
9,Fri Oct 23 16:14:45 +0000 2020,@CarlosTheMFT @OpenAcademics @criminologyutd @UTDEPPS @UT_Dallas @MindfulAcademix @ascdic Thank you!!
10,Fri Oct 23 16:14:38 +0000 2020,@PKanagaratnam @criminologyutd @UTDEPPS @UT_Dallas @OpenAcademics @MindfulAcademix @ascdic Thank you!!
11,Fri Oct 23 16:14:11 +0000 2020,@UT_Dallas @criminologyutd @UTDEPPS @OpenAcademics @MindfulAcademix @ascdic Thanks @UT_Dallas @Official_Temoc !!!
12,Fri Oct 23 16:13:37 +0000 2020,@psychbrother @criminologyutd @UTDEPPS @UT_Dallas @OpenAcademics @MindfulAcademix @ascdic Thank you!!
13,Fri Oct 23 16:13:28 +0000 2020,@DavidAPerchinsk @OpenAcademics @criminologyutd @UTDEPPS @UT_Dallas @MindfulAcademix @ascdic Indeed 😃
14,Fri Oct 23 16:13:12 +0000 2020,@MPebole @criminologyutd @UTDEPPS @UT_Dallas @OpenAcademics @MindfulAcademix @ascdic Thank you 😊
15,Fri Oct 23 16:12:59 +0000 2020,@kryanproctor @criminologyutd @UTDEPPS @UT_Dallas @OpenAcademics @MindfulAcademix @ascdic Thank you!!
