,created_at,full_text
0,Mon Oct 26 19:19:51 +0000 2020,RT @IAm_Jesus: Can we please not do the game on Saturday? @UTEPAthletics @UTEP . It’s not safe for any of us to be at the sun bowl with cas…
1,Mon Oct 26 19:19:14 +0000 2020,@IAm_Jesus @UTEPAthletics @UTEP They haven’t cancelled it .... ????
2,Mon Oct 26 19:17:25 +0000 2020,Can we please not do the game on Saturday? @UTEPAthletics @UTEP . It’s not safe for any of us to be at the sun bowl with cases rising so quickly. I want to keep my friends and family safe.
3,Mon Oct 26 19:10:22 +0000 2020,RT @roxy_3230: I already had 3 covid scares in the last 3weeks at UTEP. I  go to campus once for each class in a week. #shutdownelpaso #UTE…
4,Mon Oct 26 17:50:10 +0000 2020,RT @roxy_3230: I already had 3 covid scares in the last 3weeks at UTEP. I  go to campus once for each class in a week. #shutdownelpaso #UTE…
5,Mon Oct 26 16:38:55 +0000 2020,"I already had 3 covid scares in the last 3weeks at UTEP. I  go to campus once for each class in a week. #shutdownelpaso #UTEP @UTEP @mayor_margo
Please shut down our classes it's not safe and it's only getting worse"
6,Mon Oct 26 15:25:56 +0000 2020,@CorsIAQ @tomgillpredicts @UTEP What about voting?
7,Mon Oct 26 02:13:03 +0000 2020,@UTEP Is the Library still open to students with the new restrictions?
8,Sun Oct 25 19:06:51 +0000 2020,. @UTEPAthletics be having fans at game Saturday in middle of huge covid spike n hospitalizations? 🦠🏈 @utep @600espnelpaso @abc7breaking @KTSMtv @KFOX14 @CBS4Local @UTEP_Prospector @CNN @elpasomatters @elpasotimes @ElPasoTXGov
9,Sun Oct 25 17:48:11 +0000 2020,@UTEPProvost @GreatMindsSTEM @utepscience @UTEP A great distinction for a great person. ¡Congratulate!
10,Sun Oct 25 08:16:44 +0000 2020,"RT @IAm_Jesus: Is @UTEP @UTEPAthletics still planning on letting the game go on next week? Endangering not only the UTEP band, cheer, dance…"
11,Sun Oct 25 08:11:31 +0000 2020,"RT @IAm_Jesus: Is @UTEP @UTEPAthletics still planning on letting the game go on next week? Endangering not only the UTEP band, cheer, dance…"
12,Sun Oct 25 04:38:32 +0000 2020,"RT @IAm_Jesus: Is @UTEP @UTEPAthletics still planning on letting the game go on next week? Endangering not only the UTEP band, cheer, dance…"
