,created_at,full_text
0,Mon Oct 26 16:45:12 +0000 2020,RT @DavidSohl: Anyone know who @UTSA is running their college esports program?  @UTSADoS @UTSARec @UTSAAthletics @UTSAStudents @LisaUTSA
1,Mon Oct 26 16:29:43 +0000 2020,"@UTSA #UTSA should be better than to advertise for free for #Zoom

Not to mention, being a research university with a leading Cybersecurity program...

#ZoomIsNotSafe 

Call it web conference, video conference"
2,Mon Oct 26 16:03:52 +0000 2020,Anyone know who @UTSA is running their college esports program?  @UTSADoS @UTSARec @UTSAAthletics @UTSAStudents @LisaUTSA
3,Mon Oct 26 15:09:52 +0000 2020,@Al_Gomez_M @UTSA A1: Engagement &amp; focus can be hard over a computer. It would be beneficial to plan out small &amp; short activities to keep Ss engaged. Allowing Ss little breaks throughout the class day or having some movement exercises to keep them up would be beneficial. #MildModEdChat
4,Mon Oct 26 13:40:27 +0000 2020,@UTSA 🧡THANKS AND GO RUNNERS🧡
5,Mon Oct 26 11:52:38 +0000 2020,@SARoadrunner89 @thefrankharris He is our starter but we need to run the ball more and enough with those cute plays I don't think any have worked... @UTSA
6,Mon Oct 26 04:08:34 +0000 2020,"@Al_Gomez_M @UTSA A1: In order to keep students engaged teachers can use animations, the whiteboard, virtual scavengers hunt and trivia and use real life examples. Also, teachers can use examples using objects found at home. #MildModEdChat"
7,Sun Oct 25 23:24:49 +0000 2020,@_aashleyaann @UTSA thank you love❤️❤️❤️🥺🥺
8,Sun Oct 25 23:24:39 +0000 2020,RT @_aashleyaann: @k_imiii @UTSA Super proud of you babe🥳🧡Ik you’re destined for great things!!
9,Sun Oct 25 23:11:37 +0000 2020,@k_imiii @UTSA Super proud of you babe🥳🧡Ik you’re destined for great things!!
10,Sun Oct 25 23:10:40 +0000 2020,@missjennialfaro @UTSA thank you coach🤙🏽❤️❤️
11,Sun Oct 25 23:01:02 +0000 2020,@k_imiii @UTSA Congratulations 🎉 I’m so proud of you!!!
12,Sun Oct 25 21:41:29 +0000 2020,@BabubhaiThakkar @UTSA It's all herehttps://oskarfischerprize.com/?utm_source=Twitter&amp;utm_medium=CPC&amp;utm_campaign=websiteclicks
13,Sun Oct 25 18:53:10 +0000 2020,@IrishRowdy @UTSA twitter undefeated
14,Sun Oct 25 18:34:43 +0000 2020,@saradioboy Found that out after season 1 and really was a mediocre recruiter.  Taylor done much better at both!  @UTSA #BirdsUp #CATI #RunWithUs
