,created_at,full_text
0,Mon Oct 26 17:25:14 +0000 2020,"Presentation at #apha2020 Looking at insurance type for hospital encounters in suicidal adolescents, commercial insurance rates are significantly higher for inpatient care but Medicaid rates are higher for outpatient care. @UTexasSPH @UTHealth @PublicHealth @APHAAnnualMtg"
1,Mon Oct 26 01:07:52 +0000 2020,"@WVUMAMA2 @JohnCornyn Many of these people are coming back even after being infected wCovid with huge bills and still not well because Covid has left them with secondary ailments. In fact, @UTHealth had created a clinic to deal with this particular issue. It’s becoming a problem, ignored will be worse"
2,Fri Oct 23 00:30:52 +0000 2020,"RT @DutchRojas: @misterchambo Yeah, I mean like @nyulangone @AtriumHealth @StanfordHealth @ucsfhealth @UCLAHealth @OUHealth @UTHealth @uabm…"
3,Thu Oct 22 23:03:43 +0000 2020,@ARazzakMD @hariskamalmd @UTHealthStroke @UTHealth May we have the honor to send you the device publication and introduction per mail for further cooperation discussion? Our contact is info@delicasz.com; What is your hospital/institution and email contact?
4,Thu Oct 22 23:03:34 +0000 2020,@ARazzakMD @hariskamalmd @UTHealthStroke @UTHealth Dear Sir/Madam. This is Delica Medical who is working on robotic-TCD for neuro ICU cerebral automatic monitoring and multimodal solutions. We have reference sites across Europe and USA.
5,Thu Oct 22 21:52:20 +0000 2020,RT @shelleyabc13: BREAKING: @US_FDA approves Remdesivir as the first and only drug with full approval to treat COVID-19 patients. @UTHealth…
6,Thu Oct 22 21:05:36 +0000 2020,RT @shelleyabc13: BREAKING: @US_FDA approves Remdesivir as the first and only drug with full approval to treat COVID-19 patients. @UTHealth…
7,Thu Oct 22 21:04:01 +0000 2020,BREAKING: @US_FDA approves Remdesivir as the first and only drug with full approval to treat COVID-19 patients. @UTHealth says this means the drug has passed all clinical trials and doctors will not need to seek special permissions to treat patients. @abc13houston
8,Thu Oct 22 20:06:55 +0000 2020,RT @richardhyde99: @josuhemejia @UTHealthRGV @UTHealth @UKinTX @utrgv @BrownsvilleCIC Another excellent meeting. Learned a lot about their…
9,Thu Oct 22 20:06:31 +0000 2020,@josuhemejia @UTHealthRGV @UTHealth @UKinTX @utrgv @BrownsvilleCIC Another excellent meeting. Learned a lot about their important work on diabetes and Covid. Opportunities for UK research collaboration.
10,Thu Oct 22 18:08:26 +0000 2020,@DutchRojas @nyulangone @AtriumHealth @StanfordHealth @ucsfhealth @UCLAHealth @OUHealth @UTHealth @uabmedicine @KUMedCenter @ohsuoms At least 100 others...
11,Thu Oct 22 18:07:47 +0000 2020,"RT @DutchRojas: @misterchambo Yeah, I mean like @nyulangone @AtriumHealth @StanfordHealth @ucsfhealth @UCLAHealth @OUHealth @UTHealth @uabm…"
12,Thu Oct 22 17:53:08 +0000 2020,"@misterchambo Yeah, I mean like @nyulangone @AtriumHealth @StanfordHealth @ucsfhealth @UCLAHealth @OUHealth @UTHealth @uabmedicine @KUMedCenter @ohsuoms and 100 others..."
13,Thu Oct 22 09:19:01 +0000 2020,@DrGunjanParikh @gottesman_lab @TheNewANA1 @kj4VA @UVANeurology @thriv_i @LD_McCullough @UTHealth @UTHealthStroke @bcmhouston @UNTHSC @BIDMCRad May we have the honor to send you the device publication and introduction per mail for further cooperation discussion? Our contact is info@delicasz.com; What is your hospital/institution and email contact?
14,Thu Oct 22 09:18:51 +0000 2020,@DrGunjanParikh @gottesman_lab @TheNewANA1 @kj4VA @UVANeurology @thriv_i @LD_McCullough @UTHealth @UTHealthStroke @bcmhouston @UNTHSC @BIDMCRad Dear Sir/Madam. This is Delica Medical who is working on robotic-TCD for neuro ICU cerebral automatic monitoring and multimodal solutions. We have reference sites across Europe and USA.
15,Thu Oct 22 03:21:43 +0000 2020,@UTHealthObGyn @UTHealth @jackie_parchem @BethPineles @mfmchauhan @MySMFM @ericberghMD @samibackley @CaraBuskmiller @MatthewBicocca Doesnt get better than Dr.Sibai &amp; @samibackley rocking these shirts!!🎀🎀🎀🎀🎀🎀
16,Wed Oct 21 11:33:51 +0000 2020,@akkanti @DharaniNaren @SandeepSahayMD @lilitdoc @BCM_ALD @BCM_Lung @BCMHouston_News @McGovernPulmCC @UTHealth Thank you for the tag.
17,Wed Oct 21 11:33:13 +0000 2020,@RoyRiascosMD @memorialhermann @UTHradiology @UTHealth @UTRadRes @UTHouston_IR @TheASNR @RSNA @radEology Thank you for the tag.
18,Tue Oct 20 11:44:01 +0000 2020,@mirvatalasnag @BaylorCardio @ShariqShamimMD @BCMHeart @HMHCardioFellow @srf_aku @AKUGlobal @BCMDeptMedicine @UTHealth @HoustonChron @VAHouston @NishtarMedUniv @ImranKhanPTI Never a vaccine!
19,Tue Oct 20 03:36:30 +0000 2020,@RSamudralwar @UthoustonR @UTHealth @WNGtweets Way to go @SoniaKaur_Singh !
20,Tue Oct 20 02:03:58 +0000 2020,"@sumadshah @UthoustonR @UTHealth @WNGtweets Yes it really turned out well and included clinics with neuropathology, ID, and pulmonary sarcoid clinic. Well try to also include rheumatology and neuro-onc in the future. Kind of like a mini fellowship"
21,Tue Oct 20 01:25:50 +0000 2020,@RSamudralwar @UthoustonR @UTHealth @WNGtweets Sounds like a great idea! We’ll have to look into offering something like this for our trainees!
22,Mon Oct 19 21:15:10 +0000 2020,"@TexasDSHS @LtGovTX @UTHealth It hasn't been a pandemic in months. Perhaps the $$ funding this would be better spent assisting those who have lost their jobs and businesses due to an exaggerated, unnecessary response to a virus with a 99% survival rate. @therealarod1984"
23,Mon Oct 19 20:37:51 +0000 2020,@TexasDSHS @UTHealth Sounds like a good way to inflate case numbers.
24,Mon Oct 19 16:17:59 +0000 2020,RT @DrKeishaRay: My school @UTHealth is allowing students to put their preferred name on their badges. Bravo!
25,Mon Oct 19 13:27:59 +0000 2020,My school @UTHealth is allowing students to put their preferred name on their badges. Bravo!
26,Mon Oct 19 12:54:46 +0000 2020,@DrNikoDragoDO @UTHPMR @UTHealth @memorialhermann Kudos and happy to see Kudos again
27,Sun Oct 18 12:03:55 +0000 2020,"@UTSDHouston @UTHealth @DentalResearch Very interesting, it's an interesting approach to look at sterilization on a needs-basis. Thanks for all that you do!"
28,Sat Oct 17 20:39:25 +0000 2020,@UTHealth @HEB @RORTexas @CLI_UTHealth Thanks @HEB Joe V’s Smart Shop for the donation to @CLI_UTHealth’s @reachoutandread program! Went to my first Joe V’s near I-45/Victory St on the way the UT Physicians Victory Clinic.  Great store.
29,Sat Oct 17 18:30:20 +0000 2020,@UTHealth @HEB @RORTexas @CLI_UTHealth That’s what we call #HouGiving 👍
