,created_at,full_text
0,Mon Oct 26 18:25:48 +0000 2020,@lukelibrarian @DrBarbaraTaylor @UTHealthSASurg @Stewartr84 @UTHealthGME @UTHealthSA @PatientVoting Thanks for info!  I didn’t know about that and will definitely share!
1,Sun Oct 25 21:32:15 +0000 2020,@ChagasTexas @CDCGlobal @UTHealthSA Congrats @PaulaSGranados !!! Much deserved! Thank you for continuing this interesting and much needed work on #Chagas !
2,Sun Oct 25 17:05:52 +0000 2020,"@DrRajRajani @UTHealthSA @TTUHSCEP Congratulations! Hope your faculty &amp; residents submit lots of #research abstracts for presentation at #WOAMeeting2021 in beautiful Coeur d'Alene Idaho next summer, &amp; consider membership. Our meetings are both educational and feature family-friendly activities.🤠"
3,Sun Oct 25 10:00:29 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP Wonderful news! Congratulations!
4,Sun Oct 25 08:16:21 +0000 2020,@drmomani @UTHealthSA @UnivHealthSys @CountryPumpDoc @AJCrpntr @KatieSDodd @BillyStaffordRN Thanks for sharing a great example of ventricular-vascular uncoupling resulting from ventricular unloading. Not only myocardial rest but also circulatory support with a rise in MAP from 55 to 70 mmHg. Please update the thread with the patients heart recovery course on Impella 5.5
5,Sat Oct 24 17:17:16 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP Congratulations! We are so excited to work with you!
6,Sat Oct 24 01:25:48 +0000 2020,"@BarbaraRoblesMD @UTHealthSA @ESCRegion20 Thank you for giving us the opportunity to participate in this incredible project, @BarbaraRoblesMD. So grateful for all of your guidance and the work you are doing for the #teachers and children of San Antonio."
7,Fri Oct 23 19:17:10 +0000 2020,@MVGutierrezMD @UTHealthSA @TTUHSCEP Thank you! I'm disappointed that I won't be able to see the great things you'll accomplish here in San Antonio. Best wishes!
8,Fri Oct 23 19:16:37 +0000 2020,@davidhcmd @UTHealthSA @TTUHSCEP Thanks! Now we're neighbors!
9,Fri Oct 23 17:14:49 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP Big congrats! They are so lucky to get you
10,Fri Oct 23 16:58:23 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP Congratulations Raj!
11,Fri Oct 23 14:00:46 +0000 2020,@harrisslone @UTHealthSA @TTUHSCEP Thanks bud! Hope all is well in Charleston. Say hi to the tumor guys!
12,Fri Oct 23 14:00:00 +0000 2020,@antoniowebbmd @UTHealthSA @TTUHSCEP @UTHealthSAOrtho Thanks Webb. Keep in touch!
13,Fri Oct 23 13:59:26 +0000 2020,@ScanaliatoMD @UTHealthSA @TTUHSCEP I've heard fantastic things about the residency. Looking forward to working with you all!
14,Fri Oct 23 13:58:25 +0000 2020,@mpdrc @UTHealthSA @TTUHSCEP @UTHealthSAMDA Thank you Ruben. I really couldn't ask for a better early career. Truly blessed to grow personally and professionally.  I love my patients and colleagues here in San Antonio and will miss them dearly.
15,Fri Oct 23 13:56:42 +0000 2020,@MichaelSmithMD @UTHealthSA @TTUHSCEP Thanks Mike. I remember you started just after i left. I miss Maximus. He was a fantastic leader @GradyHealth and I learned so much from him. Hope all is well.
16,Fri Oct 23 12:30:43 +0000 2020,"@DrRajRajani @UTHealthSA @TTUHSCEP The Mays Cancer Center @UTHealthSAMDA will miss your wonderful cancer care, passion and ingenuity. We know you will bring great leadership to our colleagues and fellow Texans in El Paso. We look forward to collaborating on #sarcoma research"
17,Fri Oct 23 12:14:36 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP Congratulations!
18,Fri Oct 23 12:08:56 +0000 2020,"@CRUKresearch @Hiom_Lab @dundeeuni @UTHealthSA @cityofhope Congrats to Alex Bishop and team, Alex is fantastic!"
19,Fri Oct 23 10:18:34 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP You will be missed! Thanks for all that you have done for @UTHealthSAOrtho
20,Fri Oct 23 04:47:41 +0000 2020,@jontiu @wustl_pmr @MVGutierrezMD @UTHSA_RehabMed @UTHealthSA @WashUNeurology Thanks a million! You gave us plenty to think about and even more actionable items to start working on! @MVGutierrezMD
21,Fri Oct 23 03:07:22 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP Looking forward to meeting and working with you sir. Welcome!
22,Fri Oct 23 02:41:09 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP Congratulations!
23,Fri Oct 23 02:32:56 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP Congratulations!
24,Fri Oct 23 02:18:36 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP Congrats! Well deserved!!
25,Fri Oct 23 02:14:26 +0000 2020,@DrRajRajani @UTHealthSA @TTUHSCEP Congratulations from a younger Emory Ortho alum that used to hear about your exploits from Tom Moore Sr.
26,Thu Oct 22 18:06:09 +0000 2020,@waritalks @emilyvailmd @GbengaOgedegbe @dennawheeler @nyugrossman @osururalhealth @UTHealthSA I’m thrilled and so proud to be invited to be a panelist.
27,Thu Oct 22 15:45:16 +0000 2020,"@wustl_pmr @MVGutierrezMD @UTHSA_RehabMed @UTHealthSA @WashUNeurology Thank you, @MVGutierrezMD for your insight and wisdom this morning!!"
28,Thu Oct 22 02:22:28 +0000 2020,@skeletalrad @UTHealthSA @UTHealthGME Appreciate your participation!
29,Thu Oct 22 00:50:59 +0000 2020,@CCollinsPhD @UTHealthSA @UTHealthGME Thanks for the initiative! It was a great activity!
30,Wed Oct 21 23:46:18 +0000 2020,"@elmi_maryam @MVGutierrezMD @UTHealthSASurg @UTHealthSA @UTHSA_RehabMed 🏃🏻‍♀️💨💨💨    🏃🏻‍♀️💨💨     🐢 = You, Monica and Me."
31,Wed Oct 21 23:42:18 +0000 2020,@skeletalrad @MVGutierrezMD @UTHealthSASurg @UTHealthSA @UTHSA_RehabMed Come running with us!
32,Wed Oct 21 23:22:50 +0000 2020,@MVGutierrezMD @elmi_maryam @UTHealthSASurg @UTHealthSA @UTHSA_RehabMed Fastest runner. Period. 🏃🏻‍♀️💨💨
33,Wed Oct 21 17:52:53 +0000 2020,@MVGutierrezMD @UTHealthSASurg @UTHealthSA @UTHSA_RehabMed Almost as fast as you 💨
34,Wed Oct 21 07:09:03 +0000 2020,"@UTHealthSAMDA @UTHealthSA @mpdrc I  am a link builder &amp; I've a good number of quality sites, where I can help you to build contextual links which helps you to get good page rank and domain authority. Let me know if you're interested, And if you want another list of quality websites."
35,Wed Oct 21 07:04:29 +0000 2020,"@UTHealthSA @UTHealthcareSA I  am a link builder &amp; I've a good number of quality sites, where I can help you to build contextual links which helps you to get good page rank and domain authority. Let me know if you're interested, And if you want another list of quality websites."
36,Wed Oct 21 00:56:30 +0000 2020,@UTHealthSA @SABizJournal Thank you!
37,Tue Oct 20 20:04:50 +0000 2020,"@UTHealthSA @strongstar_ptsd Thank you for @UTHealthSA and @strongstar_ptsd for supporting this important initiative.

Our veterans have made countless contributions to our country and our company. Veterans make up 40% of Boeing’s San Antonio workforce."
38,Tue Oct 20 19:21:50 +0000 2020,@UTHealthSA Hi. My grandma works for UT Health. Where can she get one of these masks?
39,Tue Oct 20 19:11:30 +0000 2020,RT @RLSWrites: @lilygc @UTHealthSA @peaceSATX So fantastic!
40,Tue Oct 20 19:11:21 +0000 2020,RT @lilygc: @RLSWrites @UTHealthSA @peaceSATX Your work is! ❤️❤️👏🏻💯
41,Tue Oct 20 19:09:39 +0000 2020,@RLSWrites @UTHealthSA @peaceSATX Your work is! ❤️❤️👏🏻💯
42,Tue Oct 20 18:58:12 +0000 2020,@lilygc @UTHealthSA @peaceSATX So fantastic!
43,Tue Oct 20 14:01:15 +0000 2020,@MiamorChevy @UTHealthSA see you then!
44,Tue Oct 20 00:11:34 +0000 2020,@DrSujanaENT @UTHealthSA Very glad you could join us!
