,created_at,full_text
0,Mon Oct 26 19:21:04 +0000 2020,RT @audvin: @fumikochino @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmar…
1,Mon Oct 26 19:19:46 +0000 2020,"@fumikochino @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @subatomicdoc @OncoAlert @oncology_bg @DrMalikaSiker @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur Yes, SymplurRank is similar to impact factor in the sense that it is earned through received engagement from others (number of tweets and number of followers are ignored)."
2,Mon Oct 26 19:18:06 +0000 2020,Grateful for my team of physicians @PennMedicine @MDAndersonNews They make all the difference!
3,Mon Oct 26 19:05:33 +0000 2020,RT @DrSpratticus: @fumikochino @subatomicdoc @DrMalikaSiker @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle…
4,Mon Oct 26 18:58:50 +0000 2020,@HenningWillers @DrMalikaSiker @fumikochino @DrSpratticus @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @OncoAlert @oncology_bg @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur Fortunately I had that mostly figured out before Twitter. Still tweaking it slightly
5,Mon Oct 26 18:58:26 +0000 2020,RT @HenningWillers: @subatomicdoc @DrMalikaSiker @fumikochino @DrSpratticus @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle…
6,Mon Oct 26 18:55:46 +0000 2020,@shoeracing @TommyJohnson_Jr @MDAndersonNews @Dodge Awesome hard fought win....congratulations!
7,Mon Oct 26 18:52:13 +0000 2020,@fumikochino @subatomicdoc @DrMalikaSiker @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @OncoAlert @oncology_bg @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur @NicholasZaorsky @drdavidsamadi is a great example.  Check him out. ;)
8,Mon Oct 26 18:50:00 +0000 2020,"@DrSpratticus @subatomicdoc @DrMalikaSiker @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @OncoAlert @oncology_bg @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur @NicholasZaorsky Realistically, if a #soMe ""influencer"" was able to leverage their fame into meaningful public health good, does it matter if they don't have a single academic paper? It's all about the people who get helped in the end, right? Otherwise it's just ego and that's a bottomless hole."
9,Mon Oct 26 18:46:17 +0000 2020,@subatomicdoc @DrMalikaSiker @fumikochino @DrSpratticus @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @OncoAlert @oncology_bg @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur if only i could find it. the deeper purpose🙄
10,Mon Oct 26 18:42:30 +0000 2020,"@subatomicdoc @fumikochino @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @OncoAlert @oncology_bg @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur My metrics for happiness do not involve any artificial scales/indexes including the ""academic"" ones. Here they are:

Does this help my community?
Does this make my family (esp kids) proud?
Does this help anyone who is suffering (esp patients)?

#tikkunolam"
11,Mon Oct 26 18:37:38 +0000 2020,"@fumikochino @subatomicdoc @DrMalikaSiker @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @OncoAlert @oncology_bg @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur I love it.  The k-index.  Would be curious if that is negative correlated with standard forms of academic productivity that change the treatment landscape for patients (national trials, NIH funding, high impact papers). @NicholasZaorsky may know"
12,Mon Oct 26 18:35:02 +0000 2020,RT @DrSpratticus: @subatomicdoc @DrMalikaSiker @fumikochino @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle…
13,Mon Oct 26 18:34:50 +0000 2020,"@subatomicdoc @DrMalikaSiker @fumikochino @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @OncoAlert @oncology_bg @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur Amen to that.  Sad day for those who are validated by twitter metrics...

Back to science!"
14,Mon Oct 26 18:34:27 +0000 2020,"@subatomicdoc @DrMalikaSiker @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @OncoAlert @oncology_bg @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur Yes, I don't want to get into a debate about the ""kardashian index"" but I will say that being able to promote your science and the importance of your research to the general public is increasingly important. The #COVID19 pandemic definitely showed us the danger of misinformation."
15,Mon Oct 26 18:33:09 +0000 2020,@fumikochino @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @subatomicdoc @OncoAlert @oncology_bg @DrMalikaSiker @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur I am sure they do :)  Cracks me up that people think social media is scientific impact.  I am sure our president would agree with symplur as he would have a very high impact factor of misinformation.
16,Mon Oct 26 18:32:11 +0000 2020,"@DrMalikaSiker @fumikochino @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @OncoAlert @oncology_bg @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur Thanks Malika, I agree. The metrics that matter to me aren't on Twitter. Do it because you love what you're doing and it helps you achieve your deeper purpose."
17,Mon Oct 26 18:30:10 +0000 2020,RT @DrMalikaSiker: @fumikochino @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira…
18,Mon Oct 26 18:29:34 +0000 2020,"@fumikochino @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @subatomicdoc @OncoAlert @oncology_bg @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur Not to get too existential, but it's up to each of us to define the metrics that we use to find our own happiness. For some, it might be exciting to see their voice have influence on Twitter. Let's not put each other down, but build each other up. Proud to see many friends listed"
19,Mon Oct 26 18:16:48 +0000 2020,@TommyJohnson_Jr @MDAndersonNews @shoeracing @Pennzoil @Dodge @OfficialMOPAR @Hangsterfers @OkumaAmerica @CampingWorld @NHRA Congratulations TJ &amp; Team. Man do I wish I could be in Vegas.
20,Mon Oct 26 18:14:03 +0000 2020,"@fumikochino @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @OncoAlert @oncology_bg @DrMalikaSiker @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl @symplur Both games have their own sets of rules that can be 'gamed', but much easier to do on social media."
21,Mon Oct 26 18:07:43 +0000 2020,@fumikochino @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @davidbermudezi @ARRO_org @subatomicdoc @OncoAlert @oncology_bg @DrMalikaSiker @ChelainG @ggmspeijer @DrWinkfield @MDAndersonNews @KaitlynLapen @HinaSaeedMD @joostverhoeff @ChristinaChapMD @DrLesterColl Results by action!!
22,Mon Oct 26 17:58:07 +0000 2020,RT @fumikochino: @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @da…
23,Mon Oct 26 17:57:33 +0000 2020,"RT @MDAndersonNews: Cancer care cannot wait. If you have a suspected or confirmed cancer diagnosis, we’re here for you. We are safely treat…"
24,Mon Oct 26 17:56:40 +0000 2020,RT @fumikochino: @DrSpratticus @HenningWillers @ASTRO_org @ErinGillespieMD @cd_fuller @GitaSuneja @HeyNinaElle @IanJPereira @DrOmarMian @da…
