,created_at,full_text
0,Fri Oct 23 02:35:31 +0000 2020,"@youngneuros @jacquesmorcosmd @PeterKa80460001 @NREFORG @AANSNeuro @UMneurosurgery @BCMNeurosurgery @utmbhealth @cvsection @SNISinfo @AANSNeurosurg @BrainSpineGroup @WFNS_YNF @EANSonline Unfortunately, I’ve been on call these last two Thursdays. Looking forward to watching the video of this webinar! Thank you again for the opportunity 🤝"
1,Thu Oct 22 17:54:13 +0000 2020,"@DrJeffTemple @TexasDFPS @UTMB_ViolPrev @utmbhealth Very nice, Dr. Temple!"
2,Thu Oct 22 09:37:23 +0000 2020,RT @MissingLaptop: @MichaelPSenger @AlexBerenson @utmbhealth This is an interesting theory that I’ve missed. And when you think about their…
3,Thu Oct 22 02:00:18 +0000 2020,@DrJeffTemple @TexasDFPS @TXPsychAssoc @UTMB_ViolPrev @utmbhealth Are you wearing a tie?  2020...you did it again.
4,Wed Oct 21 22:56:24 +0000 2020,@DrJeffTemple @TexasDFPS @TXPsychAssoc @UTMB_ViolPrev @utmbhealth Wish I had known about this ahead of time. Was it by chance recorded?
5,Wed Oct 21 22:51:11 +0000 2020,RT @BaylorCardio: What is your go to device 4 coronary atherectomy mostly? @csi360 @bostonsci #LASER #Orbital #Rotational atherectomy? #Car…
6,Wed Oct 21 21:18:34 +0000 2020,@MichaelPSenger @AlexBerenson @utmbhealth This is an interesting theory that I’ve missed. And when you think about their miraculous economic recovery and seemingly lack of COVID concern *now*...it makes a lot of sense.
7,Wed Oct 21 17:20:55 +0000 2020,@AlexBerenson @utmbhealth Probably some 🤐 $ involved too... may be wise to look at that side of things.. maybe?
8,Wed Oct 21 17:02:21 +0000 2020,"@AlexBerenson @utmbhealth What? Because a BSL4 lab in the United States worked with a BSL4 lab in China you suspect they knew something sinister about the Coronavirus how absurd!
Rest assured our own government knew about the coronavirus we have  the CIA they're not incompetent."
9,Wed Oct 21 16:26:05 +0000 2020,"@Broncos27 @AlexBerenson @utmbhealth he’s smart and well researched and makes valid points, which should be considered.  I don’t care that he’s mean, but he is selective in his reporting and verging on a propagandist.  I don’t think he’s red, I think he’s an opportunist, which is fine but it should be pointed out."
10,Wed Oct 21 16:11:25 +0000 2020,@AlexBerenson @utmbhealth Maybe that explains why @GovAbbott seems to still be acting like we have a covid19 problem in Texas instead of acting like florida...
11,Wed Oct 21 15:42:57 +0000 2020,"@wait4thegoodlif @AlexBerenson @utmbhealth Yes. N-95 masks and space. 
No, but everybody isn’t smart. Like *blindly* following the Orange man. 

Email Berenson. If you assume he’s politically Red, you’d be wrong. His isn’t a political crusade, but one for truth (so he says) and open debate. But being mean hurts his rep"
12,Wed Oct 21 15:39:17 +0000 2020,@wait4thegoodlif @AlexBerenson @utmbhealth You're evading the question Bradley (or is it Bradley Mark). Please find one where he calls Covid benign. Thanks much.
13,Wed Oct 21 15:38:55 +0000 2020,"@kayceeinva @AlexBerenson @utmbhealth They call it 'gain of function' - In other words, they try to modify these viruses so that they CAN infect humans. Then, as the story goes, they can learn how to cure them. 

Seems like a great idea, considering they can't even cure the mild human flu/corona viruses."
14,Wed Oct 21 15:27:49 +0000 2020,@AlexBerenson @utmbhealth welp
15,Wed Oct 21 15:14:53 +0000 2020,"@Broncos27 @AlexBerenson @utmbhealth Is any amount of precaution appropriate?  Are large, unmasked political rallies smart?  Filling football stadiums?"
16,Wed Oct 21 15:07:25 +0000 2020,"RT @TexasDFPS: @DrJeffTemple @TXPsychAssoc @UTMB_ViolPrev @utmbhealth Thank you for joining us, Dr. Temple! #pipcon2020"
17,Wed Oct 21 15:06:01 +0000 2020,@wait4thegoodlif @AlexBerenson @utmbhealth What developing catastrophe in the Midwest. Please show where hospitals are not a accepting patients or a massive need for ventilators or maybe a portable field hospital.  Remember cases are just positive tests. They are not sick.
18,Wed Oct 21 15:00:10 +0000 2020,@AlexBerenson @utmbhealth Can we get @MCHammer to deliver the subpoena?
19,Wed Oct 21 14:59:36 +0000 2020,"@DrJeffTemple @TXPsychAssoc @UTMB_ViolPrev @utmbhealth Thank you for joining us, Dr. Temple! #pipcon2020"
20,Wed Oct 21 14:55:18 +0000 2020,"@wait4thegoodlif @AlexBerenson @utmbhealth Well, again, all or nothing thinking can bite here, too. There are lazy idiots that say it then leave it at that. 
I subscribe to ‘Virus gonna Virus’ in that outside of lvl 4 PPE or complete isolation, a virus this wildly contagious is nearly impossible to contain/control."
21,Wed Oct 21 14:32:05 +0000 2020,@Broncos27 @AlexBerenson @utmbhealth So the virus is not ignorable.  Where does the phrase “virus going to virus” fit in then?
22,Wed Oct 21 14:25:25 +0000 2020,"@wait4thegoodlif @AlexBerenson @utmbhealth Here’s help
“Alleged” = relatively (to actual horrific dangers, i.e. heart disease, cancer)
“Catastrophe” = issue
Nobody thinks it’s fake, nor ignorable. This all-or-nothing approach kills the ability to reason, i.e. Under Control versus Catastrophic. Put simply, It’s fear bruh"
23,Wed Oct 21 14:14:11 +0000 2020,"@linn_baxter @AlexBerenson @utmbhealth Oh ho, so the narrative is shifting!  I presume you and Alex download your thoughts from similarly deranged conspiracy touting chat rooms.  As to your question, hit any tweet of his at random over the last 4 months."
24,Wed Oct 21 14:08:36 +0000 2020,"@AlexBerenson @utmbhealth Jeezus, you were always a bit loony, but you have totally flipped out now.   Get some professional help."
25,Wed Oct 21 14:03:40 +0000 2020,"@wait4thegoodlif @AlexBerenson @utmbhealth Hi Bradley! Can you please refer me to a tweet where Alex says the virus is ""benign?"" Because I must have missed it!"
26,Wed Oct 21 13:57:56 +0000 2020,"@AlexBerenson @utmbhealth Does your increased focus on the origins of the virus, as opposed to your typical selective reporting on its alleged benign nature, reflect growing awareness of the potential public health  catastrophe developing in the Midwest?"
27,Wed Oct 21 13:52:40 +0000 2020,@AlexBerenson @utmbhealth Woohoo! Berenson's going full Plandemic for the final stretch!
