,created_at,full_text
0,Mon Oct 26 13:45:20 +0000 2020,"RT @crlopez_17: So proud of our @utrgv students!✌🏼This morning I enjoyed supporting two virtual, student-led events: @UTRGVUREC #Zoombathon…"
1,Sat Oct 24 16:18:59 +0000 2020,"RT @crlopez_17: So proud of our @utrgv students!✌🏼This morning I enjoyed supporting two virtual, student-led events: @UTRGVUREC #Zoombathon…"
2,Sat Oct 24 15:23:29 +0000 2020,"So proud of our @utrgv students!✌🏼This morning I enjoyed supporting two virtual, student-led events: @UTRGVUREC #Zoombathon and @UTRGVSOM #WalkWithAFutureDoc   both in observance of #BreastCancerAwarenessMonth Great things are happening here!😉#VsUp #UTRGVPride #UTRGV"
3,Fri Oct 23 17:58:03 +0000 2020,"In its October issue, the magazine released its “Top 100 Colleges and Universities for Hispanics” for 2020, ranking the top schools in the country for enrolling and awarding degrees to Hispanic students.

#UTRGV"
4,Fri Oct 23 16:34:56 +0000 2020,@utrgv how can online classes have limit on capacity????
5,Fri Oct 23 14:50:39 +0000 2020,@utrgv let us register omg 🙃
6,Fri Oct 23 14:32:34 +0000 2020,@utrgv why are you broken!!
7,Fri Oct 23 14:30:08 +0000 2020,Been trying to register for classes for 30 min now!!!! @utrgv
8,Fri Oct 23 14:27:35 +0000 2020,"AYO @utrgv FIX ASSIST, I’M TRYING TO REGISTER"
9,Fri Oct 23 06:44:43 +0000 2020,@ErikaTCamacho @sacnas @ASU @utrgv Congratulations!
10,Fri Oct 23 02:25:48 +0000 2020,@sacnas @ErikaTCamacho @ASU @utrgv Congratulations!!!
11,Fri Oct 23 01:11:14 +0000 2020,RT @StudentsTweetP1: #StudentsTweetPolitics takes on the 2nd #PresidentialDebate2020 tonight at 8pm TEXAS time! My @utrgv @UTRGVPOLS studen…
12,Fri Oct 23 00:45:07 +0000 2020,"RT @ErikaTCamacho: @sacnas @ASU @utrgv It is truly honored to receive this award from SACNAS and with this outstanding SACNista, who is my…"
13,Fri Oct 23 00:42:35 +0000 2020,@ErikaTCamacho @sacnas @ASU @utrgv Congratulations!
14,Fri Oct 23 00:40:52 +0000 2020,"RT @ErikaTCamacho: @sacnas @ASU @utrgv It is truly honored to receive this award from SACNAS and with this outstanding SACNista, who is my…"
15,Fri Oct 23 00:39:13 +0000 2020,@ErikaTCamacho @sacnas @ASU @utrgv Congratulations! Well-deserved honor
16,Fri Oct 23 00:37:26 +0000 2020,@ErikaTCamacho @sacnas @ASU @utrgv Many congratulations 🙂
17,Fri Oct 23 00:00:24 +0000 2020,"@sacnas @ASU @utrgv It is truly honored to receive this award from SACNAS and with this outstanding SACNista, who is my dear friend, collaborator, and math colleague!!!! Thus this is like a double award ☺️Thank you!"
18,Thu Oct 22 23:56:20 +0000 2020,"@kveotv23 @utrgv @KarinaVargasTV Refund, refund!"
19,Thu Oct 22 22:41:06 +0000 2020,RT @StudentsTweetP1: #StudentsTweetPolitics takes on the 2nd #PresidentialDebate2020 tonight at 8pm TEXAS time! My @utrgv @UTRGVPOLS studen…
20,Thu Oct 22 21:36:39 +0000 2020,#StudentsTweetPolitics takes on the 2nd #PresidentialDebate2020 tonight at 8pm TEXAS time! My @utrgv @UTRGVPOLS students will be live tweeting the debate tonight. See what tomorrow's leaders are saying about this year's candidates! I'll be watching on @PBS
21,Thu Oct 22 20:44:31 +0000 2020,@utrgvwriter @utrgv @UTRGVadmissions @utrgv_ucentral Thank you!
22,Thu Oct 22 20:06:55 +0000 2020,RT @richardhyde99: @josuhemejia @UTHealthRGV @UTHealth @UKinTX @utrgv @BrownsvilleCIC Another excellent meeting. Learned a lot about their…
23,Thu Oct 22 20:06:31 +0000 2020,@josuhemejia @UTHealthRGV @UTHealth @UKinTX @utrgv @BrownsvilleCIC Another excellent meeting. Learned a lot about their important work on diabetes and Covid. Opportunities for UK research collaboration.
24,Thu Oct 22 19:58:46 +0000 2020,"@sacnas @ErikaTCamacho @ASU @utrgv Way to go, @ErikaTCamacho - currently also a wonderful colleague @NSF"
25,Thu Oct 22 15:09:22 +0000 2020,@BrandeisGolf @utrgv It was meant to be 💙🧡 thank you for always collaborating with the Career Center and helping our Broncos understand their post grad options 💪
26,Thu Oct 22 04:17:03 +0000 2020,@karenslab @utrgv Congratulations!
27,Wed Oct 21 23:10:00 +0000 2020,"Do founder CEO's lead the way? @SouthernMgt Virtual Conference. Dr. Michael Adebe @utrgv presents ""Does Founder CEO Leadership Discourage Corporate Misconduct?"", Thursday Oct. 22nd 10:15 - 11:45 am EST"
28,Wed Oct 21 21:20:15 +0000 2020,@wals_ashley @utrgv Ahhh!! Thanks for tagging me! 😍🥺❤️
29,Wed Oct 21 19:49:23 +0000 2020,"@josuhemejia @utrgv @UKinTX @UTRGV_ECC @UtrgvCIC @UTRGVNewsroom WTG, @josuhemejia. You make us proud."
30,Wed Oct 21 00:47:36 +0000 2020,RT @richardhyde99: @josuhemejia @utrgv @UKinTX @UTRGV_ECC @UtrgvCIC @UTRGVNewsroom Thanks to our friends at @utrgv for a great conversation…
31,Wed Oct 21 00:43:14 +0000 2020,@josuhemejia @utrgv @UKinTX @UTRGV_ECC @UtrgvCIC @UTRGVNewsroom Thanks to our friends at @utrgv for a great conversation. Fascinating to hear about your work supporting economic development through education. We look forward to working more with you in future
32,Tue Oct 20 23:11:27 +0000 2020,What would you say is the best way to make more people understand the dangers going on right now? How would I make a change in my own university? @utrgv #theNSLS @BillNye
33,Tue Oct 20 21:17:49 +0000 2020,RT @SadBoiTwerk: Hey @utrgv I've been trying to get a covid test for days now and keep getting the run around because I don't have a car. I…
34,Tue Oct 20 20:30:47 +0000 2020,Hey @utrgv I've been trying to get a covid test for days now and keep getting the run around because I don't have a car. I have a lump in my throat that fucking HURTS and I can't go to the health center without a test. I've done everything. For fuck's sake help me.
35,Mon Oct 19 18:48:16 +0000 2020,@claudiareardon taking the IOC certificate in mental health. Working with sports medicine fellowship at @utrgv. I work as an integrated behavioral health provider in primary care and soon doing a similar process with our sports med docs and fellows for the athletes. Would love
36,Mon Oct 19 10:25:48 +0000 2020,"@elMateo071 @itsamandarg @utrgv Also, @UTRGVAA here is a student of yours. While I know his expressions do not represent your university. I think it’s important  for the university to notice these homophobic, and hateful comments made by your student."
37,Mon Oct 19 09:56:06 +0000 2020,@elMateo071 @itsamandarg @utrgv seems like one of your students is calling people “jotos” “bitch bois” and “pussytrumpsters” does Utrgv endorse this? I would like to file a report with academic affairs. Please provide number/email for acadmic affairs.
38,Sun Oct 18 15:39:58 +0000 2020,@subbalakshmi___ @utrgv @HSIBotBrains @Dell @lyft @ExpediaGroup Very proud of you!!! Excellent work!!!
39,Sun Oct 18 03:28:49 +0000 2020,@karenslab @NSF @utrgv @HSIBotBrains @Dell @lyft @ExpediaGroup Wonderful &amp; excellent! Thanks for sharing @karenslab! @sacnas @GreatMindsSTEM #AcademicTwitter
40,Sat Oct 17 23:59:06 +0000 2020,@ChasseConque @GoUTRGV @utrgv Never my boss but always knew working for him would be a joy!
