,created_at,full_text
0,Mon Oct 26 19:09:22 +0000 2020,@NedaWickEdPath @UTSWNews @UTSW_Pathology @ChanghongNeuro Psh no bias. Our neuroprogram is awesome.
1,Mon Oct 26 17:33:35 +0000 2020,@NedaWickEdPath @UTSWNews @UTSW_Pathology @ChanghongNeuro One and the only Dr. Burns👍
2,Mon Oct 26 15:29:04 +0000 2020,"Volunteers are needed from all racial/ethnic and socioeconomic backgrounds, but particularly from African American and Hispanic communities, which are being disproportionately impacted by #COVID19."
3,Mon Oct 26 15:20:33 +0000 2020,The study is expanding from its original invitation-only format to offer more members of #DallasCounty and @TarrantCountyTX communities a chance to participate.
4,Mon Oct 26 15:17:20 +0000 2020,"As North Texas braces for flu season and a second wave of COVID-19, a major study by UT Southwestern and @TexasHealth Resources is expanding."
5,Sun Oct 25 15:56:35 +0000 2020,@RicardoLaHozMD @ChongPearlie @UTSWNews @UTSWInfDis You beat me to it!!
6,Sun Oct 25 10:41:48 +0000 2020,"@JennyDoren @UTSWNews Thank you, Jenny!"
7,Sat Oct 24 23:59:50 +0000 2020,"#OakLawn is pretty centrally located. Many places to walk to but also a quick, equidistant drive to most places in Dallas - especially our beloved @Parkland and @UTSWNews"
8,Sat Oct 24 22:40:10 +0000 2020,"@UTSWNews Legend.  Proud to say I was once ""pimped"" by him.   The actual quote is ""Here's a dime. Call your mother. Tell her you're not going to be a doctor."""
9,Sat Oct 24 22:34:41 +0000 2020,@DrQuinnCapers4 @McDougle2020 @NationalMedAssn @OhioStateMed @UTSWNews Dr. @McDougle2020 is a gem and must be cloned across the country at every medical school!
10,Sat Oct 24 21:33:19 +0000 2020,"RT @LisaMiorin: This was a fantastic collaboration between the #Rosenberglab and the #AGSlab #GarciaSastrelab at @IcahnMountSinai, the #Fon…"
11,Sat Oct 24 17:02:41 +0000 2020,"This was a fantastic collaboration between the #Rosenberglab and the #AGSlab #GarciaSastrelab at @IcahnMountSinai, the #Fontouralab @UTSWNews, @KroganLab, @thechandalab and others!!!"
12,Sat Oct 24 11:44:00 +0000 2020,@UTSWBrain @UTSWNews So lucky to have Sheila on our team!!
