,created_at,full_text
0,Mon Oct 26 17:52:43 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
1,Mon Oct 26 17:46:51 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
2,Mon Oct 26 17:40:18 +0000 2020,@drjjamesfrost scientific interests and training started with chemistry @utulsa and then @WUSTLmed @WUSTL
3,Mon Oct 26 17:25:19 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
4,Mon Oct 26 17:12:36 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
5,Mon Oct 26 16:52:47 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
6,Mon Oct 26 16:50:39 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
7,Mon Oct 26 15:40:41 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
8,Mon Oct 26 14:21:00 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
9,Mon Oct 26 12:57:03 +0000 2020,"@TheCoachFletch @utulsa Donte Domino
6'2
170 pounds 
Glen Oaks High School
Class of 2022
Postion-Db"
10,Mon Oct 26 11:40:26 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
11,Mon Oct 26 06:30:03 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
12,Mon Oct 26 02:48:25 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
13,Mon Oct 26 01:04:58 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
14,Mon Oct 26 00:34:39 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
15,Mon Oct 26 00:18:51 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
16,Sun Oct 25 23:36:58 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
17,Sun Oct 25 23:35:39 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
18,Sun Oct 25 23:02:44 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
19,Sun Oct 25 22:56:43 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
20,Sun Oct 25 21:04:06 +0000 2020,"RT @TheCoachFletch: #LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #Th…"
21,Sun Oct 25 20:58:05 +0000 2020,"#LEGACYWEEK Today @utulsa we celebrate, honor, commemorate &amp; partner w/a very important/significant part of #Tulsa. #TheGreenwoodDistrict aka #BlackWallStreet. We celebrate alums, leaders, businesses from the past/present who service w/courage &amp; will build going forward✊🏿✊🏾✊🏽✊🏼✊🏻"
22,Sat Oct 24 02:51:56 +0000 2020,@Cantu___ love seeing you play on ESPN. @utulsa @UnionFootball
23,Sat Oct 24 02:41:53 +0000 2020,"@Ostroski_BigO @TulsaFootball @utulsa The World Series is on, Jerry."
24,Fri Oct 23 21:32:32 +0000 2020,"@astepanovich @AnthonyOklahoma @OneNetOK @utulsa A very interesting syllabus! I wonder if there's anyone teaching a similar course here in Australia? 
Ping @Kobotic"
25,Fri Oct 23 20:30:07 +0000 2020,@AnthonyOklahoma @OneNetOK @utulsa @AnthonyOklahoma is deeply passionate about training the next generation of cybersecurity attorneys.  He teaches a cybersecurity law at @OCULAW that focuses on how law can and should respond to innovation in technology #sharethemicincyber
26,Fri Oct 23 19:54:48 +0000 2020,@RyanSitton @utulsa Speaking of the reliability of data...  you’re behind on these T-1’s.  Some are delayed by months. Can you tell your team over there to shake a leg?
27,Fri Oct 23 19:39:01 +0000 2020,@AnthonyOklahoma has spoken prolifically on #cyber and #privacy.  He's been featured  at @OneNetOK Cybersecurity Forum and @UTulsa Cyber Summit #sharethemicincyber
28,Fri Oct 23 19:24:00 +0000 2020,@AnthonyOklahoma has spoken prolifically on #cyber and #privacy.  He's been featured  at @OneNetOK Cybersecurity Forum and @UTulsa Cyber Summit #sharethemicincyber
29,Fri Oct 23 12:16:45 +0000 2020,@MicrosoftTeams clear standout as best #tech performer/unifier during pandemic @utulsa - what was yours? #highered #TechNews #Covid_19 #cio
30,Thu Oct 22 10:45:21 +0000 2020,@ScottyMac94 @ClarkMcconnells @jenna_makay12 @utulsa @WHS_SportsMed17 @Willis_HS_TX @WillisSchools @jgonzalesATC @jtterrell18 Yo what’s up bro send me a picture
31,Wed Oct 21 01:54:01 +0000 2020,@utulsa @MONEY But no longer recruiting international students. 😢
32,Wed Oct 21 00:44:32 +0000 2020,@utulsa @wallethub Wow! Nice!
33,Tue Oct 20 21:35:27 +0000 2020,@LukeRagland 😂 listen we’re all suffering. Not because I care about Mountain West football but because @utulsa’s game was canceled this past weekend.
34,Tue Oct 20 19:58:27 +0000 2020,RT @katieerickman: @utulsa please let us pass fail i am so tired
35,Tue Oct 20 17:08:24 +0000 2020,@utulsa please let us pass fail i am so tired
