,created_at,full_text
0,Mon Oct 26 17:55:30 +0000 2020,RT @CFlandersVT: .@uvmvermont prez @SVGarimella says he's again recommending a tuition freeze for next academic year. He's also proposing t…
1,Mon Oct 26 17:20:30 +0000 2020,RT @CFlandersVT: .@uvmvermont prez @SVGarimella says he's again recommending a tuition freeze for next academic year. He's also proposing t…
2,Mon Oct 26 17:10:15 +0000 2020,".@uvmvermont prez @SVGarimella says he's again recommending a tuition freeze for next academic year. He's also proposing to freeze room and board, which has risen 3.2 percent annually over the last eight years. The board of trustees will make a final decision in the spring. #vted"
3,Mon Oct 26 01:29:02 +0000 2020,So here is something fun besides @kanyewest on the ballot in the VT @uvmvermont @VTLakeMonsters @UVMmbb  If only these Political Parties on the #Vermont #Vote2020 who would you choose? They are real parties on the ballot. @vprnet @winooskivt @Shelburne_PD_VT @KayaJones @TdLombard
4,Sun Oct 25 21:07:30 +0000 2020,"@sandrannadi1 @uvmvermont @UVM_GSS @BGG2gradschool @Momademia Sandra, so glad to have you in my lab! You are off to a great start but it is so helpful to have the insight of others as you travel your own path.  Hope you enjoy the book!😊"
5,Sun Oct 25 17:33:35 +0000 2020,My nephew received a mailer from my alma mater @uvmvermont it brought a tear to my eye as it made me realize how old I am. Go Cats
6,Sun Oct 25 15:32:57 +0000 2020,@AngryTheInch @NewHorizons2015 I saw once on our dorm roof at @uvmvermont in Burlington. Looked then like rich inked spilled slowly on a surface. This with Pink Floyd Dark Side of the Moon playing (too) loudly!
7,Sun Oct 25 14:27:07 +0000 2020,@MaryCushmanMD @EricTopol @uvmvermont Kudos also to the Dr. Patsy Tassler and the Infectious disease epidemiology group in the VT Dept of Health under Dr. Levine - it is clear how hard they have been working and that they have a great team
8,Sat Oct 24 23:50:46 +0000 2020,"@postandcourier Stark contrast to @uvmvermont students I see here in Burlington, VT. It’s like another country, actually."
9,Sat Oct 24 23:01:46 +0000 2020,RT @sacnas: Congrats to Juniper Lovato of @uvmvermont for your student presentation award in Computer Science and Civil Engineering! #SACNA…
10,Sat Oct 24 21:34:09 +0000 2020,RT @sacnas: Congrats to Juniper Lovato of @uvmvermont for your student presentation award in Computer Science and Civil Engineering! #SACNA…
11,Sat Oct 24 20:46:23 +0000 2020,Congrats to Juniper Lovato of @uvmvermont for your student presentation award in Computer Science and Civil Engineering! #SACNAS2020
12,Sat Oct 24 16:17:25 +0000 2020,I've been interviewing @uvmvermont Film &amp; TV studies colleagues for my Classical Cinema course to help students connect with faculty at a time when they aren't having organic interactions. The benefit of this is that I also get to have inspiring conversations with my colleagues.
13,Sat Oct 24 13:26:39 +0000 2020,@uvmvermont @uvmcess I know her...i observed her reading a story to her kindergarteners on Thursday! She's an amazing teacher🍁
14,Fri Oct 23 22:29:44 +0000 2020,@GABOUALFA @AlfaPath @uvmvermont @UVMLarnerMed @UVMMedCenter Great!
15,Fri Oct 23 13:57:31 +0000 2020,@uvmOTC @uvmvermont The Topol link or . . . ?
16,Fri Oct 23 08:40:19 +0000 2020,@SVGarimella @uvmvermont Thank you for supporting the Arts at UVM! 🌸
17,Fri Oct 23 03:03:58 +0000 2020,@places_we_made @geosociety @GundInstitute @uvmvermont yes! very observant. less so rocks more on the ~stuff~
18,Fri Oct 23 03:02:02 +0000 2020,@drewchrist_geo @geosociety @GundInstitute @uvmvermont Is it cause there's like rocks and stuff in there buddy?
19,Thu Oct 22 21:14:36 +0000 2020,"@uvmvermont @UVMSGA all business inside and outside Grossman, v. proud of you @LanaNamee! #UVMBiz"
20,Thu Oct 22 19:47:19 +0000 2020,@uvmvermont @UVMLarnerMed ♥️ Just think of how much hard work these students had to do to get to this point. Congrats to them!
21,Thu Oct 22 19:31:33 +0000 2020,@uvmvermont @UVMHonors my kid is in that class! with Dean Jenemann :)
22,Thu Oct 22 15:31:47 +0000 2020,@uvmvermont Can someone explain why if the virus is virtually non existent at UVM why can’t students return to normal learning!!!!!
23,Thu Oct 22 15:12:45 +0000 2020,"RT @RachelSEdens: @julesteaches @GholdyM @profesoraduque @StevieWonder @jules, I JUST shared this with my #CultureOfDisabilityClass discuss…"
24,Thu Oct 22 11:45:47 +0000 2020,@UVMPattyPrelock @uvmvermont The testing has been amazingly easy and efficient! Thank you!
25,Wed Oct 21 18:58:19 +0000 2020,"@campusreform Since @uvmvermont &amp; other schools don’t want to acknowledge their ALUMNI, then ALUMNI should feel free to cease all donations. Parents should think about these schools’ actions before even let their kids apply to such schools. Reality is $$ speaks louder than entitled liberals."
26,Wed Oct 21 16:56:42 +0000 2020,"RT @FaulknerLegal: If you're attending the @uvmvermont Legal Issues in Higher Ed conference, please check out my session on Student Mental…"
27,Wed Oct 21 16:26:28 +0000 2020,@EricRenaghan @AthPerf101 @UVM_ATHPERF @JustinSmithUVM @UVMathletics @uvmvermont Thanks Eric! Your tremendous work and innovation in our field are facilitating these investigations. We can't express our appreciation enough for everything you do.
28,Wed Oct 21 15:48:16 +0000 2020,"RT @FaulknerLegal: If you're attending the @uvmvermont Legal Issues in Higher Ed conference, please check out my session on Student Mental…"
29,Wed Oct 21 14:00:46 +0000 2020,"If you're attending the @uvmvermont Legal Issues in Higher Ed conference, please check out my session on Student Mental Health Issues Following the Onset of COVID-19. I'm co-presenting with @UnitedEducators' Heather Salko. @UVMLegalIssues  #mentalhealth  #covid #students"
30,Wed Oct 21 13:53:55 +0000 2020,@AdamVirgile @AthPerf101 @UVM_ATHPERF @JustinSmithUVM @UVMathletics @uvmvermont Great work! Helps explain how the “switch” phase is a major player in athlete performance.
31,Tue Oct 20 21:29:33 +0000 2020,@kristilefebvre @DavidRosowsky @uvmcems @uvmvermont @JohnDeere @Case_IH I don't care what color they are as long as they run ....
32,Tue Oct 20 16:11:33 +0000 2020,"RT @GrandRiverSols: Jody Shipper is “on the road” again! This week, she joins national leaders at the University of Vermont’s virtual Legal…"
33,Tue Oct 20 15:38:01 +0000 2020,"I have to say though @uvmvermont really does set the standard for a green campus - composting before it was VT law, water fountains everywhere, minimal if any use of plastics."
34,Mon Oct 19 15:34:07 +0000 2020,"Tomorrow at 6:30 pm is the @YouthHavePower Climate Summit, presented by the @WildCenter, and @ClimateClubDC is excited to attend! We've reached out to guest speakers, a climate scientist professor at @uvmvermont and a research intern at @NASAGoddard. Can't wait! #ClimateAction"
35,Mon Oct 19 14:08:22 +0000 2020,"RT @GrandRiverSols: Jody Shipper is “on the road” again! This week, she joins national leaders at the University of Vermont’s virtual Legal…"
36,Mon Oct 19 13:15:10 +0000 2020,"Jody Shipper is “on the road” again! This week, she joins national leaders at the University of Vermont’s virtual Legal Issues in Higher Education conference for the “Ask and Expert Panel.” @JodyShipper @uvmvermont #UVM #HigherEd #Solutions"
37,Mon Oct 19 03:37:03 +0000 2020,@HeatherWhaley @realDonaldTrump And with a @uvmvermont sweatshirt on!
38,Sat Oct 17 23:48:39 +0000 2020,"@evamckend @uvmvermont @Morehouse Great news, keep up the good work &amp; horizon expansionists"
39,Sat Oct 17 22:15:40 +0000 2020,"@tom_borchert Thank YOU for all your work—&amp; while we helped, you’ve done a heroic amount to make sure the conference happened, that early-career / independent scholars / grad students had access + undergrads could tune in. Worth my minimal work. @AASAsianStudies @uvmvermont"
