,created_at,full_text
0,Mon Oct 26 19:14:23 +0000 2020,"@BugsBunny69 @UW @SeattleParks @Around_Seattle That's so interesting that you say that. I have a similar saying, haha, on my Flickr site that says ""Home is where I use my camera."" 

A lot of overlap between my mind 🧠, my heart ❤️, and my camera 📸. 

Thanks for your lovely comments, as always."
1,Mon Oct 26 19:08:27 +0000 2020,"@TIA_INTL_PHOTO @UW @SeattleParks @Around_Seattle Then you were in the right place at the right time. And home is, where the heart is 😉"
2,Mon Oct 26 19:01:39 +0000 2020,@BugsBunny69 @UW @SeattleParks @Around_Seattle 😋 I think planning to live here for three years + ending up staying for *14 years* might have contributed to my affinity for the Emerald City. Never thought I would be in one place for this long. My sister thinks it's because the area resembles where we lived in Norway somewhat.
3,Mon Oct 26 18:56:34 +0000 2020,"@BugsBunny69 @PloybCG @UW @SeattleParks @Around_Seattle @CityofSeattle I would like to clarify that when I say ""local trolls"", I mean locals in Seattle who are complaining about the park online via social media and trying to link it to the city's challenging social issues. Thankfully, no one has physically trashed the park. It's a brand new park."
4,Mon Oct 26 18:56:33 +0000 2020,@TIA_INTL_PHOTO @UW @SeattleParks @Around_Seattle You can clearly see that in your pictures 😍🙂
5,Mon Oct 26 18:52:06 +0000 2020,"@BugsBunny69 @UW @SeattleParks @Around_Seattle Cheers, Kerstin! I would love to show you around as I've always done with all my visitors. My closest friends have recently discovered that I may actually love Seattle more than I admit since my #photography, according to them, seems to indicate that I really love Seattle. 🥰"
6,Mon Oct 26 18:45:03 +0000 2020,@TIA_INTL_PHOTO @PloybCG @UW @SeattleParks @Around_Seattle @CityofSeattle Unbelievable 😔
7,Mon Oct 26 18:44:12 +0000 2020,"@TIA_INTL_PHOTO @UW @SeattleParks @Around_Seattle Beautiful place 😍. Would like to go for a walk with you there, Tosin 😊😉."
8,Mon Oct 26 18:42:31 +0000 2020,@UW Gorgeous!
9,Mon Oct 26 18:22:15 +0000 2020,@PloybCG @UW @SeattleParks @Around_Seattle Thanks! I'm also sharing the images because local trolls are already trashing the park. I don't think it's been in existence for two weeks yet. I don't believe the @CityofSeattle or @SeattleParks deserve such antipathy and negativity for offering a new place for people to visit.
10,Mon Oct 26 18:18:46 +0000 2020,"@TIA_INTL_PHOTO @UW @SeattleParks @Around_Seattle We can see why, great photos. 👍"
11,Mon Oct 26 18:16:50 +0000 2020,"@PloybCG @UW @SeattleParks @Around_Seattle Cheers, CG!  It's a *beautiful* new space and offers a new vantage of some neighborhoods of Seattle that were unavailable before the park was created. I cycle by there frequently now!"
12,Mon Oct 26 18:13:15 +0000 2020,@TIA_INTL_PHOTO @UW @SeattleParks @Around_Seattle What a wonderful place.
13,Mon Oct 26 18:06:42 +0000 2020,"@HDruzin Tips from @UW's Dr. Lori A. Zoellner as we head into next week:

1. Be kind to yourself. 

2. Make sure you’re doing the basics: eat, (try to) sleep, exercise, connect w/people who care. 

Support is powerful.

#ElectionSOS"
14,Mon Oct 26 18:00:15 +0000 2020,@wn3 @UW Golden Gardens in Ballard has an off-leash dog park!
15,Mon Oct 26 17:36:18 +0000 2020,"@SeattleChannel @UW @SeattleParks The responses to this video about the new park for our city -- which is supposed to be positive + inviting -- are rather negative. For those complaining about this new accomplishment, what actions have you taken as private citizens to improve conditions in Seattle? Anything?"
16,Mon Oct 26 17:27:23 +0000 2020,We're excited to see the Hans Rosling Center for Population Health at @UW featured on @KUOW. HRC is a landmark project for the campus bringing together departments previously spread over campus. These groups provide metrics to fight the current pandemic and prevent future ones.
17,Mon Oct 26 17:17:53 +0000 2020,"The Hutch community is incredibly collaborative, and the combination of research excellence in basic science, translational research with @SeattleCCA, and affiliation with outstanding departments @UW is what drew me in."
18,Mon Oct 26 17:13:38 +0000 2020,"With @PollsterPatrick from @MonmouthPoll, @LydiaSaad1 from @Gallup, #CamilleBurge from @VillanovaU and #PatriciaMoy from @AAPOR and @UW — Senior Producer: @LindseyatCNBC — graphics by: #KyleWalsh"
19,Mon Oct 26 16:22:54 +0000 2020,@GeoarchGSA @RutgersU @UW @wsu @geosociety Congratulations Gail! @RutgersEPS
20,Mon Oct 26 15:22:25 +0000 2020,@wn3 @UW Have you been to Magnuson dog park?
21,Mon Oct 26 13:28:03 +0000 2020,@UW Lake Washington!
22,Mon Oct 26 11:07:38 +0000 2020,"@UW Hello, someone please share with me the WhatsApp group link"
23,Mon Oct 26 05:54:36 +0000 2020,@UW These r beautiful pics! Seward park would be my childhood go to spot in a nice fall day.
24,Mon Oct 26 05:35:38 +0000 2020,@UW Gasworks
25,Mon Oct 26 04:56:57 +0000 2020,"@DenaDubal @UW He's alive, you will see. The military has heat seeking equipment, night vision equipment, drones, etc. He's def NOT going to die of thirst because there is some snow. Since 1897, 400 people have died on Mt. Rainier. I SERIOUSLY doubt that yr brother on overnight hike is dead."
26,Mon Oct 26 03:23:07 +0000 2020,@MalindaFrevert @UW @RepDelBene @DubsUW @UWMedicine I adore Dubs... even if he IS a malamute masquerading as a husky. 13/10 would indulge his outrageous lies again
27,Mon Oct 26 03:15:13 +0000 2020,"@UW Husky Stadium, North Side.  With Starbucks and Red Vines."
28,Mon Oct 26 03:06:10 +0000 2020,@UW Green lake is hard to beat!
29,Mon Oct 26 02:53:59 +0000 2020,"@UW Somewhere I can take my dog, preferably off leash. Any ideas?"
30,Mon Oct 26 02:53:47 +0000 2020,@JeremyJBauer @KING5Seattle @komonews @Q13FOX @UW @HawaiiNewsNow @gohawaii I know Jeremy it is complete madness right now.  Some people are flying back to where they came from in the situation your wife is in.
31,Mon Oct 26 01:50:52 +0000 2020,@EngineerBarbie @KING5Seattle @komonews @Q13FOX @UW @HawaiiNewsNow @gohawaii Noted...just illogical that a test from the lab that processes the tests from the trusted partners is not accepted. Thanks for the response
32,Mon Oct 26 01:22:41 +0000 2020,@JeremyJBauer @KING5Seattle @komonews @Q13FOX @UW @HawaiiNewsNow @gohawaii If you do not test from the “trusted partners” you have a 14 day quarantine even with a negative Covid test from another lab.
33,Mon Oct 26 00:51:27 +0000 2020,"@wodemingzishii @RockHound47 A theoretical and evolutionary biologist at @UW acted as an authority recommending lockdowns, and by falsely identifying dissent by citizens at risk, 'disinformation'.

They harmed 65 million Americans.

His university should be pursued for class harm and oppression."
34,Mon Oct 26 00:48:35 +0000 2020,@CityofKent @blueorigin @NWSSeattle  has the balloons I'm sure. @UW  maybe too.
35,Mon Oct 26 00:39:36 +0000 2020,@FieldYates @AndreasRole I graduated from @UW and I haaaaate Oregon till I die but even I was telling people he's the first Oregon QB prospect who is gonna be a major problem in the NFL. Great leader and perfect skill set for today's game. He's scary good already.
