,created_at,full_text
0,Mon Oct 26 18:12:35 +0000 2020,@PhillyInquirer @UWMadison Fake news !!! A good way to discourage citizens from voting for trump !  Trump 2020 ❤️
1,Mon Oct 26 17:50:46 +0000 2020,@yoshikoherrera @uwpolisci @UWMadison Thank you!! 😊❤️
2,Mon Oct 26 17:47:54 +0000 2020,@DylanGacek555 @andrealm58 @UWMadison I’m aware you were joking buddy lol. It was more blaming the university. We don’t know if he’s actually positive and if he is how he got it.
3,Mon Oct 26 16:49:24 +0000 2020,@yoshikoherrera @tamia_18 @uwpolisci @UWMadison Same! #J618 pride.
4,Mon Oct 26 16:27:17 +0000 2020,@hartman_bill @UWHealth @uwsmph @UWMadison I’ve always donated blood a few times a year. Now I’m at 5-6 times per year.
5,Mon Oct 26 16:17:59 +0000 2020,"RT @NickWidzowski: @PatrickIber @AdamSerwer @UWMadison I imagine there's been conversations about it, but I hope at some point we get a com…"
6,Mon Oct 26 16:11:28 +0000 2020,"@PatrickIber @AdamSerwer @UWMadison I imagine there's been conversations about it, but I hope at some point we get a compendium of essays @AdamSerwer has written about the Trump Era similar to Eight Years In Power."
7,Mon Oct 26 16:00:28 +0000 2020,@PatrickIber @AdamSerwer @UWMadison Looking forward to it.
8,Mon Oct 26 15:24:54 +0000 2020,"@physorg_com @UWMadison @PhysRevA ¡
As a result, you will soon be verifying
like the theses of homeopathy
!"
9,Mon Oct 26 15:05:40 +0000 2020,"@PhillyInquirer @UWMadison Good for you, PA. Vote Blue!"
10,Mon Oct 26 14:45:58 +0000 2020,RT @matthewmitnick_: Concerned with @UWMadison NOT enacting a Moral Restart for next semester? Frustrated with @UWMadisonPolice? Angry UW w…
11,Mon Oct 26 13:52:08 +0000 2020,"@jak55555 @PhillyInquirer @UWMadison Any Big Stories on Hunters laptop? Great porn video of Hunter smoking crack while getting a Foot Job. Nice Diary by Joe’s granddaughter, seems like this family is whacked"
12,Mon Oct 26 13:48:26 +0000 2020,@PhillyInquirer @UWMadison Fake poll. Ha.
13,Mon Oct 26 13:43:02 +0000 2020,@PhillyInquirer @UWMadison Crazy since he doesn’t even know who he’s running against. And last week he thought he was running for senate and didn’t  know what state he was in shame actually.
14,Mon Oct 26 13:33:38 +0000 2020,"@PhillyInquirer @mmjlou @UWMadison Keep the votes coming folks, we want @JoeBiden to win by a landslide!"
15,Mon Oct 26 13:33:35 +0000 2020,"@physorg_com @UWMadison @PhysRevA It may even be exemplified by the famous thought experiment with Schrodinger’s cat, which is theorized to be both alive and dead at the same time. 
He was fascinated with Hindu philosophy and understood the amazing similarities and parallels that correlated with quantum behavior."
16,Mon Oct 26 13:32:50 +0000 2020,"@physorg_com @UWMadison @PhysRevA Both dualism and unity (monism) are expressed phenomena in quantum physics and in Hindu philosophy. The Copenhagen Interpretation is essentially the recognition of the complementarity or binary state of HUMAN thinking, regardless of religious or philosophical traditions."
17,Mon Oct 26 13:27:45 +0000 2020,@PhillyInquirer @UWMadison Dem city only you mean
18,Mon Oct 26 13:10:29 +0000 2020,"@PhillyInquirer @UWMadison It's time for benevolence and consideration for all, with less anger toward others."
19,Mon Oct 26 13:10:17 +0000 2020,"@UWMadisonMedia @ElectionsCenter @UWMadison @bcburden By my math, your poll says that 21.6% of likely voters in 2020 didn't vote for HRC or DJT in 2016 (either third-party or non-voters). Can you please confirm? This seems very, very high."
20,Mon Oct 26 13:10:10 +0000 2020,@PhillyInquirer @UWMadison Fake bullshit lies !!!
21,Mon Oct 26 12:48:21 +0000 2020,"RT @MadisonWIClerk: Because of possible SNOW today, voting at @UWMadison will only available inside at Memorial Union 11am-6pm. 

#MadisonV…"
22,Mon Oct 26 12:37:14 +0000 2020,"RT @MadisonWIClerk: Because of possible SNOW today, voting at @UWMadison will only available inside at Memorial Union 11am-6pm. 

#MadisonV…"
23,Mon Oct 26 08:07:49 +0000 2020,@chillinmikes @andrealm58 @UWMadison I have no factual evidence on this claim. I just blame them because Fuck Ohio State 🤷🏻‍♂️
24,Mon Oct 26 08:01:37 +0000 2020,@andrealm58 @DylanGacek555 @UWMadison Wait until it is confirmed by the nasal swab test before anyone throws shade (or whatever you kids are saying nowadays)
25,Mon Oct 26 05:01:52 +0000 2020,"@MarkPocan @lisaann11 @CityofMadison Maybe you should actually check out the sites. All UW sites have tents. Due to COVID, tents cannot have all 4 walls. Memorial Union was the only location that clerks were allowed indoors per @UWMadison."
26,Mon Oct 26 04:31:31 +0000 2020,RT @matthewmitnick_: Concerned with @UWMadison NOT enacting a Moral Restart for next semester? Frustrated with @UWMadisonPolice? Angry UW w…
27,Mon Oct 26 04:12:24 +0000 2020,"Concerned with @UWMadison NOT enacting a Moral Restart for next semester? Frustrated with @UWMadisonPolice? Angry UW won’t promise worker continuity for all workers? 

Then please speak in open forum 7pm on Tues at Student Council or send written comments to chair@asm.wisc.edu!"
28,Mon Oct 26 03:00:13 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
29,Mon Oct 26 02:12:22 +0000 2020,"@conniejj18 @UWMadison @ASlavitt How can you compare Boston with Wisconsin. we now comparing France with Greece.
WHY does U of I Champaign have appx 3K cases as it tests BI WEEKLY? Seems problem was the initial wave of students coming in untested Both U of I and Wisconsin look similar in initial wave and now?"
30,Mon Oct 26 02:09:29 +0000 2020,@UWMadison Please link the study which led you to conclude there is a risk of reinfection?
31,Mon Oct 26 01:10:40 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
32,Mon Oct 26 01:09:57 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
33,Mon Oct 26 01:03:05 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
34,Mon Oct 26 00:30:14 +0000 2020,@DylanGacek555 I blame @UWMadison yo
35,Sun Oct 25 23:48:25 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
36,Sun Oct 25 23:28:26 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
37,Sun Oct 25 23:21:09 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
38,Sun Oct 25 23:21:02 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
39,Sun Oct 25 23:19:33 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
40,Sun Oct 25 23:18:50 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
41,Sun Oct 25 23:08:41 +0000 2020,RT @SarahforWI: Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Un…
42,Sun Oct 25 23:05:31 +0000 2020,Hey @UWMadison students! Grab your mask and come #MeetMeAtTheBallotBox tomorrow at 2:30 pm at Library Mall near Memorial Union. You can register and vote in just one visit! @DemsUWMadison
43,Sun Oct 25 22:22:32 +0000 2020,@UWMadison DUDE MAKE THE FUCKING WIFI ON CAMPIS BETTER HOLY SHIT
44,Sun Oct 25 22:15:17 +0000 2020,"@UWMadison @ASlavitt The comparison between a private university with a large endowment and freedom to order students to do just abt anything- and a public, taxpayer funded Big10 University with 2x the students and rules encoded in state statute...is ludicrious."
45,Sun Oct 25 22:11:16 +0000 2020,"@conniejj18 @UWMadison @ASlavitt Then why does U of I Champaign have appx 3K cases as it tests bi weekly? The problem was the initial wave of students coming in untested. Both U of I and Wisconsin look similar now , as they did after the initial wave"
46,Sun Oct 25 22:10:41 +0000 2020,"RT @NPRCnews: Parkinson’s disease affects more than 10 million people worldwide. Recently, scientists at @UWMadison #WiNPRC discovered a ne…"
47,Sun Oct 25 21:49:16 +0000 2020,Your hoodie says Wisconsin alumni but you’re too stupid to read the 5 signs that say “mask required”? Maybe ask for a refund from @UWMadison
48,Sun Oct 25 21:12:27 +0000 2020,@UWMadison @ASlavitt I am glad to see my Alma mater is doing *everyone* 2x/week next semester. I hope they are following U of IL protocol
49,Sun Oct 25 20:50:24 +0000 2020,"RT @NPRCnews: Parkinson’s disease affects more than 10 million people worldwide. Recently, scientists at @UWMadison #WiNPRC discovered a ne…"
50,Sun Oct 25 20:31:33 +0000 2020,"RT @MadisonWIClerk: Because of possible SNOW today, voting at @UWMadison will only available inside at Memorial Union 11am-6pm. 

#MadisonV…"
51,Sun Oct 25 20:09:45 +0000 2020,RT @JackTheNeuroEng: I guess this is a good time to mention that while I'm happy to see @UWMadison making 2x weekly testing required for co…
52,Sun Oct 25 19:53:13 +0000 2020,RT @NPRCnews: Anxiety is more common than you might expect: some 40 million Americans experience some type of #anxiety disorder. Researcher…
53,Sun Oct 25 19:46:20 +0000 2020,"Racial justice, bad policies, etc to shut up, and hide behind the norms. This is why CoE climate needs to improve.
-Fascism is on the rise, and universities like @UWMadison perpetuate it, from a culture of ""just following orders,"" to aggressive responses to dissent, to..."
54,Sun Oct 25 19:46:20 +0000 2020,"I've been saying Everything is Related for a while. This is what I mean:
-Danes COVID outbreak is no longer as bad on campus, but now is ravaging marginalized communities. @UWMadison could have prevented that.
-Admins weaponize microaggressions to get people who speak up about..."
55,Sun Oct 25 19:46:19 +0000 2020,"I guess this is a good time to mention that while I'm happy to see @UWMadison making 2x weekly testing required for coming to campus next year, I'm also just... Angry? This is what the studies I cited recommended when admins in my department/college..."
56,Sun Oct 25 19:23:15 +0000 2020,@MadisonWIClerk @UWMadison Really? In Wisconsin? I call bullshit and voter suppression
57,Sun Oct 25 19:18:24 +0000 2020,"RT @MadisonWIClerk: Because of possible SNOW today, voting at @UWMadison will only available inside at Memorial Union 11am-6pm. 

#MadisonV…"
58,Sun Oct 25 17:18:43 +0000 2020,"First step: join your union, *especially* if you're tenured or tenure-track. Tenured/TT faculty are underrepresented in faculty unions yet have far more power than their contingent colleagues to advocate for workplace protections.

At @UWMadison, that's @UFAS223."
59,Sun Oct 25 17:06:35 +0000 2020,@TonyTalksBack @MadisonWIClerk @UWMadison No but dang that sounds so good.😋
