,created_at,full_text
0,Mon Oct 26 17:36:26 +0000 2020,@usuHURD @USUAggies Just got mine. Let’s go😈
1,Mon Oct 26 04:40:27 +0000 2020,@rachelsteenblik My BFF from @USUAggies and I had gotten a hotel in DC and had a nice night out for dinner and drinks... wanting to celebrated at WH... and as returns started coming in I started getting sick as I could see things where wrong.  Ended up crying ourselves to sleep in hotel.
2,Mon Oct 26 04:20:06 +0000 2020,@rachelsteenblik @JennyGarrard @USUAggies in the TSC. I had to study or take a test. I had done exit polling earlier and knew it was ugly in #utah. I was watching the returns come in with a Muslim student. We stood in absolute silence.  Exactly like 9/11
3,Mon Oct 26 02:58:14 +0000 2020,Are legacy fields lifts off for the winter? @USUAggies
4,Sun Oct 25 22:00:53 +0000 2020,"Proud @USUAggies Aggies. Very nice window art at The Factory!!!

Gross"
5,Sun Oct 25 03:02:40 +0000 2020,@jamiemerisotis @NewAmerica @monthly @glastris @dcwriter360 @kevincarey1 @USUAggies @VanderbiltU I smell like sandins well.??? What they hey my feet sninck.
6,Sun Oct 25 02:46:14 +0000 2020,@sltrib @julie_jag Sorry @USUAggies @jbrowergirl
7,Sun Oct 25 00:13:17 +0000 2020,"Thanks for coming out, @USUFootball @USUAggies 
#BleedBlue"
8,Sat Oct 24 06:25:15 +0000 2020,@USUFootball @USUGymnastics @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD Very scenic. I am jealous
9,Sat Oct 24 04:23:55 +0000 2020,@USUFootball @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD Agreed. Maverik is👌!
10,Sat Oct 24 01:23:28 +0000 2020,@TutulooTuesday @USUAggies He always brings it
11,Sat Oct 24 01:08:00 +0000 2020,Wore my Sam Merrill shirt to take a big test today and if that won’t help me pass idk what will. @USUAggies
12,Fri Oct 23 23:05:10 +0000 2020,"Jeremiah studied bioactive heterocyclic compounds at @USUAggies and took 3 gap years after graduating to serve a church mission and do research. During his PhD @uarizona, he studied P-body control of mRNA in oncogenic signaling in the Kraft Lab in CBIO.

2/3"
13,Fri Oct 23 13:33:47 +0000 2020,@saltyposaune @USUFootball @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD How is it not in a good way
14,Fri Oct 23 05:40:03 +0000 2020,"@USUFootball @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD I’ve been 4 times, not impressed. Only thing notable was students brought in a couch one time which was pretty neat. Not the worst in the conference but certainly not the best."
15,Fri Oct 23 05:15:03 +0000 2020,"@GOBLUEMHW4 @USUFootball @CFBRanking @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD Big house has little noise.  Cool stadium, but couldn't believe how little energy there was outside of students."
16,Fri Oct 23 04:41:04 +0000 2020,@ThatWierdKid17 @USUFootball @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD Not in a good way lol
17,Fri Oct 23 04:31:54 +0000 2020,@USUFootball @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD I was at the BSU game in this stadium last year. Your lame ass fans threatened me in the EZ section I was in and then they all left well before halftime after they realized the ass kicking BSU was dishing out was here to stay. Nah. This stadium is TRASH for a multitude of reasons
18,Fri Oct 23 04:16:10 +0000 2020,@saltyposaune @USUFootball @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD Atleast it's iconic
19,Fri Oct 23 04:11:31 +0000 2020,@USUFootball @ThatWierdKid17 @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD Just remember the last time you guys won on the blue we were still 1-AA. The last time we one down there...last year. By 35 😳😳
20,Fri Oct 23 04:06:16 +0000 2020,@wjhallmark6 @USUFootball @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD lol at anyone who thinks otherwise 😂
21,Fri Oct 23 03:28:04 +0000 2020,@USUFootball @CFBRanking @USUAthletics @USUAggies @Maverik @AggiesUnlimited @USUAClub @UtahStateAlumni @usuHURD Come and play at our house and then we can compare when The Herd makes a trip to Utah for the first time.
22,Fri Oct 23 00:56:40 +0000 2020,RT @noellecockett: Some guy is lost on 4th North. He has been crossing back and forth for hours. The 10 @Logancitypolice officers are more…
23,Fri Oct 23 00:51:09 +0000 2020,RT @noellecockett: Some guy is lost on 4th North. He has been crossing back and forth for hours. The 10 @Logancitypolice officers are more…
24,Fri Oct 23 00:02:19 +0000 2020,RT @noellecockett: Some guy is lost on 4th North. He has been crossing back and forth for hours. The 10 @Logancitypolice officers are more…
25,Thu Oct 22 22:57:50 +0000 2020,Some guy is lost on 4th North. He has been crossing back and forth for hours. The 10 @Logancitypolice officers are more worried about writing tickets than helping him. @USUAggies
26,Thu Oct 22 20:02:03 +0000 2020,Anyone up for donating swag to our amazing students? @WeberStateU @SUUThunderbirds @USUAggies @uofutah @BYU @SnowCollege @UVU @uafairbanks @MSUBobcats @WestminsterSLC @USUAggies @davistechcolleg @DixieState
27,Thu Oct 22 02:59:44 +0000 2020,"@USUAggies Yes the fall colors are beautiful this year and worth a drive up over traverse Mountain. Make a
stop for a heavenly view of Utah Lake at the top of Sun Crest.
I don't think there's a better view of the lake anywhere in utah county."
28,Wed Oct 21 23:52:22 +0000 2020,@avery_ed @lecagle @USUAggies @USUEnglish wow congrats!!
29,Wed Oct 21 23:17:28 +0000 2020,"@avery_ed @USUAggies @USUEnglish Congratulations, friend!"
30,Wed Oct 21 23:03:51 +0000 2020,@avery_ed @USUAggies @USUEnglish So good!
31,Wed Oct 21 22:28:16 +0000 2020,"@Jameson_Olsen @USUAggies Actually, kinda, yes."
32,Wed Oct 21 22:26:58 +0000 2020,@charleyriddle @USUAggies Is it...punching the asteroid?
33,Wed Oct 21 20:56:57 +0000 2020,@avery_ed @USUAggies @USUEnglish 🥳 Congrats! Great recognition for the amazing scholar you are.
34,Wed Oct 21 17:20:41 +0000 2020,"@patrickqmason @USUAggies @SVUedu Thank you! The faculty have done a great job, but our COVID resource center are the biggest heroes of these past few months. 

VMI, just a few miles away, sent everyone online just last week."
35,Wed Oct 21 17:17:15 +0000 2020,@JeremiahWJohn @USUAggies @SVUedu Awesome! I have no doubt this list is not even close to comprehensive. Sounds like you're doing a great job there at SVU. (As I would expect with such terrific leadership😀)
36,Wed Oct 21 16:50:10 +0000 2020,"@patrickqmason @USUAggies All of our faculty and students were given the option to be in-person or online, or hybrid, and we've had a total of three positive students cases, with 30 minute on-campus testing. @svuedu"
37,Wed Oct 21 02:33:55 +0000 2020,"RT @JamesOstergar: @HorkGorbin @BYU @USUAggies has hired separate employees all around campus to do this so that library employees, profess…"
