,created_at,full_text
0,Mon Oct 26 15:48:29 +0000 2020,@UVU Please don't
1,Mon Oct 26 15:23:44 +0000 2020,@UVU What?
2,Sun Oct 25 02:05:45 +0000 2020,"@BYU raised their tuition prices this year meaning that they’re no longer the least expensive school in Utah. @DixieState is, followed closely by @UVU. Now I’m wondering why I ever chose BYU when it’s less affordable AND a worse environment."
3,Sat Oct 24 15:18:39 +0000 2020,Brendan McCarthy from @uvu talking about digital humanities projects in his Roman culture course.
4,Sat Oct 24 09:22:42 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
5,Sat Oct 24 09:20:59 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
6,Sat Oct 24 09:20:17 +0000 2020,@citlanx @grahamja51 @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @UtahCoronavirus @UUtah @BYU @UVU @Mercedes_Bouter @mdc_martinus Controversial! Defo fomite least but droplets probably more common/likely but mostly aerosols indoors for superspreader events that are estimated to account for 80% of the spread
7,Sat Oct 24 08:32:35 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
8,Sat Oct 24 07:25:18 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
9,Sat Oct 24 07:02:12 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
10,Sat Oct 24 01:58:55 +0000 2020,@citlanx @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @UtahCoronavirus @UUtah @BYU @UVU @Mercedes_Bouter @mdc_martinus This is really wearing me out!
11,Sat Oct 24 01:09:37 +0000 2020,@UDOTRegionthree @BYU @UVU @RideUTA @UtahDOT So they could see the good university?  😉
12,Sat Oct 24 01:03:29 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
13,Sat Oct 24 00:41:58 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
14,Fri Oct 23 23:21:10 +0000 2020,@citlanx @SprkJoy4BtrDays @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @UtahCoronavirus @UUtah @BYU @UVU @Mercedes_Bouter @mdc_martinus I DIDN'T KNOW THERE WOULD BE A TEST!!
15,Fri Oct 23 23:01:37 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
16,Fri Oct 23 22:57:16 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
17,Fri Oct 23 22:42:58 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
18,Fri Oct 23 22:36:23 +0000 2020,@UDOTRegionthree @BYU @UVU @RideUTA @UtahDOT Was the site visit considered to be a success?
19,Fri Oct 23 22:25:13 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
20,Fri Oct 23 22:23:37 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
21,Fri Oct 23 22:05:55 +0000 2020,@citlanx @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @UtahCoronavirus @UUtah @BYU @UVU @mdc_martinus * nit = not
22,Fri Oct 23 22:04:39 +0000 2020,"@citlanx @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @UtahCoronavirus @UUtah @BYU @UVU @mdc_martinus It goes to show how habits contribute to airborne infection extensively. Yesterday it was about 20°C in the Netherlands, but people still turn up the HVAC and shut the windows because they think they can ""catch a cold"" in the fall. They cases rise since indoor life has restarted."
23,Fri Oct 23 21:58:05 +0000 2020,RT @citlanx: What is the primary transmission mode of  #SARS_CoV_2 in order? @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @Uta…
24,Fri Oct 23 21:56:48 +0000 2020,@citlanx @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @UtahCoronavirus @UUtah @BYU @UVU @mdc_martinus Fomites can contribute to transmission as (1) glucose structures and arachidic acidic bridges are stronger than initially estimated and (2) they can be aerosolized. But then comes the main contributor: airborne transmission. Easy to inhale into alveoli + penetrate the cribiform.
25,Fri Oct 23 21:52:12 +0000 2020,"@citlanx @kprather88 @angie_rasmussen @ErinClouse @UniversalMaski2 @UtahCoronavirus @UUtah @BYU @UVU @mdc_martinus No short answer! I think context-wise: droplet transmission can occur in medical settings but aren't obvious in occasional contact settings. Asymptomatic spreaders hardly ever sneeze and should they, the droplets will nit land in the mucuous areas of the mouth/nose."
