,created_at,full_text
0,Mon Oct 26 18:52:09 +0000 2020,@VanderbiltU @CarolSwain4Nash Swain bribes black cops with doughnuts &amp; coffee so they don't abuse and/or abandon other members of their community.  But what are conspicuous colored citizens supposed to do when Krispy Kremes and Starbucks is closed? #UShouldaBeenBreonaTaylor
1,Mon Oct 26 18:43:45 +0000 2020,@VanderbiltU If anyone thinks my #UShouldaBeenBreonaTaylor hashtag is threatening or inappropriate he/she should know that former Professor Carol Swain held an appreciation ceremony for black police officers many of whom abuse other members of their racial community.
2,Mon Oct 26 18:13:25 +0000 2020,@VanderbiltU @CurwoodA @ArtColumbia #UCannotSpeakDespitethaConstitution I want 2 connect Pro Anastasia Curwood from VU with Rebecca Godfrey from Columbia MFA.  I think its so important 4 stank women who cannot teach &amp; try to stifle smarter women's voices 2 have straight friends.
3,Mon Oct 26 17:48:48 +0000 2020,@VanderbiltU @CurwoodA Anyone who wastes that much of my time in lecture where they have not prepared anything important to say engages me in a lifelong dialogue with smarter people.
4,Mon Oct 26 17:48:24 +0000 2020,@VanderbiltU @CurwoodA Antisocial teachers who refuse to acknowledge their former students with whom they spent so much time contributes to a culture of mental illness and bad manners.
5,Mon Oct 26 17:42:48 +0000 2020,@VanderbiltU @CurwoodA CA should not represent authority within her community when she refuses to participate in conversations about solidarity.  Black American people can expect 2 continue being victims of racism when they casually disrespect &amp; fail 2 acknowledge each other
6,Mon Oct 26 17:36:51 +0000 2020,"@VanderbiltU @CurwoodA  For the past three years, I donated money to the Vanderbilt Black Cultural Center 2 ensure that students as culturally enriched as I was still feel socially supported despite times when they are not respected by other Black American professors and peers."
7,Mon Oct 26 17:32:07 +0000 2020,@VanderbiltU #CurwoodA  My relationship with Prof Curwood is a good example of why I created the #myblacklifematters2me movement - I have to be Black American alone but I am a better Black person than Curwood b/c I take my connection to abused members of my community seriously
8,Mon Oct 26 17:27:36 +0000 2020,@vanderbiltU @CurwoodA Many members of the African American and/or Black community are comfortable in a culture where they refuse to acknowledge each other during times of abuse.  People like Curwood discredit the black lives matter movement from within the community itself.
9,Mon Oct 26 17:22:44 +0000 2020,@VanderbiltU #myblacklifedoesntmatter2myblackprofessor Anastasia Curwood was my AAST professor during Spring 2006 in a course where only 5 students were enrolled.  Despite earning an A- in Prof. Curwood's course she refuses to answer any of my emails or tweets.
10,Mon Oct 26 17:20:39 +0000 2020,@VanderbiltU Fire Jon Meacham.
11,Sun Oct 25 21:56:57 +0000 2020,"RT @mellissameisels: Why did @VanderbiltU send a VU Alert to undergrads about the uptick in COVID cases this week, but no communication was…"
12,Sun Oct 25 18:09:23 +0000 2020,"RT @mellissameisels: Why did @VanderbiltU send a VU Alert to undergrads about the uptick in COVID cases this week, but no communication was…"
13,Sun Oct 25 17:01:46 +0000 2020,"@mellissameisels @VanderbiltU That is just reckless. I have a friend that teaches in Tenn, she told me that even after a few kids got Covid in her class she still had to teach with the kids not in quarantine."
14,Sun Oct 25 17:00:29 +0000 2020,@pollsandpucks @VanderbiltU They're clearly trying to keep a lid on the situation &amp; only send out communication to undergrads in an effort to induce better compliance. But everyone will receive an email tomorrow once they update our COVID dash to reflect last week's cases.
15,Sun Oct 25 16:58:10 +0000 2020,"@mellissameisels @VanderbiltU The borderline negligence in that tweet alone.  But as a grad student I get it, the communication has been terrible"
16,Sun Oct 25 16:56:49 +0000 2020,"Why did @VanderbiltU send a VU Alert to undergrads about the uptick in COVID cases this week, but no communication was sent to graduate students? We're TAing, taking classes in-person, &amp; coming into the office, yet we aren't kept in the loop about COVID conditions on campus?"
17,Sun Oct 25 16:08:48 +0000 2020,"@VanderbiltU @VU_Provost And yet, #Vandy persists, remaining stalwart against shutting down in-person classes.
They will not accept the inevitability of an uncontrolled and widespread outbreak.
WTF?
#Vandy
#Covid"
18,Sun Oct 25 13:56:21 +0000 2020,@VandyMGolf @SEC @VandyLegends @scottlimbaughvu @VanderbiltU @vucommodores @PGATOURU Go dores.
19,Sun Oct 25 06:56:37 +0000 2020,"@davemansouri As an @VanderbiltU alum and football fan, I can totally relate to your pain."
20,Sun Oct 25 03:02:40 +0000 2020,@jamiemerisotis @NewAmerica @monthly @glastris @dcwriter360 @kevincarey1 @USUAggies @VanderbiltU I smell like sandins well.??? What they hey my feet sninck.
21,Sun Oct 25 02:04:37 +0000 2020,@eugenegu What did you expect from @VanderbiltU ?
