,created_at,full_text
0,Mon Oct 26 19:06:22 +0000 2020,@VoithMactavish @VillanovaU @GBCA @lf_driscoll @torcon @RAMSArchitects Congratulations! The Commons at Villanova is Epic! MacIntosh Engineering was proud to be apart of the magic. Teamwork makes the dream work!
1,Mon Oct 26 18:28:45 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv I need to get some money to do it.
2,Mon Oct 26 17:13:38 +0000 2020,"With @PollsterPatrick from @MonmouthPoll, @LydiaSaad1 from @Gallup, #CamilleBurge from @VillanovaU and #PatriciaMoy from @AAPOR and @UW — Senior Producer: @LindseyatCNBC — graphics by: #KyleWalsh"
3,Mon Oct 26 16:33:50 +0000 2020,"@BrianaTaylorMPP @VillanovaU Thank you, Briana!! And thank you to Villanova for bringing us together!!"
4,Mon Oct 26 15:56:47 +0000 2020,"I don't use twitter for things like this, but its utterly necessary today! HBD to my friend, colleague, &amp; fellow @VillanovaU alumna @jacasiegel! Congrats on the ultimate bday present, the opp to present your research on the radio I am so proud of you &amp; you inspire me always."
5,Mon Oct 26 15:19:41 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv DO it!! :D It's never too late, my friend!"
6,Mon Oct 26 14:47:21 +0000 2020,@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv That's the timeframe when it's free for college/university students: Tuesdays-Fridays from 3-5 pm
7,Mon Oct 26 14:47:02 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv This makes me want to get back to school.
8,Mon Oct 26 14:15:10 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv If visiting on Tuesdays-Fridays from 3-5 pm, students must show their ID from their college or university."
9,Mon Oct 26 14:13:45 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv Thanks, @eyepicyou :D"
