,created_at,full_text
0,Mon Oct 26 19:18:17 +0000 2020,"3⃣Training and education is critical w/ Dr Jatinder Palta @VCU 

but need to avoid “parachute medicine” &amp; “onco-tourism” 

in favour of long-standing partnerships with “boots on the ground”

#MedPhys #radiotherapy #Education #ContextSpecific"
1,Mon Oct 26 14:21:55 +0000 2020,@RodRobinsonRVA @JessicaFHarding @VSU_1882 Yes! Hail State! 🧡💙 - also @RodRobinsonRVA we got that  @VCU connection too!
2,Mon Oct 26 13:10:35 +0000 2020,@VCU @VCUPD That’s awesome!❤️
3,Sun Oct 25 23:12:52 +0000 2020,"215,784-San Bernardino, CA
217,827-Tacoma, WA
220,236-Baton Rouge, LA (capital city of Louisiana and home of @LSU)
222,081-Spokane, WA
228,959-Boise, ID (capital city of Idaho and home of @BoiseState)
230,436-Richmond, VA (capital city of VA &amp; home of @VCU &amp; @URichmond)"
4,Sun Oct 25 22:57:49 +0000 2020,"In addition to being the home of @VCU and the @URichmond, as well as the @RichmondRaceway, Richmond is, among other things, the current capital city of the state of Virginia, and where John Henry gave his ""Give Me Liberty of Give Me Death"" speech in 1775."
5,Sun Oct 25 21:34:34 +0000 2020,@VCU can we get a mental rest day like other colleges 👀?
6,Sun Oct 25 00:21:22 +0000 2020,RT @haleycald_: hi so there are white supremacists driving through campus @VCU when we’re y’all gonna notify us
7,Sat Oct 24 22:27:22 +0000 2020,RT @haleycald_: hi so there are white supremacists driving through campus @VCU when we’re y’all gonna notify us
8,Sat Oct 24 22:07:40 +0000 2020,RT @haleycald_: hi so there are white supremacists driving through campus @VCU when we’re y’all gonna notify us
9,Sat Oct 24 21:11:33 +0000 2020,RT @haleycald_: hi so there are white supremacists driving through campus @VCU when we’re y’all gonna notify us
10,Sat Oct 24 20:10:38 +0000 2020,@KPreede @kapsi1911 @VCU I like the Ram colors on that canoe!
11,Sat Oct 24 20:03:11 +0000 2020,RT @jonnysnow__: @Jamilv_ @VCU I had Shilaro last semester.... lemme tell u... if I knew u had her at the beginning I would’ve told u to ab…
12,Sat Oct 24 19:57:04 +0000 2020,Cops and trump supports are no big deal but a crowd of students with keychain pepperspray?? the pandemonium!! @vcu
13,Sat Oct 24 19:44:54 +0000 2020,@cj_porterII @kapsi1911 @VCU Go Rams 🐑
14,Sat Oct 24 19:35:53 +0000 2020,"@Jamilv_ @VCU Just don’t be surprised if your dean or other folks look at this email and back up your teacher. 

For your sake I hope they’re able to look past what you wrote and see the intention underneath.

Good luck! 🙏🏾 ✨"
15,Sat Oct 24 19:33:59 +0000 2020,"@Jamilv_ @VCU I’m not surprised she didn’t take this email well, as the daughter of a prof.

She didn’t “claim” anything- she didn’t get your assignment&amp; using that word implies you think she’s lying.

On top of it “or whatever” also sounds flippant tbh.
I can tell you didn’t mean harm but..."
16,Sat Oct 24 19:25:42 +0000 2020,@Jamilv_ @VCU Your email was horrible lmao try again 💀💀💀💀
17,Sat Oct 24 19:12:19 +0000 2020,"@blaizereiss19 @VCU fax, I almost got run over by some trump supporting grandma"
18,Sat Oct 24 19:01:02 +0000 2020,@haleycald_ @VCU they don’t care bro
19,Sat Oct 24 19:00:02 +0000 2020,hi so there are white supremacists driving through campus @VCU when we’re y’all gonna notify us
20,Sat Oct 24 18:50:51 +0000 2020,RODNEY THE RAM JUST HIT THE DAB FOR ME!!! I LOVE @VCU
21,Sat Oct 24 16:53:26 +0000 2020,"@shwoolf @jama @VCUSocHealth @VCU @VCU_CCTR BS
My neighbor died in a car wreck but was reported she died from corona.
We are not all so gullible Democrat"
22,Sat Oct 24 13:06:50 +0000 2020,@Jamilv_ @VCU I had Shilaro last semester.... lemme tell u... if I knew u had her at the beginning I would’ve told u to abandon ship 🤦🏾‍♂️.... she’s the worst tho and that response definitely proved that 💯
23,Sat Oct 24 12:42:17 +0000 2020,@mysticaaalg @VCU Yeah sis I emailed a few folks 😂😂😂
24,Sat Oct 24 12:41:47 +0000 2020,RT @mysticaaalg: @Jamilv_ @VCU Out of pocket. &amp; completely hypocritical considering the “tone” she addressed you in in the follow up is now…
25,Sat Oct 24 12:38:32 +0000 2020,RT @jordyliverpool: @Jamilv_ @VCU sis swear she God or some
26,Sat Oct 24 10:26:08 +0000 2020,@Jamilv_ @xelessence @VCU So prove that you did the work. Stop playing games.
27,Sat Oct 24 06:59:15 +0000 2020,@Jamilv_ @VCU Out of pocket. &amp; completely hypocritical considering the “tone” she addressed you in in the follow up is nowhere near respectful. Cc every department head &amp; I would seriously consider filing an official report &amp; contacting offices that focus on discrimination.
28,Sat Oct 24 05:07:23 +0000 2020,RT @givemiaburger: @Jamilv_ @SimonePR_ @VCU I think i’m in the same class as you. That woman is wild
29,Sat Oct 24 05:07:12 +0000 2020,@jordyliverpool @VCU I swea!
