,created_at,full_text
0,Mon Oct 26 19:21:57 +0000 2020,@RobRobbEdwards @virginia_tech This breaks my heart😢😢😢
1,Mon Oct 26 19:18:19 +0000 2020,"@dave_daveglucas @RobRobbEdwards @virginia_tech Dear god ,how disgusting.."
2,Mon Oct 26 19:14:15 +0000 2020,@HokiesFB @virginia_tech @ACCFootball @jni123 @__alexwhite @Beau_Davidson @CoachGouveia @Coach_Smitty @Jafar_Williams @LazeVT @MikeBurnopVT Louisville can go fuck itself. L’s down
3,Mon Oct 26 19:05:27 +0000 2020,@HokiesFB @virginia_tech @ACCFootball @jni123 @__alexwhite @Beau_Davidson @CoachGouveia @Coach_Smitty @Jafar_Williams @LazeVT @MikeBurnopVT Lets Go!  We got this!  Go Hokies!  Show your GRIT!!!!!!!
4,Mon Oct 26 18:45:46 +0000 2020,"Having a great virtual visit at @virginia_tech discussing #quantum science with @see_quantum group. My seminar is at 4pm local time, join us if you’re around!"
5,Mon Oct 26 18:18:48 +0000 2020,@RobRobbEdwards @virginia_tech Rtd n shared 😫💔😫
6,Mon Oct 26 18:18:08 +0000 2020,RT @samj_jane: @RobRobbEdwards @virginia_tech Sickening!! beyond barbaric !
7,Mon Oct 26 18:11:41 +0000 2020,@RobRobbEdwards @virginia_tech Sickening!! beyond barbaric !
8,Mon Oct 26 18:01:07 +0000 2020,@virginia_tech @VT_Provost Thank you. Needs repeating in any case.
9,Mon Oct 26 16:36:07 +0000 2020,"@donaldorth @virginia_tech Very cool! (Hokie, '90)."
10,Mon Oct 26 16:35:24 +0000 2020,RT @fshushok: TODAY is the deadline for @virginia_tech @StudentsAtVT interested in fall semester COVID19 departure testing to sign up by lo…
11,Mon Oct 26 16:25:43 +0000 2020,@HokiesFB @virginia_tech @ACCFootball @jni123 @__alexwhite @Beau_Davidson @CoachGouveia @Coach_Smitty @Jafar_Williams @LazeVT @MikeBurnopVT Is it gonna actually be on tv this time?
12,Mon Oct 26 15:58:42 +0000 2020,RT @fshushok: TODAY is the deadline for @virginia_tech @StudentsAtVT interested in fall semester COVID19 departure testing to sign up by lo…
13,Mon Oct 26 15:51:18 +0000 2020,"TODAY is the deadline for @virginia_tech @StudentsAtVT interested in fall semester COVID19 departure testing to sign up by logging in with their VT PID and password (before 9 p.m. Monday, Oct. 26, 2020). #GoHokies"
14,Mon Oct 26 13:51:33 +0000 2020,"Another great line-up of virtual college admission visits this week
TODAY:
@sunyoswego 
@virginia_tech 

TUESDAY:
@Beloit_College 
@Maine_Maritime 

WEDNESDAY:
@stonybrooku 
@OhioWesleyan 

#collegecounseling #collegeprep #admissionvisits"
15,Mon Oct 26 06:40:38 +0000 2020,"@WeAreCisco @virginia_tech Impressive! Booking and Cisco certainly have a lot of things in common, same way of thinking 🤔"
16,Mon Oct 26 03:39:44 +0000 2020,"@VTCAUS @virginia_tech @animationcareer I have to disagree with the animation one; a little dissapointed in the programs, leadership, and career success rate of alumni. Actively working to improve VT's VR and animation programs with no enthusiasm from the professors."
17,Sun Oct 25 22:58:55 +0000 2020,@RobRobbEdwards @virginia_tech Emailed. 😭This is horrid.
18,Sun Oct 25 17:02:13 +0000 2020,.@VTSandsman is doing an amazing job as the President of @virginia_tech. I’m very proud of his leadership - from the creation of the Innovation Campus to navigating the university through COVID. We are very lucky to have him &amp; I know the best days are ahead for Tech. #Hokies
19,Sun Oct 25 16:28:27 +0000 2020,"@SallyMcSurly @virginia_tech Cool, are they selling specimens or do you have to be an alum?"
20,Sun Oct 25 14:17:13 +0000 2020,@Spammyjazzhands @virginia_tech It’s a limestone quarry
21,Sun Oct 25 14:08:49 +0000 2020,@SallyMcSurly @virginia_tech What type of rock is in the quarry? If they have any schist I would like some
22,Sun Oct 25 13:24:11 +0000 2020,@NickSimonTDS @smokingmusket @virginia_tech because Frank Beamer is on the board and probably now more less likely with @Pitt_ATHLETICS
23,Sun Oct 25 05:20:02 +0000 2020,"@FRomanJR @ashleyshoo @virginia_tech @VTSandsman Yes, I will."
24,Sun Oct 25 04:00:34 +0000 2020,@RobRobbEdwards @virginia_tech Serial killers torture dogs and other animals too just like Virginia Tech. Their leadership must be really twisted. Dangerously so
25,Sun Oct 25 02:57:08 +0000 2020,@COVIDPoops19 @ashleyshoo @virginia_tech @VTSandsman I really like their new wastewater dashboard :). Can you update the dashboard's website for our Clemson point to include this link instead
26,Sat Oct 24 22:45:13 +0000 2020,Fucking nice @virginia_tech
27,Sat Oct 24 22:03:13 +0000 2020,"@ashleyshoo @virginia_tech @VTSandsman @FRomanJR looks like Clemson updated their dashboard more than a table, yay!"
28,Sat Oct 24 20:28:22 +0000 2020,I'm thankful today for the @virginia_tech marketing team in light of watching a certain other school's commercial. #GoHokies
29,Sat Oct 24 20:12:33 +0000 2020,@HokiesMBB @jeffmkeckler @virginia_tech Go Heels
30,Sat Oct 24 18:42:45 +0000 2020,@BeerBrewerDan @Hooty69 @virginia_tech @accnetwork Which regional sports?
31,Sat Oct 24 18:34:09 +0000 2020,@KimHNorris @virginia_tech @accnetwork We get espn3 for free with Hulu Live. Not sure if you do too.
32,Sat Oct 24 18:32:40 +0000 2020,@Hooty69 @KimHNorris @virginia_tech @accnetwork Except it may be blacked out on espn3 since the regional sports picked it up.
33,Sat Oct 24 18:17:35 +0000 2020,"@BeerBrewerDan @virginia_tech @accnetwork Hulu, netflix and cbs all access. Got Hulu for the ACC network thinking that would cover me, but nope."
34,Sat Oct 24 18:13:49 +0000 2020,"RT @ashleyshoo: @JRLefftist @edyong209 @VTSandsman @virginia_tech Reading this, I am really struck by the failed technosolutionism of admin…"
35,Sat Oct 24 18:04:52 +0000 2020,@KimHNorris @virginia_tech @accnetwork Stream it off ESPN 3
36,Sat Oct 24 17:54:13 +0000 2020,@KimHNorris @virginia_tech @accnetwork What streaming do you have?
37,Sat Oct 24 17:50:10 +0000 2020,"Looks like I'll miss the #Hokies game today, because I am NOT signing up for a 3rd streaming service to watch. (One was enough.) It sucks that @virginia_tech thinks I should. Didn't we start the @ACCNetwork so I wouldn't get bilked like this? The stench of greed is strong."
38,Sat Oct 24 17:29:10 +0000 2020,"RT @LimogesRobynne: @RobRobbEdwards @virginia_tech We have been petitioning the University, lab, the Dean, the Board for years. They are co…"
39,Sat Oct 24 17:23:11 +0000 2020,@pinata1138 @RobRobbEdwards @virginia_tech sigh. fer reals!
40,Sat Oct 24 17:22:22 +0000 2020,@LimogesRobynne @RobRobbEdwards @virginia_tech such denial all for the $$$$$! pricks!
41,Sat Oct 24 16:43:41 +0000 2020,Is it me or did Skipper just fire? @HokiesFB @hokiesports @virginia_tech
42,Sat Oct 24 15:48:37 +0000 2020,@_HaileySutton @virginia_tech @HokiesFB Good morning to my FAVORITE HUMAN💛
43,Sat Oct 24 15:47:48 +0000 2020,@gregperezwx @virginia_tech @HokiesFB Hi Greg 💜
44,Sat Oct 24 15:39:33 +0000 2020,"@JRLefftist @edyong209 @VTSandsman @virginia_tech Also, and totally unrelated but also, the transportation committee meets once a month for 45 minutes (!!!) and they are serious about ending on time. This is the efficient committee timing that I seek for all other committees now. Impressed."
45,Sat Oct 24 15:34:40 +0000 2020,had a wonderful time talking with the  Kwame Ture Leadership Academy students here @virginia_tech I love opportunities to connect with students and talk about life and leadership...Such an awesome way to start the day! #Hokies
46,Sat Oct 24 15:33:59 +0000 2020,"@JRLefftist @edyong209 @VTSandsman @virginia_tech Thinking about the slogan ""Be well. Be committed."" 

As someone who has popped off at a transportation meeting about how it is morally incumbent upon each of us to do as much as we can with the powers we have to help protect our community, the slogan falls so short."
47,Sat Oct 24 15:30:43 +0000 2020,"@JRLefftist @edyong209 @VTSandsman @virginia_tech ""But tattered social safety nets are less visible than crowded bars. Pushing for universal health care is harder than shaming an unmasked stranger. Fixing systemic problems is more difficult than spewing moralism, and Americans gravitated toward the latter. "" -@edyong209"
48,Sat Oct 24 15:28:23 +0000 2020,"@JRLefftist @edyong209 @VTSandsman @virginia_tech Obviously we need more STS, but not just more STS."
49,Sat Oct 24 15:23:06 +0000 2020,"@JRLefftist @edyong209 @VTSandsman @virginia_tech From the article: ""“The gotcha question I’ve handled most from reporters since is: This school did entry testing, so why did they get an outbreak?” he says. It’s because such testing is necessary for a safe reopening, but not sufficient."""""
50,Sat Oct 24 15:21:59 +0000 2020,"@JRLefftist @edyong209 @VTSandsman @virginia_tech Reading this, I am really struck by the failed technosolutionism of administration. I wonder about the longer trajectory of sci &amp; tech research given both how it has been overhyped as the way forward with quick-solutions and doubted in recommendations of public health measures."
51,Sat Oct 24 15:07:45 +0000 2020,@TSJ_FCVirginia @GAcademyLeague @virginia_tech @TheStJames @HokiesWSoccer Congratulations Kendall!!   So proud of you!!   Go HOKIES!!
52,Sat Oct 24 13:47:11 +0000 2020,@HokiesMBB @virginia_tech Peak foliage @dpshow
53,Sat Oct 24 09:20:48 +0000 2020,@HokiesMBB @virginia_tech Blessed!  Incredible beauty!🧡♥️🧡
54,Sat Oct 24 05:02:56 +0000 2020,@RobRobbEdwards @virginia_tech Monsters🤬😡
55,Sat Oct 24 00:34:29 +0000 2020,@HokiesMBB @virginia_tech VT Campus is Magnificent in the fall....with Hokie colors ♥️💛love it.....
56,Fri Oct 23 23:23:38 +0000 2020,@Prof_Nishith_P @VT_ECON @virginia_tech I did! But before that I also took Dr Degregori’s undergrad development class.
57,Fri Oct 23 21:26:23 +0000 2020,@mehconomics @VT_ECON @virginia_tech Did u take Aimee class in grad school?
58,Fri Oct 23 21:08:10 +0000 2020,@VT_ECON @virginia_tech I loved taking Development as an undergrad. It's why I became an economist!
59,Fri Oct 23 20:52:57 +0000 2020,Hey Econ Hokies! The @virginia_tech Timetable of Classes is out! What electives are you most excited about? What electives have been your favorite?
60,Fri Oct 23 19:23:42 +0000 2020,@LeeHannahWSU @wrightstate @virginia_tech Have a great visit 😊
61,Fri Oct 23 19:04:32 +0000 2020,"@virginia_tech u r missing out @JennaJennadahl  Best colors, best research"
62,Fri Oct 23 18:52:58 +0000 2020,@virginia_tech @VTCorpsofCadets *waits for freshmen who've never seen Skipper to flood the VT Police with calls every time Skipper fires*
63,Fri Oct 23 18:16:17 +0000 2020,@virginia_tech Your administration's answers to public concern are extremely disappointing. Your closed comment section shows the unconcern for this community. Your plans to remove spring break and suggest grad students plan better are ignorant and privileged. The hypocrisy hurts
64,Fri Oct 23 17:45:43 +0000 2020,@AmyT1920 @PeteMoris @HokiesFB @ACCFootball @virginia_tech @AmyT1920 tell it!
65,Fri Oct 23 17:26:45 +0000 2020,@HokiesMBB @virginia_tech Gorgeous place
66,Fri Oct 23 17:17:54 +0000 2020,@Hokie20 @virginia_tech @HokiesFB Still have 2 small pieces of the stands from Miles Stadium ...
67,Fri Oct 23 17:01:52 +0000 2020,@HokiesMBB @virginia_tech UnbeLEAFable!
68,Fri Oct 23 16:58:02 +0000 2020,@LeeHannahWSU @wrightstate @virginia_tech You better come by and see me!!!!!
69,Fri Oct 23 16:55:30 +0000 2020,"@PeteMoris @HokiesFB @ACCFootball @virginia_tech Let’s roll into Winston, smack the Deacs around, and bring home another W."
70,Fri Oct 23 16:03:00 +0000 2020,"@GHGGuru @virginia_tech GHGs &amp; nutrients aren't the only 2 issues. We must also consider the impacts of the industry on wildlife &amp; biodiversity, water pollution &amp; fresh water use &amp; the ethics of creating &amp; slaughtering millions of animals when the nutrients they provide can be acquired elsewhere

Facts."
71,Fri Oct 23 14:19:27 +0000 2020,@virginia_tech Could we just get many more in person or hybrid classes? Being a zoom university with the data so clear that the virus is not impacting college students beyond cases (not death or hospitalization) should encourage movement
72,Fri Oct 23 08:56:07 +0000 2020,@GHGGuru @virginia_tech Balanced nutrition is the key to healthy lifestyle. Some people want to consume meat and milk some prefer other diets.
73,Fri Oct 23 08:09:24 +0000 2020,"@RobRobbEdwards @virginia_tech NO!
This must stop"
74,Fri Oct 23 05:23:50 +0000 2020,RT @mdeane08: @RobRobbEdwards @virginia_tech This is so incredibly upsetting. I’d like to go rescue them all. Now. 😭
75,Fri Oct 23 04:31:14 +0000 2020,@virginia_tech why are there ladybugs in my room all the time ?????
76,Fri Oct 23 01:34:51 +0000 2020,RT @Yvonnefrench469: @RobRobbEdwards @virginia_tech Signed/retweeted. I seriously hate these Mfkers. 🤬🤬🤬🤬🤬
77,Fri Oct 23 01:33:29 +0000 2020,"@virginia_tech Since when did our school learn to see 6 months into the future? Presumptuous and horrible decision, but are we surprised?"
78,Fri Oct 23 00:05:06 +0000 2020,@sfarris721 @michaelfoxlab @NINDSfunding @virginia_tech @VT_TBMH @FralinBiomed @VTNeuro Thanks Shannon!! 🥳
79,Fri Oct 23 00:04:13 +0000 2020,@SynapsesInSight @michaelfoxlab @NINDSfunding @virginia_tech @VT_TBMH @FralinBiomed @VTNeuro Thank you!!
80,Thu Oct 22 21:37:16 +0000 2020,RT @v3ganbitch: @GHGGuru @virginia_tech vegan and nonvegan humans don’t have different biological needs...no body needs milk to survive exc…
81,Thu Oct 22 21:24:03 +0000 2020,@michaelfoxlab @gabbylcarrillo @NINDSfunding @virginia_tech @VT_TBMH @FralinBiomed @VTNeuro Love this!! Congrats!
82,Thu Oct 22 21:05:43 +0000 2020,@michaelfoxlab @gabbylcarrillo @NINDSfunding @virginia_tech @VT_TBMH @FralinBiomed @VTNeuro Woohoo!! Congrats all 🍾👩🏽‍🔬
83,Thu Oct 22 20:40:50 +0000 2020,@michaelfoxlab @gabbylcarrillo @NINDSfunding @virginia_tech @VT_TBMH @FralinBiomed @VTNeuro Very exciting! You must be proud
84,Thu Oct 22 20:16:09 +0000 2020,@cougarhokie @virginia_tech @boyscouts There ya go! 💪
85,Thu Oct 22 19:05:00 +0000 2020,@virginia_tech do we not have the CC option anymore??? Bc my grades still suffering with all online classes 😐
86,Thu Oct 22 18:37:45 +0000 2020,"@virginia_tech The ONLY reason VT didn't crash and burn, like other large schools, is because we have responsible undergraduates. VT deserve no recognition in this matter all you have done is hide data and downplay a GLOBAL PANDEMIC. BOO on you VT @VTSandsman @virginia_tech"
87,Thu Oct 22 18:34:25 +0000 2020,"@virginia_tech @virginia_tech @kpdepauw @VTSandsman So you confirm, as of now you don't have any plans to bring students safely back to campus, travel is dangerous (but not dangerous enough to not have in person classes) but so dangerous we have to cancel spring break. BOOOOOOOOOOOO!!!!"
88,Thu Oct 22 18:23:03 +0000 2020,I urge undergrads @virginia_tech #virginiatech to not sign up for classes spring 2021. The school doesn't care about your learning experience and only wants your money.
89,Thu Oct 22 18:20:23 +0000 2020,"@virginia_tech @VTSandsman @kpdepauw  We do not want more in person classes. We, as graduate students, want to be safe and not forced to deal with teaching undergrads and risking our health or putting our advisors and coworkers at risk."
90,Thu Oct 22 18:14:42 +0000 2020,"@virginia_tech Your comment that says grad students just plan better is so insulting. It is akin to saying can't afford food, stop buying Starbucks. We don't have more time, research doesn't take a break. Grading doesn't take a break."
