,created_at,full_text
0,Mon Oct 26 19:01:10 +0000 2020,"Happy Monday! Tune in to our @eembucsb department seminar at noon with Dr. Herman Eure of @WakeForest University: ""From Jim Crow to the Collegiate University: The Evolution of a Black Parasitologist"" #zoom #parasites #science"
1,Mon Oct 26 18:05:55 +0000 2020,@WakeFB @NickAndo1004 @Almighty_Basham @DemonDeacons @WakeForest @ACCFootball Your hometown is so proud!!!
2,Mon Oct 26 17:37:59 +0000 2020,"@KamalaHarris The next time you or @DouglasEmhoff come to Winston-Salem, NC you should speak at the Biden/Harris office downtown instead of the Republican ran @WakeForest. This way all walks of life can attend. You still have to talk with the poor people."
3,Mon Oct 26 17:21:29 +0000 2020,@WakeForestNews @Peggynoonannyc @FacetoFaceWFU @WakeForest @Eugene_Robinson What you wrote about Senator Harris is definitely racist hope you feel the wrath of black twitter. Cancel Peggy
4,Mon Oct 26 17:20:09 +0000 2020,@austinrmcook @WakeForest Why are half the Biden-Harris signs broken lmao
5,Mon Oct 26 17:12:50 +0000 2020,"@Jillbiden46 Can you please come to Winston-Salem, NC and speak at the Biden/Harris office downtown. @DouglasEmhoff just went to the money at the Republican ran @WakeForest. Which is actively help kick black people out of there communities with the help of @wsddadams. #TheWorkingPoor"
6,Mon Oct 26 17:06:17 +0000 2020,@JoeBiden @KamalaHarris @DouglasEmhoff @wsddadams how do you think you are going to get the black vote out if you only going to talk to the money @WakeForest? It would have served you better to speak at the Biden/Harris office downtown. This way all walks of life could attend.
7,Mon Oct 26 16:33:37 +0000 2020,@owenac813 @Peggynoonannyc @Eugene_Robinson @WakeForest I used to think she was an awesome journalist; the way she spoke of @KamalaHarris shows she’s simply a hack pushing her own agenda. Why trash a black woman for dancing- didn’t we just see trump dancing? Where’s her trashing of him?
8,Mon Oct 26 16:10:09 +0000 2020,"Maybe it’s because of my fandom of Tim Duncan and therefore @WakeForest, yet I am also very high on Jaylen Hoard but I need to see him play before I mention him along with the rest of that Portland young bench."
9,Mon Oct 26 15:43:07 +0000 2020,"@austinrmcook @WakeForest On another note, definitely wish the Biden store had state-shaped sign cutouts for sale."
10,Mon Oct 26 15:40:11 +0000 2020,"It's a good day when your @WakeForest  undergraduate research assistant/mentee has an incredible GPA and LSAT score and only wants to go to your alma mater law school (@CornellLaw), and she gets in early admission."
11,Mon Oct 26 12:29:52 +0000 2020,RT @cjhoward73: @trey33465621 @WillieWYMT @WKUSports @BasketballALC @EkuMensClubBall @lesliebarstool @NPIDRecruiter @WYMT @WakeForest @BGSp…
12,Mon Oct 26 03:52:34 +0000 2020,"@chanfucious @WakeForest @LifeAfterWake @WFUOPCD @PresidentHatch @rtkersh @map5145 @VergerCEO @tiffanyiwaddell @WFUAlumni Always insightful content @chanfucious, and grateful for the first push you gave us all with your original thinking. Interesting decade ahead if us."
