,created_at,full_text
0,Mon Oct 26 18:44:49 +0000 2020,@AskDrUniverse @WSUPullman Promoting #NationalPumpkinDay by highlighting their genocide seems antithetical -- NAH! Just super cool! #GoCougs
1,Mon Oct 26 18:32:41 +0000 2020,"RT @ms_smyth: And our Keynote Speaker, Dr. Ashley Boyd of @WSUPullman, in addition to being made of awesome, will be talking about working…"
2,Mon Oct 26 18:11:49 +0000 2020,"@gallerychapel @babykingtobey @trahvv @WSUPullman Don’t need to taste ‚can‘. 
🙄

That‘s as much ‚cheese’ as jell-o is ‚Lemon‘. 😉
(e.g.)"
3,Mon Oct 26 18:07:08 +0000 2020,"@MurrowCollege @WSUPullman Loved my classes with Marvin! Also worked for him at the PBS station on dozens of productions. His sense of humor, patience knowledge was fantastic. #GoCougs"
4,Mon Oct 26 18:02:32 +0000 2020,"#SponsorShoutout As we put the final touches on our #GlobalHealthPioneers virtual program, we wanted to express our gratitude for @WSUGlobalHealth @WSUPullman's support as a dinner party sponsor - we’re looking forward to celebrating our awardees with you on Wednesday!"
5,Mon Oct 26 18:02:04 +0000 2020,@Alfred996 @babykingtobey @trahvv @WSUPullman Taste it before you scoff.
6,Mon Oct 26 16:34:59 +0000 2020,"Whoo hoo! Out of 527 @WSUPullman students tested last week, only 25 were positive for COVID. That puts us just under our goal of &lt;5% positivity. #GoCougs #CougsCancelCOVID"
7,Mon Oct 26 15:59:33 +0000 2020,"@CadenCasagrande @WazzuWatch @wsucougarbsb Welcome to @WSUPullman and @wsucougarbsb. You're going to be part of a very special program at a great university. I look forward to seeing you work in the classroom and on the diamond at Bailey-Brayton.

#GoCougs ll #BeUncommon
#FightFightFight ll #WinTheDay"
8,Mon Oct 26 14:42:17 +0000 2020,@MurrowCollege @WSUPullman He is seriously one of the best. I am where I am today in large part to his unwavering support and belief in me. Lucky to say I was a student of his. Cheers Marv!
9,Mon Oct 26 10:18:46 +0000 2020,"And our Keynote Speaker, Dr. Ashley Boyd of @WSUPullman, in addition to being made of awesome, will be talking about working for social change in literacy classrooms."
10,Sun Oct 25 08:25:59 +0000 2020,"RT @HilinskisHope: @buttebrand @CougfanCOM @CHLombo1 @ryan_hilinski @hilinskiqb4life Goodness, the support the #PNW @buttebrand @WSUCougarF…"
11,Sun Oct 25 08:25:35 +0000 2020,@bkransford @HilinskisHope @buttebrand @CougfanCOM @ryan_hilinski @hilinskiqb4life @WSUCougarFB @WSUPullman Thank you so much for everything!
12,Sat Oct 24 23:02:22 +0000 2020,"RT @jlyonjd: Finished Season 1 of @TedLasso  and loved it.  The writers may have scripted him as a former Wichita State coach, but I bet hi…"
13,Sat Oct 24 22:37:48 +0000 2020,"Finished Season 1 of @TedLasso  and loved it.  The writers may have scripted him as a former Wichita State coach, but I bet his undergrad was @WSUPullman #workhardplayhard #genuine #smarterthanyouthink #peoplematter"
14,Sat Oct 24 17:53:05 +0000 2020,"@annekem That sounds divine. I went to @WSUPullman, an otherwise awesome school, whose English department’s primary goal for English 101 was to permanently cure the Freshman class of any desire to write for a living."
15,Sat Oct 24 01:35:53 +0000 2020,@WSUPullman @MurrowCollege @WSULibraries I miss Pullman so much 😭
16,Fri Oct 23 23:40:42 +0000 2020,"@MattLoveless @WSUPullman Nice, sweet to see snow"
17,Fri Oct 23 22:44:12 +0000 2020,@MattLoveless @WSUPullman 80 in Decatur yesterday.  This evening at 5:44 it’s 45. Go figure.
