,created_at,full_text
0,Mon Oct 26 18:58:16 +0000 2020,@Jamie_Seabrook1 @WUSTL @BresciaUC Is it open to Western students/postdocs? 😊 I’d love to watch it if possible. 😍🤩
1,Mon Oct 26 18:01:27 +0000 2020,"@IntMedAbel @bnfinck @WUSTL @SLU_Official @KingsCollegeLon @nature @NatureNews @NatMetabolism Whole heartedly agree that it was a pleasure to coordinate the publication of these independent findings with you both. As you pointed out, very affirming to have the instantaneous replication and confirmation of our findings!"
2,Mon Oct 26 17:40:18 +0000 2020,@drjjamesfrost scientific interests and training started with chemistry @utulsa and then @WUSTLmed @WUSTL
3,Mon Oct 26 15:34:27 +0000 2020,RT @Jamie_Seabrook1: Excited and honored to be giving a lecture tomorrow on social determinants of birth outcomes for a global reproductive…
4,Mon Oct 26 14:32:11 +0000 2020,Excited and honored to be giving a lecture tomorrow on social determinants of birth outcomes for a global reproductive health course @WUSTL #WashU #pregnancy #SDOH #BresciaUC @BresciaUC
5,Mon Oct 26 00:33:08 +0000 2020,@CTBreastMD @thehungryhutch @doczo1 @YesAurielle @agfrancois Yaaas! @thehungryhutch and I went to @WUSTL together! An amazing Chef and food blogger! #TheHungry
6,Sun Oct 25 20:49:05 +0000 2020,"@JGB_Burken @StanfordEng @SIUE_SoEngr @WUSTL @MissouriSandT @Mizzou @SLU_Official @SIUC I always remember the Mid American Environmental Engineering Conference dearly (an amazing way to network and share fascinating research), what a great tradition!"
7,Sun Oct 25 16:32:27 +0000 2020,@WashUChancellor @WUSTLmed Thank you @WashUChancellor. This happened because of the strong support and brilliant advice I have received from the @WUSTL @WUSTLmed community. An extraordinary institution to experience as a junior faculty member.
8,Sun Oct 25 15:54:00 +0000 2020,"@CopperCanyonPrs @WUSTL @markbibbins Hello, when is the next zoom , reading etc?"
9,Sun Oct 25 14:24:55 +0000 2020,@sacnas @WUSTL Awesome congratulations @tomaslagunasjr
10,Sun Oct 25 05:29:14 +0000 2020,RT @sacnas: Congrats to Tomas Lagunas of @WUSTL for your student presentation award in Genetics! #SACNAS2020
11,Sun Oct 25 05:16:00 +0000 2020,RT @sacnas: Congrats to Tomas Lagunas of @WUSTL for your student presentation award in Genetics! #SACNAS2020
12,Sun Oct 25 05:03:49 +0000 2020,"@HeesooCho2 @WUSTL Doesn't it need a jacket to ""stay warm""? Ha!"
13,Sun Oct 25 02:40:02 +0000 2020,RT @sacnas: Congrats to Tomas Lagunas of @WUSTL for your student presentation award in Genetics! #SACNAS2020
14,Sun Oct 25 01:49:07 +0000 2020,RT @sacnas: Congrats to Tomas Lagunas of @WUSTL for your student presentation award in Genetics! #SACNAS2020
15,Sat Oct 24 22:32:28 +0000 2020,"@JGB_Burken @SandT_CArE @sandtcec @MissouriSandT @SIUC @SIUE @WUSTL @Mizzou @SLU_Official Really interesting work, Rahel. Keep up the good work."
16,Sat Oct 24 20:57:15 +0000 2020,Congrats to Tomas Lagunas of @WUSTL for your student presentation award in Genetics! #SACNAS2020
17,Sat Oct 24 19:55:52 +0000 2020,@JGB_Burken @StanfordEng @SIUE_SoEngr @WUSTL @MissouriSandT @Mizzou @SLU_Official @SIUC Enjoyed the talk. Thanks for making it happen.
18,Sat Oct 24 18:29:45 +0000 2020,@FlavioRochaMD @melinda_bachini @uchicagosurgery @Majeldoyle @WUSTL @Seanpcleary @MayoCancerCare @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA Yes I wondered for others because it was an invite-only event. Would be great to share with patients/families/advocates.
19,Sat Oct 24 16:55:58 +0000 2020,@NareshaSaligra1 @WUSTL @BIG_CenterWashU @WashUGlia I hope they won’t. Nov 3rd is coming!
20,Sat Oct 24 15:50:17 +0000 2020,@lauraelee @melinda_bachini @uchicagosurgery @Majeldoyle @WUSTL @Seanpcleary @MayoCancerCare @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA I believe the talks and slides were recorded for the registered attendees
21,Sat Oct 24 13:51:19 +0000 2020,@FlavioRochaMD @melinda_bachini @uchicagosurgery @Majeldoyle @WUSTL @Seanpcleary @MayoCancerCare @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA Will any of this (or summaries) be available? Would love to hear it- especially on LT.
22,Sat Oct 24 11:50:35 +0000 2020,@jonykipnis @WUSTL @BIG_CenterWashU @WashUGlia I wonder how all these visa issues deter international applicants.
23,Fri Oct 23 21:47:56 +0000 2020,"First up, Stephanie Fritz @WUPedsID @WUSTL speaking on Staphylococcus aureus prevention
#PIDSLife @PIDSociety"
