,created_at,full_text
0,Sun Oct 25 20:49:16 +0000 2020,"@gradydoctor @EmoryDeptofMed @EmoryMedicine Was med student under Dr Hurst &amp; his amazing group. All of us so inspired, many classmates now cardiologists. Never knew Dr Andre connxn &amp; see now that Dr Kevin C is just 1 of his dr bros. Kevin once great chief for me! His niece @Wellesley co-alum. Small world. Great folks. Thx!"
1,Sun Oct 25 16:51:47 +0000 2020,"RT @heavensbutcher: @third_pole @Wellesley Wait a minute, You are funded by the Chinese government and advising us."
2,Sun Oct 25 16:39:48 +0000 2020,@third_pole @Wellesley Do you want us to shove a pole up you know what? WE KNOW WHO YOU ARE
3,Sun Oct 25 08:59:49 +0000 2020,@SustConstrFdn @mariaatkinson @Wellesley @KVAMatx @livingbuilding What​ are​ the​ CO2​ levels?
4,Sun Oct 25 00:00:42 +0000 2020,"@Darw1nEvolution @GadSaad @Wellesley koran is the constitution of Iran since the 80s.the problem with western world is they have weak inner principles these conditions make  a poor candidate for esoteric  disciplines . That's were you come in, If you had principles you would not have short comings. 🖕Sit on it🖕"
5,Sat Oct 24 23:10:41 +0000 2020,@DWPeal2 @GadSaad @Wellesley I am Assyrian and proud keep this also in mind we Assyrians gave Persians ( you) education etc etc so don't bite the hand that gave you a spot in history books.
6,Sat Oct 24 21:40:49 +0000 2020,@GadSaad @Wellesley She forgot to wear her freedom they are just reminding her - intersectional feminism
7,Sat Oct 24 19:52:33 +0000 2020,@twodogtown @GadSaad @Wellesley *the news
8,Sat Oct 24 19:51:51 +0000 2020,@jesswisneski @NYWFP @JoeBiden @KamalaHarris @DelgadoforNY19 @MichelleHinchey My daughter who is in her first year at @Wellesley made sure that her NY friends would #VoteWFP absentee.
9,Sat Oct 24 19:50:19 +0000 2020,"@robertjacob0ho1 @GadSaad @Wellesley ""what puzzles me is that majority of Iranians are very low IQ people,so how can these vermins read or write and come up with this cosmic debris""
Are u Assyrian?
Iranians are the most Civilized &amp; Educated Ppl in MENA area even far better.than Assyrians."
10,Sat Oct 24 16:32:18 +0000 2020,"@GadSaad @Wellesley No mask either, I notice. Must be a witch, burn her."
11,Sat Oct 24 16:21:48 +0000 2020,"@GadSaad @Wellesley what puzzles me is that majority of Iranians are very low IQ people,so how can these vermins read or write and come up with this cosmic debris"
12,Sat Oct 24 16:20:33 +0000 2020,"@GadSaad @Wellesley When people are visiting Mars on weekends, the Mullahs in Iran are taking a U turn to the medieval times and staying there!"
13,Sat Oct 24 16:06:58 +0000 2020,"@GadSaad @Wellesley I laughed, but deep inside it breaks my heart cause no one is paying attention to their struggles. (By no one I refer to so much of the media &amp; our EU leaders, not to mention academia folks)"
14,Sat Oct 24 15:53:03 +0000 2020,"@ElleryFoutch @Wellesley Sorry, no. BU undergrad, West Campus dorm."
15,Sat Oct 24 15:52:11 +0000 2020,@stwajda wait are you a @Wellesley person too?! (I realize there are likely Claflins on many campuses but...)
16,Sat Oct 24 05:05:11 +0000 2020,"@third_pole @Wellesley Wait a minute, You are funded by the Chinese government and advising us."
17,Sat Oct 24 02:31:28 +0000 2020,@drDendere @Wellesley Miss me with that.
18,Fri Oct 23 22:05:43 +0000 2020,"@gfstarr1 Boston Red Sox, first couple of weeks after starting at @Wellesley !"
19,Thu Oct 22 21:10:22 +0000 2020,...plus @bostoncollege @chicopeeschools @harvard @perkinsvision @phillipsexeter @spauldingrehab @umassamherst @uofnh @wellesley and more!
