,created_at,full_text
0,Mon Oct 26 12:08:22 +0000 2020,@RexDoctor @DavidVeevers1 @wesleyan_u Just part of the social routine of the times.
1,Mon Oct 26 09:20:23 +0000 2020,@jbsets29 @JennyBoylan @wesleyan_u @GratefulDead @lemieuxdavid You are the joy that the morning brings
2,Mon Oct 26 05:23:52 +0000 2020,@bjcochrane @DavidVeevers1 @wesleyan_u Ah...confused...what was the sherry party scheduled for...? Thxs.
3,Sun Oct 25 21:32:15 +0000 2020,@JennyBoylan @wesleyan_u @GratefulDead @lemieuxdavid In 1983 went to see them for Fri &amp; Sat shows. I slept 2 nights at rest stop in New Haven. That was a 6 hr drive each way. I think Syracuse was the same distance.
4,Sun Oct 25 20:20:39 +0000 2020,"@JennyBoylan @wesleyan_u @GratefulDead @lemieuxdavid I was at that show.... caught a ride with some tour heads from Springfield the night before, hitched back to Boston after the show for a shower and sleep, and then saw them down on the Cape for a couple of nights......  my last mini - tour until Europe 90’"
5,Sun Oct 25 20:00:20 +0000 2020,"41 years ago tonight the Boyos at New Haven Coliseum. Senior year @wesleyan_u 

You Are the Eyes of the World. 

Lost my ride home in the parking garage, would up in the back of somebody’s pickup. I stared up at the starry sky. It was cold. 

@GratefulDead @lemieuxdavid"
6,Sun Oct 25 16:01:27 +0000 2020,"RT @sunrisemvmt: ""The impacts of climate change have moved firmly into the present."" -@wesleyan_u Dr. Gary Yohe, NCADAC Vice-chair #NCA2014…"
7,Sun Oct 25 03:37:14 +0000 2020,@DavidVeevers1 The John Kennedy assassination. It was just before my 12th birthday (on which day Oswald was killed).  I was home from school and heard about it via radio - we didn’t have a TV. And my parents - a faculty couple at @Wesleyan_u - had a sherry party scheduled the next day. Not fun.
8,Fri Oct 23 20:50:20 +0000 2020,@bdflorsheim @wesleyan_u Strong agree.
9,Fri Oct 23 01:39:20 +0000 2020,@jjacobs22 Take me back! @wesleyan_u 07!
10,Thu Oct 22 22:24:14 +0000 2020,RT @_IanBoyden: @WesCFA @AndrewQuintman @WESUmiddletown @wesleyan_u Some of the greatest musical experiences of my life unfolded at the Nav…
11,Thu Oct 22 21:41:39 +0000 2020,RT @_IanBoyden: @WesCFA @AndrewQuintman @WESUmiddletown @wesleyan_u Some of the greatest musical experiences of my life unfolded at the Nav…
12,Thu Oct 22 20:36:53 +0000 2020,"@WesCFA @AndrewQuintman @WESUmiddletown @wesleyan_u Some of the greatest musical experiences of my life unfolded at the Navaratri Festivals at Wesleyan. In particular, I have fond memories of Ramnad Ragavan playing mridangam—a human being becoming a cascading river. Are any of these in the archives? Can we make requests!? 🙏"
13,Tue Oct 20 20:27:13 +0000 2020,Listening to the wisdom of Jose Vilson @wesleyan_u @TheJLV Teacher of the Century!
14,Tue Oct 20 19:54:33 +0000 2020,@rahulkdhanda @cbtadvisors @wesleyan_u @broadinstitute @a_petite_writer Our daughter too. Couldn’t be more pleased!!
