,created_at,full_text
0,Mon Oct 26 19:18:43 +0000 2020,@AspiringNomad @bdcheeseboro @WestVirginiaU Let's research crazy aunties! 😆
1,Mon Oct 26 19:09:45 +0000 2020,"@bdcheeseboro @WestVirginiaU Good luck! You will make it. I pray for a suma cum laude for you, because I love your topic"
2,Mon Oct 26 19:04:28 +0000 2020,@markcubsfan @bdcheeseboro @WestVirginiaU At first I thought it said eccentric GENERATIONAL waves and thought it must be cool to research families with a group of odd aunties every few generations!
3,Mon Oct 26 18:04:01 +0000 2020,So I get tested every week by the school but my results from a past week still haven’t shown up by the time I’m ready for the current week’s test. How does that make sense @WestVirginiaU ?
4,Mon Oct 26 17:59:59 +0000 2020,@bdcheeseboro @WestVirginiaU following! I'm fascinated but not very knowledgeable. Anxious to follow and learn.
5,Mon Oct 26 17:48:43 +0000 2020,@WestVirginiaU Actually that’s #WVU88 for the grad year.  But still...
6,Mon Oct 26 17:47:45 +0000 2020,@WestVirginiaU That’s a great flag. Can a member of #WVU84 get one?  I can Venmo ya.
7,Mon Oct 26 16:41:50 +0000 2020,@TBL06656392 @WestVirginiaU I plan on defending next semester 😣 Still so much to do so we'll see 🤞🏿
8,Mon Oct 26 16:40:07 +0000 2020,"@Garb0Garb0 @WestVirginiaU You're close! It's more like a ripple cuz these huge objects (i.e. black holes, neutron stars) are moving so fast through spacetime."
9,Mon Oct 26 16:38:04 +0000 2020,@QuantumWanderR @WestVirginiaU Aww thank you 🥺💜
10,Mon Oct 26 16:32:20 +0000 2020,@WestVirginiaU I never got cool swag when I got into WVU :(
11,Mon Oct 26 16:30:49 +0000 2020,@WestVirginiaU Would love one of these as an alum 😅 Wish they sent these out 7 years ago 😂
12,Mon Oct 26 16:30:42 +0000 2020,@WestVirginiaU I would apply but my grades are absolutely terrible right now 😔
13,Mon Oct 26 16:03:35 +0000 2020,"@bdcheeseboro @WestVirginiaU Scrolled past this while listening to a podcast about gravity and space curvature, probably a sign to ask a question I had: is a gravitational wave a curve in space moving away from a massive object that created it? Im sure it’s more complicated but am I close at all?"
14,Mon Oct 26 15:34:44 +0000 2020,@WestVirginiaU Go WVU Mountaineers!
15,Mon Oct 26 14:02:09 +0000 2020,@WestVirginiaU Lovely..
16,Mon Oct 26 13:33:11 +0000 2020,@bdcheeseboro @WestVirginiaU I wonder if a black hole is really a planet made of dark matter?
17,Mon Oct 26 12:43:43 +0000 2020,@bdcheeseboro @WestVirginiaU Swirly!
18,Mon Oct 26 12:30:03 +0000 2020,"@bdcheeseboro @WestVirginiaU Looks good,"
19,Mon Oct 26 12:26:06 +0000 2020,@bdcheeseboro @WestVirginiaU That's rad.
20,Mon Oct 26 12:15:06 +0000 2020,@bdcheeseboro @WestVirginiaU I applaud what you are doing. I take it you are using the radio telescope in WVA. I presume you have ties to Trinidad and Tobago?
21,Mon Oct 26 10:46:17 +0000 2020,@bdcheeseboro @WestVirginiaU Nice easy subject.  🤔
22,Mon Oct 26 09:56:58 +0000 2020,"@bdcheeseboro @WestVirginiaU gravity is strangely weak..

electromagnetic force is strangely strong..

like they are hand set values.."
23,Mon Oct 26 09:53:51 +0000 2020,@bdcheeseboro @WestVirginiaU Love this area of research.
