,created_at,full_text
0,Mon Oct 26 15:11:30 +0000 2020,@WKUTransfer @wku I wish I could halfway pay down my student loans so I could afford to maybe go back and finish.
1,Mon Oct 26 12:58:46 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
2,Mon Oct 26 01:09:42 +0000 2020,RT @StrauzieC: Our “Couch to College” series will continue this week with University of Miami  @universityofmi1 on Tuesday and Western Ky U…
3,Sun Oct 25 23:57:12 +0000 2020,Our “Couch to College” series will continue this week with University of Miami  @universityofmi1 on Tuesday and Western Ky University @wku on Thursday - 6:00 pm both nights. Links on counselor webpage. @Bruin_Principal @BHSBRUINS
4,Sun Oct 25 15:59:20 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
5,Sun Oct 25 15:47:08 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
6,Sun Oct 25 13:36:13 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
7,Sun Oct 25 11:18:45 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
8,Sun Oct 25 01:43:44 +0000 2020,"Go @WKU! It was a little ugly, but a win is a win. #OnToTheNext"
9,Sat Oct 24 23:08:26 +0000 2020,University of Tennessee at Chattanooga just fucked twice by conference USA referees. University of Western Kentucky should be ashamed. @wku
10,Sat Oct 24 22:01:12 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
11,Sat Oct 24 20:14:46 +0000 2020,TWIGGER WARNING BUT @caboni @WKUFootball @wkuherald @wku  THIS MAN HAS DV ON TAPE BUT YOU LET HIM PLAY
12,Sat Oct 24 19:57:54 +0000 2020,@dcejanis @wku Did you mean in-person?
13,Sat Oct 24 19:57:53 +0000 2020,^in person lol @wku
14,Sat Oct 24 19:20:29 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
15,Sat Oct 24 19:11:30 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
16,Sat Oct 24 19:04:17 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
17,Sat Oct 24 19:00:44 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
18,Sat Oct 24 18:59:13 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
19,Sat Oct 24 18:55:00 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
20,Sat Oct 24 18:40:06 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
21,Sat Oct 24 18:38:53 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
22,Sat Oct 24 18:38:11 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
23,Sat Oct 24 18:36:32 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
24,Sat Oct 24 18:20:58 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
25,Sat Oct 24 18:11:13 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
26,Sat Oct 24 17:51:39 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
27,Sat Oct 24 17:47:16 +0000 2020,I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after still ended investigations made excuses even signed documentation to get him back into @wku after him getting kicked out of @UTKnoxville for domestic violence
28,Sat Oct 24 13:24:46 +0000 2020,"Dear @WKU part 2,
 
I have a new puppy and my #1 support is still currently being forced to do online class.

Please let him go online so he can come support me and his new pup, especially since she’s a support doggo.

Sincerely,
A very tired wife @Colby_3_B"
29,Fri Oct 23 22:09:43 +0000 2020,@MsAshlynnsClass @GRRECKY @wku @WKUCEBS @WKUCEBS was so proud of you &amp; all of our Topper Teacher Candidates today!
30,Fri Oct 23 20:49:50 +0000 2020,@wku Also I have a master's degree. I know about indeed.
31,Fri Oct 23 19:35:11 +0000 2020,@SXMCollege @WKUSports @byu_cosmo @BYU @WKUBigRed @wku Will @BYUfootball be able to buy votes for the pep rally too?
32,Fri Oct 23 04:10:41 +0000 2020,@SouthernIronMan @butlrym @wku My favorite spot on all of campus- hard to choose just one through!
33,Fri Oct 23 02:09:07 +0000 2020,@hannahnafziger @butlrym @wku The view from the steps of Van Meter is always stunning.
34,Thu Oct 22 23:03:13 +0000 2020,RT @wku: @alissa1114 @GoTeachKY Go Tops! 🔴 ⚪️ @WKUCEBS
35,Thu Oct 22 13:34:11 +0000 2020,@CabCoHR @CabCoSchools @UNCC_COED @uncpembroke @AppstateRCOE @EastCarolina @WCU @radfordu @UTKnoxville @wku @uncfsu @slipperyrocku Don’t do it. You’ll be living in poverty. Pay your teachers livable wages NC.
36,Thu Oct 22 02:18:47 +0000 2020,@wkuhrl @WKUAdmissions @wku @RSAWKU Where did y’all get that outdoor screening set up? 👀
37,Thu Oct 22 01:26:53 +0000 2020,@LChrisLynn @wku Beautiful!
38,Wed Oct 21 23:15:56 +0000 2020,@LChrisLynn @wku Best campus in America.
39,Wed Oct 21 20:48:10 +0000 2020,@BethASchaeffer @wku Win-win partnerships &amp; experience for families during this challenging time!
