,created_at,full_text
0,Sat Oct 24 22:28:43 +0000 2020,"S/o to @CMUniversity , @UMich + @UMFlint , @waynestate , and @WesternMichU for hosting an event to empower and educate on the Latinx Vote! We will have a panel featuring Latinx elected officials from Michigan, Illinois, and Texas."
1,Sat Oct 24 13:35:45 +0000 2020,@Ross_Sauer Call @WesternMichU and ask them. It will happen for sure. Fleck is all about TeamFleck.
2,Sat Oct 24 03:34:42 +0000 2020,@notHunterCoombs @WesternMichU @wwmtnews I mean except for Timmy because he’s just gonna beg on the street for enough money to buy a happy meal every day so college is not something we have to worry about with him
3,Sat Oct 24 03:34:00 +0000 2020,@notHunterCoombs @WesternMichU @wwmtnews Yeah it breaks my heart the kids look up to you and there’s nothing they rather do then follow in your footsteps and graduate from Wmu how ever they need to get a hold on all the crime happening there I can’t in good conscience send my daughter up there
4,Fri Oct 23 23:21:06 +0000 2020,wmu professors hand out so much work that it’s impossible to finish it all at our full potential. stop spreading your students so thin. @WesternMichU
5,Fri Oct 23 16:55:46 +0000 2020,"The more I learn about @WesternMichU and it's draconian policies, the more I realize it's an awful place to work."
6,Fri Oct 23 13:53:35 +0000 2020,"RT @WesternMichU: Due to weather, the Hike for Mental Health Awareness has been cancelled at Asylum Lake. 

Students, staff and faculty are…"
7,Fri Oct 23 12:44:43 +0000 2020,"Due to weather, the Hike for Mental Health Awareness has been cancelled at Asylum Lake. 

Students, staff and faculty are encouraged to take a mindful walk on your own today or over the weekend and tag @westernmichu and @wmuwsa to participate virtually!"
8,Fri Oct 23 09:05:05 +0000 2020,@scottcowley @HCOB @WesternMichU They look like a good bunch.
9,Fri Oct 23 00:13:05 +0000 2020,@scottcowley @HCOB @WesternMichU That’s impressive for this semester and at this point in the semester!
10,Thu Oct 22 21:11:03 +0000 2020,@scottcowley @HCOB @WesternMichU It’s always great to have students join the Club! ❤️
11,Thu Oct 22 20:44:11 +0000 2020,@JuanC_Soto_ @JillWeston33 @KeanahA @taylorbuis12 @GSUSportAdmin @WesternMichU @ConfCarolinas Couldn't agree more with that quote Juan!
12,Thu Oct 22 20:08:06 +0000 2020,@WesternMichU let’s just pass everyone who is currently passing their classes and come back in January cause all these COVID cases getting out of hand.
13,Thu Oct 22 17:11:04 +0000 2020,@MACSports @WesternMichU @Pres_Montgomery @BeauregardKathy Congratulations!
14,Thu Oct 22 01:29:27 +0000 2020,@MattLukens05 @espn More like when you’re a proud @WesternMichU alum #LetsRide
15,Wed Oct 21 23:34:22 +0000 2020,@WesternMichU you're gonna give that dog the rona wtf is wrong with y'all
16,Wed Oct 21 22:23:10 +0000 2020,@APepperWWMT @wwmtnews Congrats!!!   I’ve got pull at @WesternMichU if you need it in 17 years!   Always looking for new Broncos!
17,Wed Oct 21 17:19:42 +0000 2020,"@yeeahspencer @WesternMichU No way for the public to know, as unlike other schools across the state, WMU hasn’t provided a full dorm-by-dorm breakdown."
18,Wed Oct 21 17:18:50 +0000 2020,@samueljrob @WesternMichU And one of them lives in my apartment building apparently
19,Wed Oct 21 09:36:49 +0000 2020,"@Lewysko @WesternMichU @penguins @scottcwheeler scouting report: ""Lee has a lot of elements in his game that will translate to the higher levels. He’s very smart, he’s competitive, and he’s quick and agile enough to play at the pro pace. I could see him play NHL games soon."""
20,Wed Oct 21 09:09:48 +0000 2020,"RT @WesternMichU: (1/2) #WMU assistant director for mental health outreach, Bre Traynor, talks through trends in mental well-being, warning…"
21,Wed Oct 21 02:21:25 +0000 2020,"RT @WesternMichU: (1/2) #WMU assistant director for mental health outreach, Bre Traynor, talks through trends in mental well-being, warning…"
22,Wed Oct 21 01:30:22 +0000 2020,"RT @WesternMichU: (1/2) #WMU assistant director for mental health outreach, Bre Traynor, talks through trends in mental well-being, warning…"
23,Tue Oct 20 23:26:48 +0000 2020,@facilities_wmu @WesternMichU @WMU_CAS @LeeHonorsCol @wmualumni T-Rex next?
24,Tue Oct 20 19:26:37 +0000 2020,@WMUCoA @WesternMichU @wwmtnews For sure!
25,Tue Oct 20 15:40:29 +0000 2020,@charlie_mikes @WesternMichU @wwmtnews That would look great in our new Aviation Education Center!  What a great find.
26,Mon Oct 19 17:44:47 +0000 2020,"RT @BTCounselors: The acceptance letters keep coming for our Seniors!
Anthony Thomas: DePaul, Eastern IL Univ, Western IL Univ. @eiu @WIUAd…"
27,Mon Oct 19 16:30:50 +0000 2020,"The acceptance letters keep coming for our Seniors!
Anthony Thomas: DePaul, Eastern IL Univ, Western IL Univ. @eiu @WIUAdmissions @DePaulU 
Kira Machen: IL St. Univ. @ISURedbirds 
Alex Jones: Iowa St. Univ @IowaStateU , W. Mich. Univ. @WesternMichU 

@PrincipalKeene @DrNavarre"
28,Mon Oct 19 16:02:01 +0000 2020,"@PeteButtigieg @JoeBiden @KamalaHarris .@WesternMichU students and faculty, give Mayor Pete a warm welcome in Kzoo!"
29,Sun Oct 18 08:05:16 +0000 2020,Is anyone going to talk about the serious gun issue around campus at @WesternMichU ? We have another student dead tonight.
30,Sat Oct 17 21:52:31 +0000 2020,RT @notHunterCoombs: Pretty sad that I’ve repeatedly told my younger brother and sister not to go to the university I’m about to graduate f…
31,Sat Oct 17 19:20:40 +0000 2020,RT @notHunterCoombs: Pretty sad that I’ve repeatedly told my younger brother and sister not to go to the university I’m about to graduate f…
