,created_at,full_text
0,Mon Oct 26 18:06:40 +0000 2020,"@B93448231 @BWhippleKS @WichitaState What violent acts has antifa committed in wichita? I’m guessing that perhaps mayor whipple is more focused on issues relevant to his constituency then problems 1,000 miles away that are in another mayor’s jurisdiction."
1,Mon Oct 26 15:21:57 +0000 2020,@claystoldt @CUofAmerica @WichitaState @WichitaStateCAS Thanks for handing those out to teachers!
2,Mon Oct 26 13:22:28 +0000 2020,"@WichitaState please cancel in person classes today.
Thank you, a student"
3,Mon Oct 26 10:48:58 +0000 2020,@gravitiesgone @BWhippleKS @WichitaState The point is wimpy Whipple has not one time denounced antifa for the violent acts that they have committed. I have asked him at least three to four times if he supports antifa not once has he answered the question.
4,Mon Oct 26 03:42:15 +0000 2020,@Br00k3zWorld @WichitaState Mm mmm beautif and very very sexy shecock
5,Mon Oct 26 02:28:46 +0000 2020,@WSU_Provost @WichitaState That is something we can be proud of!!
6,Mon Oct 26 01:42:16 +0000 2020,@WichitaState @TypenTweets Tweet is unavailable.
7,Mon Oct 26 01:39:20 +0000 2020,"@WichitaState @TypenTweets Whoever reads this,
I hope you had a great day and remember that your life matters. You are also loved and are wonderful. Have a great day.
Love,
BB"
8,Sun Oct 25 22:02:33 +0000 2020,I just think it’s funny how @WichitaState keeps telling students to “take care of [their] mental health!” and then takes away our mid-semester breaks🥴
9,Sun Oct 25 04:19:36 +0000 2020,@B93448231 @BWhippleKS @WichitaState Ok and your point is?
10,Sun Oct 25 01:29:54 +0000 2020,@wheatweet @WichitaState @FairmountWSU @WSUEngineering Great jobs
11,Sun Oct 25 01:12:39 +0000 2020,@gravitiesgone @BWhippleKS @WichitaState Oh good one genius...I can't read only watch Fox news. Shut up. Msnbc where truth dies and lies fly.
12,Sun Oct 25 01:09:32 +0000 2020,@gravitiesgone @BWhippleKS @WichitaState Antifa is an idea not a group. So says Biden.
13,Sat Oct 24 23:43:53 +0000 2020,@ZacharyVarbel @jbookerx5 @KWCH12 @WichitaState Okay yeah you’re right. That is false. You aren’t a virgin! So get out of my mentions and go find another guy to pipe you! 💩
