,created_at,full_text
0,Mon Oct 26 16:13:48 +0000 2020,@being_ulti @WilliamsCollege Hello. I’m a Michigan transplant living out here in MA. So hello and welcome. 🤙🏻
1,Mon Oct 26 16:06:48 +0000 2020,"@being_ulti @WilliamsCollege As a NY transplant living in Somerville MA, (belated) welcome! Like Jay said good to figure that out prior to law school"
2,Mon Oct 26 15:17:03 +0000 2020,"@vacumberbatch @WilliamsCollege We can only hope that, someday, we will see justice for all the White and Asian students who were harmed by affirmative action."
3,Mon Oct 26 12:52:07 +0000 2020,"@Jaytingwalker @WilliamsCollege Oh yes, I was absolutely planning on making sure I was 100% sure before taking on that kind of stress and debt!"
4,Mon Oct 26 12:50:49 +0000 2020,@being_ulti @WilliamsCollege At least you found out BEFORE you went to law school! I feel like many don't.
5,Mon Oct 26 12:47:59 +0000 2020,"I’m a California transplant living in Somerville, MA and I graduated from @WilliamsCollege in 2019. I used to think I wanted to go to law school, so I spent last year working as an Americorps paralegal and then decided that I probably didn’t want to be a lawyer! 🌊"
6,Sun Oct 25 22:19:37 +0000 2020,@BeschlossDC @WilliamsCollege You apparently have heard that hell is frozen over. #NewHampshire
7,Sun Oct 25 19:34:59 +0000 2020,@waynfletesports @aidan_kieffer @WilliamsCollege @EphSports @NESCAC @NESoccerJournal @foresports @VarsityMaine @waynflete Hard work pays off. Looking forward to seeing Aidan help the Ephs very soon! #GoFlete
8,Sun Oct 25 16:15:52 +0000 2020,@ValDiFebo @EphAlum @WilliamsCollege Thank you Val! #GoEphs
9,Sun Oct 25 16:11:44 +0000 2020,@BeschlossDC @WilliamsCollege This guy was the worst of the worst.
10,Sun Oct 25 16:09:48 +0000 2020,@BeschlossDC @WilliamsCollege I thought this was @joerogan for a second
11,Sun Oct 25 16:00:54 +0000 2020,@BeschlossDC @WilliamsCollege Just a guess that the college's feelings were mutual.
12,Sun Oct 25 15:26:43 +0000 2020,@_TheTotOT @WilliamsCollege @TheBengsons A truly beautiful voice! And a song we all need right now!
13,Sun Oct 25 15:06:50 +0000 2020,@BeschlossDC @WilliamsCollege Was he pro war or was the college pro war?
14,Sat Oct 24 14:37:23 +0000 2020,RT @lesindesirables: Matthew J. Smith's @SenMattye conversation with my students about Jamaica in 1968 and the 'Rodney Rebellion' was so go…
15,Fri Oct 23 18:37:03 +0000 2020,"Matthew J. Smith's @SenMattye conversation with my students about Jamaica in 1968 and the 'Rodney Rebellion' was so good I had goosebumps at one point. His ability to move between the US, the Caribbean and Africa in the history of Black Power was incredible. @WilliamsCollege"
16,Fri Oct 23 17:41:06 +0000 2020,@ABA_CRSJ @TexasAppleseed @ABAesq @WilliamsCollege @UDCLaw @LeticiaSEH @ProfessorMLK @JG4Justice @AngelaJScott @AndrewRHairston Thanks for including us!
17,Fri Oct 23 16:16:33 +0000 2020,@WilliamsCollege @WBUR She finally got it.
18,Fri Oct 23 15:35:36 +0000 2020,@WilliamsCollege @WBUR The Commission needs to rethink things from the ground up. Last night it was a forum for 90 minutes of lies and conspiracy theories with no fact checking. It can't go on like this.
19,Fri Oct 23 03:40:47 +0000 2020,@carolinefan @chowspecial @thian_un @WilliamsCollege Good to know!
20,Fri Oct 23 03:34:11 +0000 2020,@GraceHwangLynch @chowspecial @thian_un .@WilliamsCollege and it wasn't all the time.
21,Thu Oct 22 13:06:53 +0000 2020,"RT @VicCazares: @ADiaz_PhD @PennMedicine Parents immigrated from MX separately &amp; met in LA. Dad a butcher, didn't finish grade school; mom…"
