,created_at,full_text
0,Mon Oct 26 19:20:54 +0000 2020,@DaveOrtendahl Not to mention a FREE year of @WPI education! (All Mass Academy seniors take their courses for free at WPI!)
1,Mon Oct 26 11:30:14 +0000 2020,AM Light Rain @wpi today! With a high of 54F and a low of 49F #livewpi
2,Sun Oct 25 22:20:30 +0000 2020,@LaurieofMars @WPI Thank you!
3,Sun Oct 25 11:30:25 +0000 2020,Partly Cloudy @wpi today! With a high of 52F and a low of 41F #livewpi
4,Sat Oct 24 23:30:01 +0000 2020,@MikeAhernWPI @WPI Our students are lucky to have you as their Professor!
5,Sat Oct 24 21:17:25 +0000 2020,@WPI Best technical college on the East Coast.   WPI helped me make the transition from Idaho. Yes Idaho.  Goat for life.
6,Sat Oct 24 15:17:53 +0000 2020,@CWallsWorld @WPI I miss WPI cake!!!!!!
7,Sat Oct 24 14:44:47 +0000 2020,@CWallsWorld @WPI What a great team!
8,Sat Oct 24 13:54:46 +0000 2020,"@KateMoncrief @WPI Thanks, @KateMoncrief ! I'm happy to be here!"
9,Sat Oct 24 13:08:39 +0000 2020,@CWallsWorld @WPI And being a Leap year.. it truly includes everyone!!!
10,Sat Oct 24 12:45:44 +0000 2020,@CWallsWorld @WPI I have a birthday next year as well! May I get two slices?
11,Sat Oct 24 11:51:12 +0000 2020,@CWallsWorld @WPI Three of the BEST!!
12,Sat Oct 24 11:30:15 +0000 2020,AM Clouds/PM Sun @wpi today! With a high of 67F and a low of 37F #livewpi
13,Fri Oct 23 16:48:29 +0000 2020,@sepasha @WPISTEMCenter @WPI_OMA @WPI Indeed -- great point!!
14,Fri Oct 23 15:16:12 +0000 2020,@LaurieofMars @WPISTEMCenter @WPI_OMA @WPI Another example of the how the Women's Impact Network is making a difference for women and girls in STEM!!
15,Fri Oct 23 11:30:07 +0000 2020,Cloudy @wpi today! With a high of 66F and a low of 52F #livewpi
16,Fri Oct 23 06:39:23 +0000 2020,@dmkoelle @WPI_Robotics @WPI Thank you so much David! :-)
17,Fri Oct 23 02:21:16 +0000 2020,@WPI Nice job with diversity and inclusion here - so refreshing to see this kind of slate of new professors!!
18,Fri Oct 23 02:16:40 +0000 2020,@AmyMMorton @sgenzer @WPI @gompei He's a senior in high school
19,Fri Oct 23 02:15:34 +0000 2020,@AmyMMorton @sgenzer @WPI @gompei How can my son get a paper Gompei?  I love this (and we already have one WPI goat who is a Junior )
20,Fri Oct 23 02:15:01 +0000 2020,@AmyMMorton @WPI @gompei all you @katiegnzr 😊
21,Thu Oct 22 16:07:24 +0000 2020,@LaurieofMars @WPI @WPIAdmissions @gompei Thank you for the incredible effort WPI has done to make this year happen. Very much appreciated!
22,Thu Oct 22 14:55:06 +0000 2020,@dedahlquist @WPI @WPIAdmissions @gompei thanks so much for this!!
23,Thu Oct 22 11:30:41 +0000 2020,Partly Cloudy @wpi today! With a high of 71F and a low of 54F #livewpi
24,Thu Oct 22 03:53:32 +0000 2020,"Given @WPI's project-based learning, I've always aspired to do a project in GenChem, but that's a big ask with &gt;130 students &amp; only a couple of grading TAs. With COVID forcing us online, I decided we needed a different learning experience 2/8"
25,Wed Oct 21 15:01:53 +0000 2020,@gillianmsmith @AIIDEconference @WPI Late but coming!!! 🏃🏻‍♂️🏃🏻‍♂️🏃🏻‍♂️
26,Wed Oct 21 14:28:39 +0000 2020,"RT @LaurieofMars: @pjsreilly @WPIAdvising @WPI @WPIParents Great to hear, @WPIAdvising!! Thanks Paul! @WPIParents, be sure to let your stud…"
27,Wed Oct 21 13:16:22 +0000 2020,"@pjsreilly @WPIAdvising @WPI @WPIParents Great to hear, @WPIAdvising!! Thanks Paul! @WPIParents, be sure to let your students know!"
28,Wed Oct 21 11:30:12 +0000 2020,AM Fog/PM Clouds @wpi today! With a high of 68F and a low of 59F #livewpi
29,Tue Oct 20 22:33:07 +0000 2020,Many thanks to @ck_edudesign @stoddardlisa1 @RickVazWPI @ArthurHeinric12 for their participation in @BellevueCollege PD day.  @WPI has real bench strength in #PBL.
30,Tue Oct 20 18:38:41 +0000 2020,"Panel:  Centralized vs Non Centralized Systems Dr. Kate Kruger @KateKruegerPhD Daan Luining @eatmeatable, Jordan Jones @Jones_cellag @WPI and Martina Miotto @CellsREvolvedto 12 PT

 #culturedmeat #cellbasedmeat #cultivatedmeat  #cms20online"
31,Tue Oct 20 17:23:35 +0000 2020,RT @Cherwell: Don't miss our last two breakout sessions of Day 3! These sessions will be led by speakers from our sponsors @AuvikNetworks a…
32,Tue Oct 20 17:14:40 +0000 2020,RT @Cherwell: Don't miss our last two breakout sessions of Day 3! These sessions will be led by speakers from our sponsors @AuvikNetworks a…
33,Tue Oct 20 17:10:03 +0000 2020,"Don't miss our last two breakout sessions of Day 3! These sessions will be led by speakers from our sponsors @AuvikNetworks and @AvanteSolutions, as well as speakers from @WPI, @UT_Dallas, @ASHCompanies and our team."
34,Tue Oct 20 12:48:26 +0000 2020,@amymarr @SpacePup_Hudson @dog_rates @WPI totally!!
35,Tue Oct 20 12:45:03 +0000 2020,"@LaurieofMars @SpacePup_Hudson @dog_rates @WPI I mean, he's cute, but BB8 and the Death Star are pretty amazing!"
36,Tue Oct 20 11:30:43 +0000 2020,Showers @wpi today! With a high of 66F and a low of 56F #livewpi
37,Mon Oct 19 19:32:35 +0000 2020,"@gillianmsmith @AIIDEconference @WPI Oh, those trees look magnificent!"
38,Mon Oct 19 13:31:35 +0000 2020,"@aspire2college @WPI Thanks from the West Coast, @WPIAdmissions !"
39,Mon Oct 19 11:44:49 +0000 2020,"Congrats to @LaurieofMars, @WPI’s indomitable President, for her quote in @melissakorn’s excellent @WSJ article on #COVID19 testing @broadinstitute for #NewEngland #colleges &amp; #universities. FYI @heccma @HighEdMarketing Also featured: @WilliamsCollege @BatesCollege"
40,Mon Oct 19 11:30:37 +0000 2020,Partly Cloudy @wpi today! With a high of 62F and a low of 49F #livewpi
41,Sun Oct 18 11:30:34 +0000 2020,Partly Cloudy @wpi today! With a high of 60F and a low of 41F #livewpi
42,Sun Oct 18 04:22:56 +0000 2020,@BostonDotCom @WPI More power to @WPI
43,Sat Oct 17 21:38:57 +0000 2020,"@jac_linnes @oshoilett Congrats to all, with an extra shout out to Alycia Abbott @WPI @WPI_BME"
