,created_at,full_text
0,Sun Oct 25 14:30:06 +0000 2020,@wolfblitzer @CNNSitRoom Thank you @wolfblitzer. Dayton community lost one of its best. Respect @wrightstate @AAPIUSA
1,Sun Oct 25 13:51:04 +0000 2020,@wrightstate I received mine and I love it!! Thank you!
2,Sat Oct 24 22:33:47 +0000 2020,"@JeffDLowe @wrightstate get em,boys"
3,Sat Oct 24 15:50:40 +0000 2020,"You did it, you did it! Even a pandemic didn’t stop you—NOTHING CAN STOP YOU!! 📚 🎓 🍾CONGRATULATIONS, @wrightstate graduates!!! #RaiderFamily #RaiderPride #Graduates"
4,Fri Oct 23 23:06:39 +0000 2020,@wrightstate I love the wordmark in the gold. So classy.
5,Fri Oct 23 19:23:42 +0000 2020,@LeeHannahWSU @wrightstate @virginia_tech Have a great visit 😊
6,Fri Oct 23 16:58:02 +0000 2020,@LeeHannahWSU @wrightstate @virginia_tech You better come by and see me!!!!!
7,Fri Oct 23 05:13:42 +0000 2020,"@T_S_P_O_O_K_Y @wrightstate @JoeBiden Joe can spend a Trillion on climate change, and it will make zero difference because China, India, Russia, and Pakistan will get worse."
8,Fri Oct 23 03:55:31 +0000 2020,"RT @CitizenFreedom2: @Frank38328140 @T_S_P_O_O_K_Y @wrightstate @JoeBiden I liked the part about fires, people did set them it climate chan…"
9,Fri Oct 23 03:43:18 +0000 2020,"@Frank38328140 @T_S_P_O_O_K_Y @wrightstate @JoeBiden I liked the part about fires, people did set them it climate change 🙄.  I believe H2S gas is the most poisonous naturally occurring gas and it take 600ppm for a hour to kill you, but 400ppm CO2 going to kill everyone 🙄 has nothing to do with that big fireball in the sky 🙄"
