,created_at,full_text
0,Mon Oct 26 15:35:08 +0000 2020,@XU_Alumni @XavierU Will my pumpkin have to have a BLM on it?  Can I have Blue lives matter flag on it?
1,Sun Oct 25 14:09:47 +0000 2020,@XavierU Social justice virtue signaling is your LARP.  Our generation actually made huge changes in the social fabric of society.  You have the audacity to call us racists. Shame on you for destroying much of what we built.  America is still the best multicultural society on the planet.
2,Sat Oct 24 20:15:46 +0000 2020,SGT. Palmer is a fraud @XavierU
3,Fri Oct 23 23:13:21 +0000 2020,@XavierU Can you elaborate on the systemic and institutional racism that exists on campus as mentioned in the link?
4,Fri Oct 23 03:38:16 +0000 2020,"@XavierU @CB_SAASS Congratulations, Chris.  Definitely an impact player in student success.  Wishing you all the best in your new role."
5,Thu Oct 22 21:26:24 +0000 2020,@marcusmescher @devsings @XavierU So grateful to join the conversation! Thanks for sharing such valuable insight.
6,Thu Oct 22 20:26:47 +0000 2020,"@devsings Thanks, Devon. It was great seeing @lauren_bailey96 join in our #IFTJ conversation last night, too! You both make all of us @XavierU proud! #Jesuiteducated"
7,Thu Oct 22 19:28:30 +0000 2020,RT @OHSpanthersAVID: Big shout out to OHS senior @KiaraaBarragan.  She’s getting showered with college acceptances and $$$$.  Recently she…
8,Thu Oct 22 19:27:43 +0000 2020,RT @OHSpanthersAVID: Big shout out to OHS senior @KiaraaBarragan.  She’s getting showered with college acceptances and $$$$.  Recently she…
9,Thu Oct 22 19:27:31 +0000 2020,"Big shout out to OHS senior @KiaraaBarragan.  She’s getting showered with college acceptances and $$$$.  Recently she was just accepted to @XavierU and awarded an $18000 scholarship.   Incredible news!
#moretocome

@PohlmannChad @drewmud @AVID4College @tvsharp24"
10,Thu Oct 22 18:52:13 +0000 2020,@XavierU @CB_SAASS Couldn't happen to a better guy. Congrats @CB_SAASS
11,Thu Oct 22 18:32:17 +0000 2020,"@PiperPerabo @KenyonCollege @miamiuniversity @CLE_State @uakron @UToledo @WoosterEdu @XavierU @wrightstate @OhioStateFB @OHStudentUnion Dear Piper and I have been writing for a long time to talk to you, I am a fan of you who writes on Facebook in COVERT AFFAIRS ITALIA I wish I could also speak to you in SKYPE Serge Antoine.GOMEZ, on email sergeagomez@gmail.com for friendship thanks"
12,Thu Oct 22 14:10:55 +0000 2020,"RT @BIGEAST: Myles Thomas, @XavierU graduate, shared 3 pieces of advice:
1. Know your worth
2. Self awareness: always be in touch with your…"
13,Wed Oct 21 23:51:09 +0000 2020,"RT @BIGEAST: Myles Thomas, @XavierU graduate, shared 3 pieces of advice:
1. Know your worth
2. Self awareness: always be in touch with your…"
14,Wed Oct 21 23:49:01 +0000 2020,"Myles Thomas, @XavierU graduate, shared 3 pieces of advice:
1. Know your worth
2. Self awareness: always be in touch with your coaches/managers
3. Never put all of your eggs in one basket: think of where you want to get to not just where you're at"
15,Tue Oct 20 12:51:21 +0000 2020,@XavierU My daughter is there and loving it. Can you send Fr. Graham by her dorm to give her an elbow bump?  It would make her day.
16,Mon Oct 19 16:31:39 +0000 2020,@XavierU This is week 10.🙂
17,Mon Oct 19 13:17:36 +0000 2020,"RT @DaveShedloski: Well, Ohio had one win today. Congratulations to @jaykokrak on his first @PGATOUR victory, taking the #CJCup at Shadow C…"
18,Mon Oct 19 13:15:57 +0000 2020,"RT @DaveShedloski: Well, Ohio had one win today. Congratulations to @jaykokrak on his first @PGATOUR victory, taking the #CJCup at Shadow C…"
19,Mon Oct 19 13:15:45 +0000 2020,"RT @DaveShedloski: Well, Ohio had one win today. Congratulations to @jaykokrak on his first @PGATOUR victory, taking the #CJCup at Shadow C…"
20,Mon Oct 19 12:27:01 +0000 2020,"RT @DaveShedloski: Well, Ohio had one win today. Congratulations to @jaykokrak on his first @PGATOUR victory, taking the #CJCup at Shadow C…"
21,Mon Oct 19 03:27:07 +0000 2020,"@DaveShedloski @jaykokrak @PGATOUR @XavierU The last time the Browns won in Pittsburgh, Kokrak was 5’4 inches  tall 😔"
22,Mon Oct 19 00:09:12 +0000 2020,Congrats to @XavierU alum @jaykokrak for winning the #CJCup @PGATOUR #Cincinnati
23,Sun Oct 18 23:57:50 +0000 2020,"@jaykokrak Congrats, Jason from a former @XavierU golfer (before you were born)! #Xavier  #LetsGoX"
24,Sun Oct 18 23:56:28 +0000 2020,"RT @DaveShedloski: Well, Ohio had one win today. Congratulations to @jaykokrak on his first @PGATOUR victory, taking the #CJCup at Shadow C…"
25,Sun Oct 18 23:50:53 +0000 2020,"Well, Ohio had one win today. Congratulations to @jaykokrak on his first @PGATOUR victory, taking the #CJCup at Shadow Creek in Las Vegas. Grew up in Warren, Ohio, and product of @XavierU."
26,Sun Oct 18 23:48:44 +0000 2020,"@jaykokrak congratulations on your big win today, Jay!  Way to rep @XavierU and @warrenjfk.  Robbo is smiling from above!"
27,Sun Oct 18 23:47:25 +0000 2020,@jaykokrak @XavierU way to go Jason!  Go Musketeers!!!!
28,Sun Oct 18 18:25:13 +0000 2020,"@JosephNollaSJ @FranSzpylczyn @kevin_ahern @BlanchardKate @JamesMartinSJ That's kind of you to say. I'm grateful for so many teachers/professors at @marquettehigh, @MarquetteU, @bcstm, and @BostonCollege who showed me Cura Personalis, and honored to be in a position to pay that forward at @XavierU."
29,Sun Oct 18 15:35:12 +0000 2020,@RonKinmon @XavierU @ashleyanne271 Thanks coach! And I definitely loved both my programs there!
30,Sun Oct 18 07:01:13 +0000 2020,@XavierU @OliviaTrimble8 Let's do the same with professors - so fire them.
31,Sat Oct 17 19:14:23 +0000 2020,@DHSMrWright @XavierU @ashleyanne271 Beautiful campus and beautiful children. Glad to say I am a graduate of @XavierU
