,created_at,full_text
0,Mon Oct 26 18:34:13 +0000 2020,@Philip__Carey @JamesHeartfield @Yale @nytimes @CNN Thank you so much for saying so.  Sorry if I misinterpreted your tweet.  xoxo
1,Mon Oct 26 18:31:21 +0000 2020,@davidrosenthal @YaleMed @YaleSPH @YaleSOM @YaleSEAS @YaleLawSch @Yale @YaleCompsci Sure
2,Mon Oct 26 18:18:21 +0000 2020,"@GOP @realDonaldTrump NANA DOESN’T WANNA DIE

RIGHT TO LIFE MY ASS

@Harvard @Yale @Princeton @BrownUniversity @Columbia @dartmouth @Penn @UCBerkeley @UCLA @Cornell"
3,Mon Oct 26 18:00:01 +0000 2020,"@rachaelmyrow @joemmathews @Yale @Cal_Humanities Looking forward to it, Rachael. Thanks for moderating!"
4,Mon Oct 26 17:46:11 +0000 2020,Harry in that blue coat is the cure for Covid-19 @Harvard @Yale @UCLA @Stanford
5,Mon Oct 26 17:43:52 +0000 2020,@Yale @YaleLawSch I bet that’s gone be boring. Legal Theory
6,Mon Oct 26 17:24:40 +0000 2020,"To @Yale, I argue I need to apologize. I was caught up. I didn't have the knowledge. I was preoccupied with glam. And I shoveled it here on Twitter. And the shovel went deep. I recant by saying you never ignored my reproach. And that's why you're so esteemed. You don't fall off."
7,Mon Oct 26 17:19:58 +0000 2020,@yasminjananjum @FinancialTimes @SarahLudford @RoryStewartUK @JohnKerry @Yale yes indeed
8,Mon Oct 26 17:04:44 +0000 2020,@sarahbraasch1 @JamesHeartfield @Yale @nytimes @CNN I'm deeply sympathetic and was only commenting on two people acknowledging they don't know one another on twitter. I can understand why it came across as daft. I agree due process is deeply threatened and I hope your case gets broader support and recognition.
9,Mon Oct 26 16:52:52 +0000 2020,"@YourMindinBloom @Yale @BrownUniversity @BrownandProv @INFONewHaven @DowntownNHV @TheShopsatYale @ThayerStreetPVD @YaleMed We hope you'll be able to visit again soon! ☕️ Thanks for checking in, and we hope you're doing well!"
10,Mon Oct 26 15:55:26 +0000 2020,"@Yale Wishing I could take this course, as I have always appreciated Classics. Perhaps, as I am in my retirement!"
11,Mon Oct 26 15:53:32 +0000 2020,"@BombshellDAILY @JBzenchild @Yale @CDCgov @fema @WHNSC Absolutely no bias here? I’m embarrassed for @Yale . 
As undergraduates at my beloved Yale, we were taught to question by using logic. This is blatantly corrupt. This is an embarrassment for @YaleAlumni 
#Ethics #Leftists"
12,Mon Oct 26 15:53:29 +0000 2020,@Yale @HarvardChanSPH @YaleSPH crashes
13,Mon Oct 26 15:53:12 +0000 2020,"@Yale @HarvardChanSPH @YaleSPH when the map loads you cannot click on anything anymore or scroll, perhaps its Brave."
14,Mon Oct 26 15:47:52 +0000 2020,@Yale @YaleSOM @YaleInsights not working?
15,Mon Oct 26 15:30:00 +0000 2020,"RT @sarahbraasch1: @SkepticReview89 @jeffreyketland @Twitter @Yale You are right, dearest friend.  xoxo  Gretchen @SkepticReview89 This is…"
16,Mon Oct 26 14:11:08 +0000 2020,"@miguelcainzos23 @reed_mszar @hmkyale @jvaleromd @Yale Couldn’t agree more🙂
Full professor after fellowship 👏👏"
17,Mon Oct 26 14:08:22 +0000 2020,@Livooo @Yale Thank you!
18,Mon Oct 26 14:08:05 +0000 2020,@dan_soffer @miguelcainzos23 @khurramn1 @hmkyale @jvaleromd @Yale Thank you very much Dr. @dan_soffer!!
19,Mon Oct 26 14:05:35 +0000 2020,@miguelcainzos23 @reed_mszar @khurramn1 @hmkyale @jvaleromd @Yale Already a rockstar!
20,Mon Oct 26 14:05:34 +0000 2020,@miguelcainzos23 @reed_mszar @khurramn1 @hmkyale @jvaleromd @Yale This is a great team under your and @khurramn1 ‘s mentoring.
21,Mon Oct 26 14:04:56 +0000 2020,@miguelcainzos23 @khurramn1 @hmkyale @jvaleromd @Yale Thank you for your kind words Miguel! I have learned a great deal from your mentorship as well!
