,created_at,full_text
0,Mon Oct 26 18:32:33 +0000 2020,"@NeilRogachevsky @SWGoldman @YUStrausCenter @YUNews Thanks, man. Well, we will have to have you on, maybe to chat Lessing?"
1,Mon Oct 26 18:25:43 +0000 2020,@DWDBahr @SWGoldman @YUStrausCenter @YUNews *some time thereafter.
2,Mon Oct 26 18:25:22 +0000 2020,@DWDBahr @SWGoldman @YUStrausCenter @YUNews This is just for undergrads tonight guys but I appreciate the interest. FWIW David I’m supposed to record a video lecture on Lessing in January that should be on the inter webs slightly thereafter. Great work with New Thinkery btw.
3,Mon Oct 26 15:47:17 +0000 2020,"@NeilRogachevsky @SWGoldman @YUStrausCenter @YUNews Lessing — that’s great! Should be more of a household name. Would love to listen in or watch a video after, if that becomes available?"
4,Mon Oct 26 15:43:11 +0000 2020,@NeilRogachevsky @SWGoldman @YUStrausCenter @YUNews What time?  And how can one join in?
5,Mon Oct 26 15:21:02 +0000 2020,"RT @NeilRogachevsky: Looking forward to hosting @SWGoldman tonight (virtually) @YUStrausCenter @YUNews to talk Lessing, George Washington,…"
6,Mon Oct 26 15:20:54 +0000 2020,"Looking forward to hosting @SWGoldman tonight (virtually) @YUStrausCenter @YUNews to talk Lessing, George Washington, and religious freedom in America."
7,Sun Oct 25 08:24:11 +0000 2020,"@elliotsteinmetz @YUathletics @YUNews @NCAADIII @SkylineConfD3 Hopefully it looks like something. Right now things don't seem to be trending in a ""go"" direction."
8,Sat Oct 24 01:14:53 +0000 2020,RT @rabbisacks: Thank you for the outpouring of love for Rabbi Sacks &amp; for keeping him in your prayers. We were deeply moved to hear about…
9,Thu Oct 22 23:30:43 +0000 2020,@YUathletics @YUNews @SkylineConfD3 Shout out to Coach Nao @JKaszovitz
10,Wed Oct 21 21:40:46 +0000 2020,RT @rabbisacks: Thank you for the outpouring of love for Rabbi Sacks &amp; for keeping him in your prayers. We were deeply moved to hear about…
11,Wed Oct 21 19:02:54 +0000 2020,@YeshivaLink @YUNews It's like Mir Yerushalayim with chavrusas learning everywhere.
12,Wed Oct 21 13:20:33 +0000 2020,@YeshivaLink @YUNews So now YU will be womenrein?
13,Wed Oct 21 06:58:11 +0000 2020,@elliotsteinmetz @YUathletics @YUNews @NCAADIII @SkylineConfD3 I hope I can come to a game this year. Good Luck Coach!  Roll Macs Roll!
14,Tue Oct 20 16:37:12 +0000 2020,"RT @asu_csrc: @rabbisacks @YUNews @OrthodoxUnion @RCArabbinical Sending you our warmest wishes for good health and a quick recovery, Rabbi…"
15,Tue Oct 20 16:22:09 +0000 2020,"@rabbisacks @YUNews @OrthodoxUnion @RCArabbinical Sending you our warmest wishes for good health and a quick recovery, Rabbi Sacks!"
16,Tue Oct 20 12:54:28 +0000 2020,@rabbisacks @YUNews @OrthodoxUnion @RCArabbinical Refuah Shleima Rabbi! Ever fervently praying for a rehuah!
17,Tue Oct 20 11:56:36 +0000 2020,@rabbisacks @YUNews @OrthodoxUnion @RCArabbinical Wishing you Refuah. Get well soon.🇮🇱
18,Tue Oct 20 11:55:31 +0000 2020,RT @rabbisacks: Thank you for the outpouring of love for Rabbi Sacks &amp; for keeping him in your prayers. We were deeply moved to hear about…
